Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.8257),tensor(0.8257),0_1_2_3_4_5_6_7_8_9,[tensor(0.7610), tensor(0.9540), tensor(0.8270), tensor(0.7990), tensor(0.8540), tensor(0.8600), tensor(0.6510), tensor(0.7100), tensor(0.9180), tensor(0.9230)],21,0.0001,0.075
tensor(0.8329),tensor(0.8329),0_1_2_3_4_5_6_8_9,[tensor(0.8900), tensor(0.9380), tensor(0.8420), tensor(0.7420), tensor(0.8810), tensor(0.6230), tensor(0.8980), 0.0, tensor(0.7660), tensor(0.9160)],21,0.0001,0.075
tensor(0.8117),tensor(0.8117),0_1_2_3_4_6_7_8_9,[tensor(0.8720), tensor(0.9710), tensor(0.5600), tensor(0.6840), tensor(0.8290), 0.0, tensor(0.6340), tensor(0.8910), tensor(0.9420), tensor(0.9220)],21,0.0001,0.075
tensor(0.8144),tensor(0.8144),0_1_2_3_5_6_7_8_9,[tensor(0.9080), tensor(0.9640), tensor(0.5400), tensor(0.7700), 0.0, tensor(0.8370), tensor(0.5450), tensor(0.8640), tensor(0.9510), tensor(0.9510)],21,0.0001,0.075
tensor(0.8649),tensor(0.8649),0_1_2_3_6_7_8_9,[tensor(0.8910), tensor(0.8760), tensor(0.8460), tensor(0.6900), 0.0, 0.0, tensor(0.9090), tensor(0.8830), tensor(0.9340), tensor(0.8900)],21,0.0001,0.075
0.747,0.7232333333333334,0.7228,0.7236666666666667,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_6_7_8_9,0.39631032943725586,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7634,0.7330000000000001,0.7288888888888889,0.7371111111111112,0_1_2_3_4_5_6_8_9,0_1_2_3_4_6_7_8_9,0.38957881927490234,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7844,0.7246111111111111,0.7288888888888889,0.7203333333333334,0_1_2_3_4_5_6_8_9,0_1_2_3_5_6_7_8_9,0.4229729175567627,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7926,0.810875,0.804,0.81775,0_1_2_3_4_5_6_7_8_9,0_1_2_3_6_7_8_9,0.38750290870666504,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7488,0.7502222222222222,0.7468888888888889,0.7535555555555555,0_1_2_3_4_6_7_8_9,0_1_2_3_5_6_7_8_9,0.38956785202026367,match_tensors_zipit,resnet20x4,21,0.0001,0.075
