Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2259),tensor(0.2259),0_6_8_3_4_2_1_8_1_6_0_2_7_9,[tensor(0.0005), tensor(0.0005), tensor(0.0004), tensor(0.7720), tensor(0.8880), 0.0, tensor(0.0005), tensor(0.6860), tensor(0.0005), tensor(0.8120)],21,0.0001,0.075
tensor(0.2190),tensor(0.2190),2_1_3_8_4_0_9_3_1_0_9_7_8_5,[tensor(0.0005), tensor(0.0005), tensor(0.8290), tensor(0.0004), tensor(0.8890), tensor(0.6460), 0.0, tensor(0.6970), tensor(0.0005), tensor(0.0005)],21,0.0001,0.075
tensor(0.3505),tensor(0.3505),3_0_9_8_6_2_7_5_8_2_1_4_3_9,[tensor(0.9080), tensor(0.8730), tensor(0.0004), tensor(0.0004), tensor(0.6900), tensor(0.6150), tensor(0.9300), tensor(0.8880), tensor(0.0005), tensor(0.0005)],21,0.0001,0.075
tensor(0.2184),tensor(0.2184),3_1_0_9_7_8_5_2_1_3_8_4_0_9,[tensor(0.0005), tensor(0.0005), tensor(0.8130), tensor(0.0003), tensor(0.8870), tensor(0.6420), 0.0, tensor(0.7110), tensor(0.0005), tensor(0.0005)],21,0.0001,0.075
tensor(0.1933),tensor(0.1933),3_1_7_4_8_9_0_6_9_7_0_2_1_8,[tensor(0.0005), tensor(0.0005), tensor(0.5430), tensor(0.6620), tensor(0.8570), 0.0, tensor(0.6390), tensor(0.0005), tensor(0.0005), tensor(0.0005)],21,0.0001,0.075
tensor(0.8643),tensor(0.8643),4_2_3_0_6_9_1,[tensor(0.8800), tensor(0.9460), tensor(0.8450), tensor(0.6640), tensor(0.8800), 0.0, tensor(0.9190), 0.0, 0.0, tensor(0.9160)],21,0.0001,0.075
tensor(0.3519),tensor(0.3519),5_8_2_1_4_3_9_3_0_9_8_6_2_7,[tensor(0.9190), tensor(0.8590), tensor(0.0004), tensor(0.0004), tensor(0.7050), tensor(0.6320), tensor(0.9300), tensor(0.8780), tensor(0.0005), tensor(0.0005)],21,0.0001,0.075
tensor(0.8957),tensor(0.8957),6_0_4_8_7_2_9,[tensor(0.9010), 0.0, tensor(0.8650), 0.0, tensor(0.8890), 0.0, tensor(0.9190), tensor(0.9010), tensor(0.9210), tensor(0.8740)],21,0.0001,0.075
tensor(0.1955),tensor(0.1955),6_9_7_0_2_1_8_3_1_7_4_8_9_0,[tensor(0.0005), tensor(0.0005), tensor(0.5190), tensor(0.7070), tensor(0.8780), 0.0, tensor(0.6290), tensor(0.0004), tensor(0.0005), tensor(0.0005)],21,0.0001,0.075
tensor(0.2236),tensor(0.2236),8_1_6_0_2_7_9_0_6_8_3_4_2_1,[tensor(0.0005), tensor(0.0005), tensor(0.0004), tensor(0.7610), tensor(0.8770), 0.0, tensor(0.0005), tensor(0.6910), tensor(0.0005), tensor(0.7970)],21,0.0001,0.075
0.7871,0.8098571428571428,0.8262857142857143,0.7934285714285715,0_6_8_3_4_2_1_8_1_6_0_2_7_9,3_1_0_9_7_8_5_2_1_3_8_4_0_9,0.0038263797760009766,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.7872,0.8100357142857143,0.8265714285714286,0.7935,0_6_8_3_4_2_1_8_1_6_0_2_7_9,3_1_0_9_7_8_5_2_1_3_8_4_0_9,0.004387617111206055,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.7793,0.8226428571428572,0.8077857142857143,0.8375,5_8_2_1_4_3_9_3_0_9_8_6_2_7,8_1_6_0_2_7_9_0_6_8_3_4_2_1,0.0033605098724365234,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.7801,0.8222142857142858,0.807,0.8374285714285714,5_8_2_1_4_3_9_3_0_9_8_6_2_7,8_1_6_0_2_7_9_0_6_8_3_4_2_1,0.0034363269805908203,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.7559,0.8639285714285714,0.8568571428571429,0.871,2_1_3_8_4_0_9_3_1_0_9_7_8_5,4_2_3_0_6_9_1,0.003631114959716797,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.7498,0.8621428571428571,0.8544285714285714,0.8698571428571429,2_1_3_8_4_0_9_3_1_0_9_7_8_5,4_2_3_0_6_9_1,0.0037615299224853516,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.7842,0.7984285714285715,0.7711428571428571,0.8257142857142857,3_0_9_8_6_2_7_5_8_2_1_4_3_9,6_9_7_0_2_1_8_3_1_7_4_8_9_0,0.0031554698944091797,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.7763,0.79425,0.767,0.8215,3_0_9_8_6_2_7_5_8_2_1_4_3_9,6_9_7_0_2_1_8_3_1_7_4_8_9_0,0.0034422874450683594,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.8424444444444444,0.8817142857142857,0.8805714285714286,0.8828571428571429,3_1_7_4_8_9_0_6_9_7_0_2_1_8,6_0_4_8_7_2_9,0.0035369396209716797,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.8422222222222222,0.8822857142857143,0.8811428571428571,0.8834285714285715,3_1_7_4_8_9_0_6_9_7_0_2_1_8,6_0_4_8_7_2_9,0.004631519317626953,match_tensors_permute,resnet20x4,21,0.0001,0.075
