Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2724),tensor(0.4540),1_2_3_5_6_7,[0.0, tensor(0.), tensor(0.0050), tensor(0.9050), 0.0, tensor(0.), tensor(0.9190), tensor(0.8950), 0.0, 0.0],21,0.0001,0.075
tensor(0.2732),tensor(0.4553),1_2_3_5_6_7,[0.0, tensor(0.), tensor(0.0090), tensor(0.9080), 0.0, tensor(0.), tensor(0.9140), tensor(0.9010), 0.0, 0.0],21,0.0001,0.075
tensor(0.2592),tensor(0.5184),1_2_3_4_7,[0.0, tensor(0.0100), tensor(0.), tensor(0.7750), tensor(0.8930), 0.0, 0.0, tensor(0.9140), 0.0, 0.0],21,0.0001,0.075
tensor(0.1788),tensor(0.3576),4_5_7_8_9,[0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.), tensor(0.8940), tensor(0.8940)],21,0.0001,0.075
tensor(0.2568),tensor(0.5136),1_2_3_4_7,[0.0, tensor(0.0040), tensor(0.), tensor(0.7750), tensor(0.8990), 0.0, 0.0, tensor(0.8900), 0.0, 0.0],21,0.0001,0.075
tensor(0.2545),tensor(0.8483),3_6_7,[0.0, 0.0, 0.0, tensor(0.7900), 0.0, 0.0, tensor(0.9340), tensor(0.8210), 0.0, 0.0],21,0.0001,0.075
tensor(0.2610),tensor(0.5220),2_3_4_5_6,[0.0, 0.0, tensor(0.8060), tensor(0.), tensor(0.9360), tensor(0.), tensor(0.8680), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2547),tensor(0.5094),2_3_4_5_6,[0.0, 0.0, tensor(0.8160), tensor(0.), tensor(0.9310), tensor(0.), tensor(0.8000), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2717),tensor(0.9057),0_1_6,[tensor(0.9090), tensor(0.8880), 0.0, 0.0, 0.0, 0.0, tensor(0.9200), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.1812),tensor(0.3624),4_5_7_8_9,[0.0, 0.0, 0.0, 0.0, tensor(0.0010), tensor(0.), 0.0, tensor(0.), tensor(0.9190), tensor(0.8920)],21,0.0001,0.075
0.2408888888888889,0.26625,[  nan 0.001 0.005 0.57  0.011 0.    0.513 0.    0.849 0.895],0.1815,0.351,1_2_3_5_6_7,4_5_7_8_9,0.00590825080871582,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.24044444444444443,0.2675666666666667,[  nan 0.001 0.002 0.576 0.014 0.    0.515 0.    0.846 0.904],0.18233333333333332,0.3528,1_2_3_5_6_7,4_5_7_8_9,0.003256559371948242,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.3821428571428571,0.48833333333333334,[  nan 0.013 0.66  0.    0.815 0.    0.651 0.78    nan   nan],0.5138333333333334,0.4628333333333333,1_2_3_4_7,2_3_4_5_6,0.002772808074951172,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.38171428571428573,0.48850000000000005,[  nan 0.012 0.659 0.    0.815 0.    0.652 0.783   nan   nan],0.514,0.463,1_2_3_4_7,2_3_4_5_6,0.0033037662506103516,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.3557142857142857,0.39758333333333334,[  nan 0.    0.665 0.    0.707 0.    0.65  0.784   nan   nan],0.34983333333333333,0.44533333333333336,1_2_3_5_6_7,2_3_4_5_6,0.00310516357421875,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.356,0.39775000000000005,[  nan 0.    0.665 0.    0.708 0.    0.651 0.782   nan   nan],0.3496666666666667,0.44583333333333336,1_2_3_5_6_7,2_3_4_5_6,0.004458189010620117,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.40885714285714286,0.6208333333333333,[0.825 0.771 0.    0.507 0.718   nan 0.44  0.664   nan   nan],0.563,0.6786666666666666,1_2_3_4_7,0_1_6,0.0031304359436035156,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4065714285714286,0.6193333333333333,[0.825 0.765 0.    0.508 0.716   nan 0.443 0.661   nan   nan],0.561,0.6776666666666666,1_2_3_4_7,0_1_6,0.003009796142578125,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.37242857142857144,0.3602,[  nan   nan   nan 0.428 0.009 0.    0.763 0.    0.774 0.834],0.397,0.3234,3_6_7,4_5_7_8_9,0.0030965805053710938,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.37214285714285716,0.36116666666666664,[  nan   nan   nan 0.429 0.009 0.    0.766 0.    0.775 0.836],0.3983333333333333,0.324,3_6_7,4_5_7_8_9,0.003134012222290039,match_tensors_permute,resnet20x4,21,0.0001,0.075
