Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2899),tensor(0.4832),2_3_5_6_7_9,[0.0, 0.0, tensor(0.9700), tensor(0.0010), 0.0, tensor(0.0020), tensor(0.0260), tensor(0.9230), 0.0, tensor(0.9770)],21,0.0001,0.075
tensor(0.2637),tensor(0.5274),0_4_5_7_8,[tensor(0.9300), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.7720), tensor(0.9350), 0.0],21,0.0001,0.075
tensor(0.2897),tensor(0.4828),2_3_5_6_7_9,[0.0, 0.0, tensor(0.9630), tensor(0.), 0.0, tensor(0.), tensor(0.0340), tensor(0.9230), 0.0, tensor(0.9770)],21,0.0001,0.075
tensor(0.2613),tensor(0.4355),1_3_5_6_7_9,[0.0, tensor(0.), 0.0, tensor(0.7650), 0.0, tensor(0.8770), tensor(0.), tensor(0.), 0.0, tensor(0.9710)],21,0.0001,0.075
tensor(0.2648),tensor(0.5296),0_4_5_7_8,[tensor(0.9290), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.7810), tensor(0.9380), 0.0],21,0.0001,0.075
tensor(0.2705),tensor(0.4508),1_2_3_4_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.8950), tensor(0.0160), 0.0, tensor(0.9180), tensor(0.8760), 0.0, 0.0],21,0.0001,0.075
tensor(0.2755),tensor(0.5510),3_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.0200), 0.0, 0.0, tensor(0.8430), tensor(0.0940), tensor(0.9200), tensor(0.8780)],21,0.0001,0.075
tensor(0.2708),tensor(0.4513),1_2_3_4_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.8940), tensor(0.0130), 0.0, tensor(0.9210), tensor(0.8800), 0.0, 0.0],21,0.0001,0.075
tensor(0.2762),tensor(0.5524),3_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.0320), 0.0, 0.0, tensor(0.8260), tensor(0.0900), tensor(0.9330), tensor(0.8810)],21,0.0001,0.075
tensor(0.2612),tensor(0.4353),1_3_5_6_7_9,[0.0, tensor(0.), 0.0, tensor(0.7560), 0.0, tensor(0.8820), tensor(0.0050), tensor(0.), 0.0, tensor(0.9690)],21,0.0001,0.075
0.423875,0.4675,[0.855   nan   nan 0.212 0.    0.004 0.664 0.137 0.901 0.864],0.3794,0.5556,0_4_5_7_8,3_6_7_8_9,0.0029997825622558594,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.424,0.4673,[0.854   nan   nan 0.211 0.    0.004 0.664 0.137 0.901 0.864],0.3792,0.5554,0_4_5_7_8,3_6_7_8_9,0.0025014877319335938,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4357142857142857,0.4415833333333333,[  nan 0.    0.855 0.505   nan 0.781 0.005 0.      nan 0.931],0.5128333333333334,0.37033333333333335,2_3_5_6_7_9,1_3_5_6_7_9,0.002000570297241211,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4367142857142857,0.44166666666666665,[  nan 0.    0.856 0.504   nan 0.781 0.005 0.      nan 0.932],0.513,0.37033333333333335,2_3_5_6_7_9,1_3_5_6_7_9,0.0035076141357421875,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.3778888888888889,0.43415000000000004,[0.73  0.    0.    0.731 0.018 0.001 0.746 0.836 0.814   nan],0.4798,0.3885,0_4_5_7_8,1_2_3_4_6_7,0.0029985904693603516,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.38022222222222224,0.4284833333333333,[0.701 0.    0.    0.724 0.013 0.001 0.764 0.822 0.812   nan],0.4698,0.38716666666666666,0_4_5_7_8,1_2_3_4_6_7,0.002508878707885742,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5194285714285715,0.49621666666666664,[  nan   nan 0.93  0.23    nan 0.    0.607 0.146 0.845 0.84 ],0.4588333333333333,0.5336,2_3_5_6_7_9,3_6_7_8_9,0.0020020008087158203,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5197142857142857,0.4960333333333333,[  nan   nan 0.93  0.23    nan 0.    0.608 0.144 0.845 0.84 ],0.45866666666666667,0.5334,2_3_5_6_7_9,3_6_7_8_9,0.003000020980834961,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.37675,0.5106666666666667,[  nan 0.    0.    0.715 0.007 0.749 0.721 0.823   nan 0.854],0.6436666666666667,0.37766666666666665,1_3_5_6_7_9,1_2_3_4_6_7,0.003999233245849609,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.37425,0.5050833333333333,[  nan 0.    0.    0.714 0.007 0.739 0.699 0.818   nan 0.853],0.6371666666666667,0.373,1_3_5_6_7_9,1_2_3_4_6_7,0.002998828887939453,match_tensors_permute,resnet20x4,21,0.0001,0.075
