Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2614),tensor(0.3268),0_3_4_5_6_7_8_9,[tensor(0.8500), 0.0, 0.0, tensor(0.0010), tensor(0.), tensor(0.0030), tensor(0.0660), tensor(0.6060), tensor(0.9500), tensor(0.1380)],21,0.0001,0.075
tensor(0.1498),tensor(0.1664),0_1_2_3_4_5_6_7_8,[tensor(0.3160), tensor(0.0320), tensor(0.0110), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.2640), tensor(0.8750), 0.0],21,0.0001,0.075
tensor(0.2869),tensor(0.3586),1_2_3_4_5_6_7_9,[0.0, tensor(0.2630), tensor(0.0650), tensor(0.5810), tensor(0.0330), tensor(0.6700), tensor(0.1550), tensor(0.2250), 0.0, tensor(0.8770)],21,0.0001,0.075
tensor(0.3681),tensor(0.5259),1_2_3_5_6_7_9,[0.0, tensor(0.4610), tensor(0.7220), tensor(0.0740), 0.0, tensor(0.4450), tensor(0.4270), tensor(0.8550), 0.0, tensor(0.6970)],21,0.0001,0.075
tensor(0.2581),tensor(0.3226),0_3_4_5_6_7_8_9,[tensor(0.8350), 0.0, 0.0, tensor(0.0010), tensor(0.), tensor(0.0030), tensor(0.0570), tensor(0.6330), tensor(0.9490), tensor(0.1030)],21,0.0001,0.075
tensor(0.1477),tensor(0.1641),0_1_2_3_4_5_6_7_8,[tensor(0.2830), tensor(0.0490), tensor(0.0140), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.2750), tensor(0.8560), 0.0],21,0.0001,0.075
tensor(0.3667),tensor(0.5239),1_2_3_5_6_7_9,[0.0, tensor(0.3460), tensor(0.7730), tensor(0.0310), 0.0, tensor(0.4420), tensor(0.3600), tensor(0.8800), 0.0, tensor(0.8350)],21,0.0001,0.075
tensor(0.3383),tensor(0.4833),2_3_5_6_7_8_9,[0.0, 0.0, tensor(0.5080), tensor(0.0660), 0.0, tensor(0.5660), tensor(0.5370), tensor(0.7900), tensor(0.1630), tensor(0.7530)],21,0.0001,0.075
tensor(0.3429),tensor(0.4899),2_3_5_6_7_8_9,[0.0, 0.0, tensor(0.5070), tensor(0.0810), 0.0, tensor(0.5140), tensor(0.5460), tensor(0.8180), tensor(0.1580), tensor(0.8050)],21,0.0001,0.075
tensor(0.3079),tensor(0.3849),1_2_3_4_5_6_7_9,[0.0, tensor(0.3870), tensor(0.1700), tensor(0.5190), tensor(0.0900), tensor(0.5360), tensor(0.1550), tensor(0.4010), 0.0, tensor(0.8210)],21,0.0001,0.075
0.23366666666666666,0.2734553571428571,[  nan 0.231 0.401 0.044 0.013 0.458 0.147 0.247 0.298 0.472],0.251625,0.29528571428571426,1_2_3_4_5_6_7_9,2_3_5_6_7_8_9,0.001001119613647461,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.23433333333333334,0.27321428571428574,[  nan 0.229 0.398 0.043 0.013 0.462 0.147 0.247 0.302 0.469],0.251,0.29542857142857143,1_2_3_4_5_6_7_9,2_3_5_6_7_8_9,0.0010004043579101562,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2221,0.28628571428571425,[0.19  0.207 0.455 0.012 0.004 0.273 0.133 0.602 0.257 0.667],0.237,0.3355714285714286,0_1_2_3_4_5_6_7_8,1_2_3_5_6_7_9,0.002000093460083008,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2225,0.2866666666666667,[0.19  0.203 0.459 0.014 0.004 0.265 0.132 0.61  0.259 0.669],0.23733333333333334,0.336,0_1_2_3_4_5_6_7_8,1_2_3_5_6_7_9,0.0010013580322265625,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.1734,0.2474375,[0.364 0.375 0.352 0.069 0.158 0.087 0.184 0.504 0.386 0.239],0.248875,0.246,0_3_4_5_6_7_8_9,1_2_3_4_5_6_7_9,0.0020003318786621094,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.1723,0.2475,[0.368 0.374 0.35  0.069 0.157 0.088 0.185 0.497 0.392 0.242],0.24975,0.24525,0_3_4_5_6_7_8_9,1_2_3_4_5_6_7_9,0.0009999275207519531,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2475,0.21163392857142857,[0.46  0.266 0.481 0.041 0.008 0.02  0.161 0.392 0.468 0.131],0.21314285714285713,0.210125,1_2_3_5_6_7_9,0_3_4_5_6_7_8_9,0.0010001659393310547,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2479,0.21251785714285715,[0.457 0.265 0.481 0.043 0.008 0.02  0.161 0.396 0.467 0.134],0.21428571428571427,0.21075,1_2_3_5_6_7_9,0_3_4_5_6_7_8_9,0.0019989013671875,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.17022222222222222,0.17044444444444445,[0.283 0.103 0.013 0.    0.    0.    0.    0.275 0.86    nan],0.17044444444444445,0_1_2_3_4_5_6_7_8,0.0,None,resnet20x4,21,0.0001,0.075
0.5364285714285715,0.5591428571428572,[  nan   nan 0.579 0.092   nan 0.582 0.573 0.847 0.287 0.954],0.5591428571428572,2_3_5_6_7_8_9,0.0,None,resnet20x4,21,0.0001,0.075
