Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.6899),tensor(0.6899),0_1_2_3_4_5_6_7_8_9,[tensor(0.7270), tensor(0.8130), tensor(0.5210), tensor(0.4870), tensor(0.6680), tensor(0.5880), tensor(0.7800), tensor(0.7890), tensor(0.7520), tensor(0.7740)],21,0.0001,0.075
tensor(0.6598),tensor(0.6598),0_1_2_3_4_5_6_7_8_9,[tensor(0.7910), tensor(0.7690), tensor(0.5730), tensor(0.4210), tensor(0.5630), tensor(0.5680), tensor(0.7390), tensor(0.7370), tensor(0.7290), tensor(0.7080)],21,0.0001,0.075
tensor(0.6835),tensor(0.6835),0_1_2_3_4_5_6_7_8_9,[tensor(0.7720), tensor(0.7920), tensor(0.4940), tensor(0.4940), tensor(0.6270), tensor(0.5570), tensor(0.7890), tensor(0.7950), tensor(0.7420), tensor(0.7730)],21,0.0001,0.075
tensor(0.6613),tensor(0.6613),0_1_2_3_4_5_6_7_8_9,[tensor(0.7810), tensor(0.7780), tensor(0.5680), tensor(0.4320), tensor(0.6200), tensor(0.5570), tensor(0.7260), tensor(0.7210), tensor(0.7440), tensor(0.6860)],21,0.0001,0.075
0.5317,0.5461,[0.58  0.663 0.441 0.337 0.585 0.431 0.469 0.644 0.728 0.583],0.5461,0.5461,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.46965622901916504,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5322,0.5459,[0.579 0.664 0.443 0.336 0.586 0.431 0.466 0.644 0.728 0.582],0.5459,0.5459,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,1.0832228660583496,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5483,0.5021,[0.667 0.581 0.363 0.28  0.528 0.396 0.428 0.58  0.6   0.598],0.5021,0.5021,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.44333934783935547,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5484,0.502,[0.666 0.579 0.364 0.279 0.527 0.397 0.428 0.582 0.6   0.598],0.502,0.502,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_7_8_9,0.4494638442993164,match_tensors_zipit,resnet20x4,21,0.0001,0.075
