Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2774),tensor(0.2774),0_7_6_5_9_7,[tensor(0.5470), 0.0, 0.0, 0.0, 0.0, tensor(0.3460), tensor(0.6600), tensor(0.0003), 0.0, tensor(0.1110)],21,0.0001,0.075
tensor(0.2533),tensor(0.2533),1_4_5_2_5_6,[0.0, tensor(0.6800), tensor(0.1850), 0.0, tensor(0.1800), tensor(0.0004), tensor(0.4740), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2590),tensor(0.2590),2_5_6_1_4_5,[0.0, tensor(0.6990), tensor(0.2800), 0.0, tensor(0.1290), tensor(0.0004), tensor(0.4450), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2105),tensor(0.2105),3_5_1_5_8_7,[0.0, tensor(0.5780), 0.0, tensor(0.3100), 0.0, tensor(0.0004), 0.0, tensor(0.2330), tensor(0.1410), 0.0],21,0.0001,0.075
tensor(0.6727),tensor(0.6727),3_5_4,[0.0, 0.0, 0.0, tensor(0.6300), tensor(0.6560), tensor(0.7320), 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2761),tensor(0.2761),5_4_3_6_5_7,[0.0, 0.0, 0.0, tensor(0.5160), tensor(0.3470), tensor(0.0004), tensor(0.4160), tensor(0.3770), 0.0, 0.0],21,0.0001,0.075
tensor(0.3061),tensor(0.3061),5_8_7_3_5_1,[0.0, tensor(0.7420), 0.0, tensor(0.4910), 0.0, tensor(0.0004), 0.0, tensor(0.2840), tensor(0.3190), 0.0],21,0.0001,0.075
tensor(0.3086),tensor(0.3086),5_9_7_0_7_6,[tensor(0.3650), 0.0, 0.0, 0.0, 0.0, tensor(0.2860), tensor(0.8930), tensor(0.0003), 0.0, tensor(0.3070)],21,0.0001,0.075
tensor(0.7143),tensor(0.7143),6_4_2,[0.0, 0.0, tensor(0.6010), 0.0, tensor(0.7120), 0.0, tensor(0.8300), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.3223),tensor(0.3223),6_5_7_5_4_3,[0.0, 0.0, 0.0, tensor(0.4740), tensor(0.5190), tensor(0.0003), tensor(0.5190), tensor(0.4210), 0.0, 0.0],21,0.0001,0.075
0.4257142857142857,0.45225000000000004,0.443,0.4615,0_7_6_5_9_7,6_5_7_5_4_3,0.003513813018798828,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.42742857142857144,0.4525,0.4425,0.4625,0_7_6_5_9_7,6_5_7_5_4_3,0.00368499755859375,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5968,0.70475,0.6918333333333333,0.7176666666666667,2_5_6_1_4_5,6_4_2,0.0038962364196777344,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5968,0.7065833333333333,0.6908333333333333,0.7223333333333334,2_5_6_1_4_5,6_4_2,0.0035822391510009766,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5293333333333333,0.5953333333333333,0.5936666666666667,0.597,3_5_4,5_8_7_3_5_1,0.003638029098510742,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5271666666666667,0.595,0.5946666666666667,0.5953333333333334,3_5_4,5_8_7_3_5_1,0.003520488739013672,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.3975714285714286,0.4995833333333333,0.507,0.49216666666666664,1_4_5_2_5_6,5_4_3_6_5_7,0.003842592239379883,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.3974285714285714,0.49916666666666665,0.507,0.49133333333333334,1_4_5_2_5_6,5_4_3_6_5_7,0.0036640167236328125,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5362,0.6285,0.6285,3_5_1_5_8_7,0.0,None,resnet20x4,21,0.0001,0.075
0.6248,0.6476666666666666,0.6476666666666666,5_9_7_0_7_6,0.0,None,resnet20x4,21,0.0001,0.075
