Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.3675),tensor(0.3675),0_1_3_5_6_7,[tensor(0.1590), tensor(0.1900), 0.0, tensor(0.4510), 0.0, tensor(0.3110), tensor(0.4890), tensor(0.6050), 0.0, 0.0],21,0.0001,0.075
tensor(0.3593),tensor(0.3593),0_3_4_5_6_7,[tensor(0.0790), 0.0, 0.0, tensor(0.2690), tensor(0.1250), tensor(0.5600), tensor(0.4240), tensor(0.6990), 0.0, 0.0],21,0.0001,0.075
tensor(0.4420),tensor(0.4420),0_5_6_7_8,[tensor(0.4150), 0.0, 0.0, 0.0, 0.0, tensor(0.2740), tensor(0.7190), tensor(0.7690), tensor(0.0330), 0.0],21,0.0001,0.075
tensor(0.4654),tensor(0.4654),1_2_4_5_6,[0.0, tensor(0.7070), tensor(0.4050), 0.0, tensor(0.2170), tensor(0.6470), tensor(0.3510), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.5184),tensor(0.5184),1_3_5_6_7,[0.0, tensor(0.7120), 0.0, tensor(0.4160), 0.0, tensor(0.6660), tensor(0.4450), tensor(0.3530), 0.0, 0.0],21,0.0001,0.075
tensor(0.5618),tensor(0.5618),1_3_5_7_8,[0.0, tensor(0.8150), 0.0, tensor(0.5430), 0.0, tensor(0.7710), 0.0, tensor(0.3320), tensor(0.3480), 0.0],21,0.0001,0.075
tensor(0.4648),tensor(0.4648),2_4_5_6_7_9,[0.0, 0.0, tensor(0.2700), 0.0, tensor(0.1920), tensor(0.5200), tensor(0.4380), tensor(0.6880), 0.0, tensor(0.6810)],21,0.0001,0.075
tensor(0.5103),tensor(0.5103),2_5_6_7,[0.0, 0.0, tensor(0.3050), 0.0, 0.0, tensor(0.6050), tensor(0.6870), tensor(0.4440), 0.0, 0.0],21,0.0001,0.075
tensor(0.4460),tensor(0.4460),3_4_5_7_8,[0.0, 0.0, 0.0, tensor(0.5850), tensor(0.5010), tensor(0.7390), 0.0, tensor(0.1810), tensor(0.2240), 0.0],21,0.0001,0.075
tensor(0.4838),tensor(0.4838),3_4_5_7_9,[0.0, 0.0, 0.0, tensor(0.5350), tensor(0.4720), tensor(0.6520), 0.0, tensor(0.3260), 0.0, tensor(0.4340)],21,0.0001,0.075
0.312,0.41000000000000003,0.339,0.481,2_5_6_7,3_4_5_7_8,0.43724799156188965,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.44057142857142856,0.4869,0.4858,0.488,1_3_5_7_8,2_5_6_7,0.42545318603515625,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.49383333333333335,0.5363,0.5792,0.4934,1_3_5_7_8,3_4_5_7_8,0.4091954231262207,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.382,0.4932833333333333,0.5194,0.4671666666666667,1_3_5_6_7,2_4_5_6_7_9,0.4005093574523926,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.323875,0.42041666666666666,0.36183333333333334,0.479,0_1_3_5_6_7,3_4_5_7_9,0.4131321907043457,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.47433333333333333,0.5174,0.478,0.5568,0_1_3_5_6_7,1_3_5_6_7,0.4072563648223877,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4614285714285714,0.46799999999999997,0.3984,0.5376,0_5_6_7_8,1_3_5_6_7,0.4254751205444336,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.44242857142857145,0.5494,0.508,0.5908,0_1_3_5_6_7,1_3_5_7_8,0.4694516658782959,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.48728571428571427,0.5624,0.5408,0.584,0_5_6_7_8,1_3_5_7_8,0.4197242259979248,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.43857142857142856,0.59075,0.5745,0.607,0_3_4_5_6_7,0_5_6_7_8,0.4404606819152832,match_tensors_zipit,resnet20x4,21,0.0001,0.075
