Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.5000),tensor(0.5000),0_7_6_5_9_7_3_5_4,[tensor(0.5410), 0.0, 0.0, tensor(0.4270), tensor(0.2800), tensor(0.2670), tensor(0.6650), tensor(0.8280), 0.0, tensor(0.4920)],21,0.0001,0.075
tensor(0.7252),tensor(0.7252),1_4_5_2_5_6,[0.0, tensor(0.8870), tensor(0.5810), 0.0, tensor(0.7550), tensor(0.7290), tensor(0.6740), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.7166),tensor(0.7166),2_5_6_1_4_5,[0.0, tensor(0.8630), tensor(0.5400), 0.0, tensor(0.7490), tensor(0.7150), tensor(0.7160), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.7550),tensor(0.7550),3_5_1_5_8_7,[0.0, tensor(0.8560), 0.0, tensor(0.6920), 0.0, tensor(0.7790), 0.0, tensor(0.7300), tensor(0.7180), 0.0],21,0.0001,0.075
tensor(0.5190),tensor(0.5190),3_5_4_0_7_6_5_9_7,[tensor(0.6070), 0.0, 0.0, tensor(0.3130), tensor(0.2880), tensor(0.3150), tensor(0.8010), tensor(0.7960), 0.0, tensor(0.5130)],21,0.0001,0.075
tensor(0.7852),tensor(0.7852),5_4_3_6_5_7,[0.0, 0.0, 0.0, tensor(0.7570), tensor(0.7760), tensor(0.7880), tensor(0.8270), tensor(0.7780), 0.0, 0.0],21,0.0001,0.075
tensor(0.7682),tensor(0.7682),5_8_7_3_5_1,[0.0, tensor(0.9120), 0.0, tensor(0.6990), 0.0, tensor(0.7760), 0.0, tensor(0.7240), tensor(0.7300), 0.0],21,0.0001,0.075
tensor(0.7630),tensor(0.7630),5_9_7_0_7_6,[tensor(0.7320), 0.0, 0.0, 0.0, 0.0, tensor(0.6800), tensor(0.8450), tensor(0.7230), 0.0, tensor(0.8350)],21,0.0001,0.075
tensor(0.5592),tensor(0.5592),6_4_2_6_5_7_5_4_3,[0.0, 0.0, tensor(0.5250), tensor(0.2620), tensor(0.6660), tensor(0.5230), tensor(0.8180), tensor(0.5610), 0.0, 0.0],21,0.0001,0.075
tensor(0.5590),tensor(0.5590),6_5_7_5_4_3_6_4_2,[0.0, 0.0, tensor(0.5480), tensor(0.3210), tensor(0.6380), tensor(0.5220), tensor(0.7970), tensor(0.5280), 0.0, 0.0],21,0.0001,0.075
0.2635,0.40608333333333335,[0.653 0.239 0.383   nan 0.39  0.404 0.442 0.308   nan 0.496],0.377,0.43516666666666665,2_5_6_1_4_5,5_9_7_0_7_6,0.0016748905181884766,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2635,0.40725,[0.653 0.24  0.383   nan 0.39  0.406 0.442 0.313   nan 0.493],0.37783333333333335,0.43666666666666665,2_5_6_1_4_5,5_9_7_0_7_6,0.0017549991607666016,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.22055555555555556,0.3141666666666667,[0.471 0.127 0.352 0.266 0.361 0.198 0.418 0.314   nan 0.634],0.27566666666666667,0.3526666666666667,1_4_5_2_5_6,3_5_4_0_7_6_5_9_7,0.0015265941619873047,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.22044444444444444,0.31383333333333335,[0.472 0.128 0.35  0.266 0.361 0.197 0.417 0.314   nan 0.636],0.275,0.3526666666666667,1_4_5_2_5_6,3_5_4_0_7_6_5_9_7,0.0017266273498535156,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.3137142857142857,0.38116666666666665,[  nan 0.434   nan 0.323 0.412 0.326 0.429 0.406 0.537   nan],0.392,0.37033333333333335,3_5_1_5_8_7,5_4_3_6_5_7,0.0014445781707763672,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.31314285714285717,0.38049999999999995,[  nan 0.432   nan 0.326 0.407 0.324 0.429 0.405 0.54    nan],0.3918333333333333,0.36916666666666664,3_5_1_5_8_7,5_4_3_6_5_7,0.0013976097106933594,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.30525,0.30169444444444443,[  nan 0.506 0.416 0.119 0.278 0.146 0.437 0.391 0.547   nan],0.30916666666666665,0.2942222222222222,5_8_7_3_5_1,6_4_2_6_5_7_5_4_3,0.0019526481628417969,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.305625,0.30180555555555555,[  nan 0.509 0.416 0.12  0.278 0.145 0.437 0.391 0.547   nan],0.3095,0.2941111111111111,5_8_7_3_5_1,6_4_2_6_5_7_5_4_3,0.0013279914855957031,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.515,0.5762222222222222,[0.749   nan   nan 0.488 0.351 0.276 0.684 0.832   nan 0.698],0.5762222222222222,0_7_6_5_9_7_3_5_4,0.0,None,resnet20x4,21,0.0001,0.075
0.588,0.6196666666666667,[  nan   nan 0.627 0.356 0.652 0.529 0.811 0.61    nan   nan],0.6196666666666667,6_5_7_5_4_3_6_4_2,0.0,None,resnet20x4,21,0.0001,0.075
