Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.4371),tensor(0.4371),0_7_6_8_9_5_4_3_2_5_6,[tensor(0.6660), 0.0, tensor(0.3760), tensor(0.1870), tensor(0.4370), tensor(0.1820), tensor(0.5810), tensor(0.8210), tensor(0.2380), tensor(0.4460)],21,0.0001,0.075
tensor(0.7593),tensor(0.7593),1_4_5_6_0_7,[tensor(0.7200), tensor(0.8750), 0.0, 0.0, tensor(0.6930), tensor(0.7180), tensor(0.7730), tensor(0.7770), 0.0, 0.0],21,0.0001,0.075
tensor(0.3700),tensor(0.3700),2_5_6_5_4_3_3_5_4_3_5_1,[0.0, tensor(0.4050), tensor(0.4390), tensor(0.0930), tensor(0.3950), tensor(0.1830), tensor(0.7050), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.4694),tensor(0.4694),3_5_1_3_5_4_6_4_2_6_5_7,[0.0, tensor(0.8070), tensor(0.1600), tensor(0.5900), tensor(0.3970), tensor(0.4990), tensor(0.2680), tensor(0.5650), 0.0, 0.0],21,0.0001,0.075
tensor(0.3850),tensor(0.3850),3_5_4_3_5_1_2_5_6_5_4_3,[0.0, tensor(0.2490), tensor(0.4530), tensor(0.1500), tensor(0.4490), tensor(0.4090), tensor(0.6000), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.4437),tensor(0.4437),5_4_3_2_5_6_0_7_6_8_9,[tensor(0.7450), 0.0, tensor(0.3840), tensor(0.2800), tensor(0.4280), tensor(0.1200), tensor(0.5030), tensor(0.8080), tensor(0.2530), tensor(0.4720)],21,0.0001,0.075
tensor(0.7625),tensor(0.7625),6_0_7_1_4_5,[tensor(0.6920), tensor(0.8860), 0.0, 0.0, tensor(0.7270), tensor(0.7490), tensor(0.7710), tensor(0.7500), 0.0, 0.0],21,0.0001,0.075
tensor(0.4083),tensor(0.4083),6_4_2_6_5_7_3_5_1_3_5_4,[0.0, tensor(0.7360), tensor(0.1130), tensor(0.3920), tensor(0.3720), tensor(0.3470), tensor(0.2930), tensor(0.6050), 0.0, 0.0],21,0.0001,0.075
tensor(0.4764),tensor(0.4764),6_5_7_6_4_2_8_9_0_7_6,[tensor(0.4590), 0.0, tensor(0.5420), 0.0, tensor(0.5770), tensor(0.2720), tensor(0.8110), tensor(0.4800), tensor(0.2270), tensor(0.4430)],21,0.0001,0.075
tensor(0.4885),tensor(0.4885),8_9_0_7_6_6_5_7_6_4_2,[tensor(0.3790), 0.0, tensor(0.5050), 0.0, tensor(0.6650), tensor(0.3110), tensor(0.8030), tensor(0.4740), tensor(0.3840), tensor(0.3870)],21,0.0001,0.075
0.1922,0.2595227272727273,[0.524 0.201 0.322 0.178 0.205 0.103 0.24  0.338 0.142 0.361],0.2685,0.25054545454545457,1_4_5_6_0_7,5_4_3_2_5_6_0_7_6_8_9,0.0012798309326171875,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.1924,0.2589090909090909,[0.524 0.202 0.32  0.179 0.204 0.103 0.238 0.337 0.142 0.36 ],0.268,0.24981818181818183,1_4_5_6_0_7,5_4_3_2_5_6_0_7_6_8_9,0.001195669174194336,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2461,0.26594318181818183,[0.144 0.768 0.177 0.214 0.326 0.176 0.314 0.182 0.309 0.33 ],0.28025,0.25163636363636366,3_5_1_3_5_4_6_4_2_6_5_7,8_9_0_7_6_6_5_7_6_4_2,0.0020248889923095703,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2459,0.26570454545454547,[0.145 0.768 0.177 0.209 0.33  0.174 0.314 0.181 0.311 0.33 ],0.2795,0.2519090909090909,3_5_1_3_5_4_6_4_2_6_5_7,8_9_0_7_6_6_5_7_6_4_2,0.0012004375457763672,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.1917,0.23679545454545453,[0.252 0.242 0.369 0.115 0.36  0.311 0.072 0.188 0.187 0.36 ],0.2360909090909091,0.2375,0_7_6_8_9_5_4_3_2_5_6,6_0_7_1_4_5,0.001218557357788086,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.1917,0.23727272727272727,[0.252 0.242 0.366 0.115 0.36  0.314 0.072 0.188 0.188 0.361],0.23654545454545456,0.238,0_7_6_8_9_5_4_3_2_5_6,6_0_7_1_4_5,0.0012247562408447266,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2337,0.24363257575757574,[0.238 0.73  0.244 0.12  0.321 0.076 0.303 0.179 0.109 0.475],0.23908333333333334,0.24818181818181817,6_4_2_6_5_7_3_5_1_3_5_4,6_5_7_6_4_2_8_9_0_7_6,0.0011839866638183594,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.234,0.24384469696969696,[0.238 0.73  0.244 0.12  0.324 0.075 0.304 0.178 0.107 0.475],0.23941666666666667,0.24827272727272728,6_4_2_6_5_7_3_5_1_3_5_4,6_5_7_6_4_2_8_9_0_7_6,0.002131223678588867,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.45316666666666666,0.4121666666666667,[  nan 0.576 0.553 0.115 0.499 0.441 0.71    nan   nan   nan],0.4121666666666667,2_5_6_5_4_3_3_5_4_3_5_1,0.0,None,resnet20x4,21,0.0001,0.075
0.46066666666666667,0.4569166666666667,[  nan 0.455 0.525 0.168 0.53  0.583 0.607   nan   nan   nan],0.4569166666666667,3_5_4_3_5_1_2_5_6_5_4_3,0.0,None,resnet20x4,21,0.0001,0.075
