Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.3483),tensor(0.4976),3_4_5_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.4530), tensor(0.3690), tensor(0.2950), tensor(0.7510), tensor(0.6130), tensor(0.6600), tensor(0.3420)],21,0.0001,0.075
tensor(0.3288),tensor(0.4697),0_1_2_3_4_6_7,[tensor(0.2860), tensor(0.3980), tensor(0.0490), tensor(0.5420), tensor(0.7710), 0.0, tensor(0.4420), tensor(0.8000), 0.0, 0.0],21,0.0001,0.075
tensor(0.3499),tensor(0.4999),3_4_5_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.4640), tensor(0.3360), tensor(0.2130), tensor(0.7760), tensor(0.6830), tensor(0.6400), tensor(0.3870)],21,0.0001,0.075
tensor(0.2786),tensor(0.3980),1_2_3_4_5_6_7,[0.0, tensor(0.1720), tensor(0.0020), tensor(0.6430), tensor(0.8330), tensor(0.1230), tensor(0.2980), tensor(0.7150), 0.0, 0.0],21,0.0001,0.075
tensor(0.2361),tensor(0.2623),1_2_3_4_5_6_7_8_9,[0.0, tensor(0.0060), tensor(0.0330), tensor(0.7150), tensor(0.1700), tensor(0.), tensor(0.9300), tensor(0.3890), tensor(0.0790), tensor(0.0390)],21,0.0001,0.075
tensor(0.3283),tensor(0.4690),0_1_2_3_4_6_7,[tensor(0.2350), tensor(0.4160), tensor(0.1040), tensor(0.5750), tensor(0.7790), 0.0, tensor(0.4240), tensor(0.7500), 0.0, 0.0],21,0.0001,0.075
tensor(0.2686),tensor(0.3837),1_2_3_4_5_6_7,[0.0, tensor(0.0520), tensor(0.0690), tensor(0.8050), tensor(0.2210), tensor(0.0010), tensor(0.8520), tensor(0.6860), 0.0, 0.0],21,0.0001,0.075
tensor(0.2876),tensor(0.3196),1_2_3_4_5_6_7_8_9,[0.0, tensor(0.0040), tensor(0.0730), tensor(0.7230), tensor(0.1510), tensor(0.0040), tensor(0.9410), tensor(0.7680), tensor(0.1830), tensor(0.0290)],21,0.0001,0.075
tensor(0.2762),tensor(0.3946),1_2_3_4_5_6_7,[0.0, tensor(0.1470), tensor(0.0020), tensor(0.6310), tensor(0.8350), tensor(0.1170), tensor(0.2630), tensor(0.7670), 0.0, 0.0],21,0.0001,0.075
tensor(0.2766),tensor(0.3951),1_2_3_4_5_6_7,[0.0, tensor(0.0290), tensor(0.0800), tensor(0.8590), tensor(0.1810), tensor(0.0020), tensor(0.8530), tensor(0.7620), 0.0, 0.0],21,0.0001,0.075
0.19577777777777777,0.19860416666666666,[  nan 0.212 0.287 0.161 0.104 0.246 0.041 0.332 0.427 0.148],0.223875,0.17333333333333334,3_4_5_6_7_8_9,1_2_3_4_5_6_7,0.0012383460998535156,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.195,0.19889583333333333,[  nan 0.208 0.285 0.161 0.109 0.242 0.041 0.333 0.426 0.148],0.224125,0.17366666666666666,3_4_5_6_7_8_9,1_2_3_4_5_6_7,0.001191854476928711,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.25925,0.25472222222222224,[0.097 0.343 0.093 0.396 0.171 0.031 0.296 0.482   nan   nan],0.2657777777777778,0.24366666666666667,0_1_2_3_4_6_7,1_2_3_4_5_6_7,0.0011813640594482422,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.258875,0.25475,[0.095 0.339 0.093 0.398 0.171 0.03  0.298 0.484   nan   nan],0.2653333333333333,0.24416666666666667,0_1_2_3_4_6_7,1_2_3_4_5_6_7,0.0012655258178710938,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.291,0.25045833333333334,[  nan 0.291 0.078 0.466 0.119 0.03  0.331 0.516   nan   nan],0.24533333333333332,0.25558333333333333,1_2_3_4_5_6_7,1_2_3_4_5_6_7,0.001209259033203125,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.29085714285714287,0.25033333333333335,[  nan 0.294 0.079 0.465 0.119 0.031 0.329 0.515   nan   nan],0.24525,0.2554166666666667,1_2_3_4_5_6_7,1_2_3_4_5_6_7,0.0012335777282714844,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2153,0.19564141414141412,[0.101 0.039 0.071 0.253 0.035 0.036 0.478 0.493 0.227 0.256],0.17155555555555554,0.21972727272727272,0_1_2_3_4_6_7,1_2_3_4_5_6_7_8_9,0.0012462139129638672,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2155,0.1962979797979798,[0.1   0.04  0.071 0.251 0.034 0.04  0.482 0.494 0.227 0.256],0.17177777777777778,0.22081818181818183,0_1_2_3_4_6_7,1_2_3_4_5_6_7_8_9,0.0011506080627441406,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.5555714285714286,0.564375,[  nan   nan   nan 0.473 0.531 0.337 0.757 0.622 0.747 0.426],0.564375,3_4_5_6_7_8_9,0.0,None,resnet20x4,21,0.0001,0.075
0.26644444444444443,0.2545454545454545,[  nan 0.006 0.036 0.727 0.17  0.    0.93  0.399 0.082 0.051],0.2545454545454545,1_2_3_4_5_6_7_8_9,0.0,None,resnet20x4,21,0.0001,0.075
