Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.0256),tensor(0.0256),0_6_8_3_4_2_1_8_1_6_0_2_7_9_3_1_0_9_7_8_5_2_1_3_8_4_0_9,[tensor(1.4469e-11), tensor(1.4297e-11), tensor(9.6444e-08), tensor(8.7333e-08), tensor(0.0004), tensor(0.7140), tensor(0.0005), tensor(0.0004), tensor(1.4750e-11), tensor(9.9556e-08)],21,0.0001,0.075
tensor(0.1112),tensor(0.1112),2_1_3_8_4_0_9_3_1_0_9_7_8_5_4_2_3_0_6_9_1,[tensor(1.0244e-07), tensor(1.0722e-07), tensor(0.0004), tensor(8.5333e-08), tensor(0.0004), tensor(0.7270), tensor(0.8110), tensor(0.7940), tensor(0.0005), tensor(1.0433e-07)],21,0.0001,0.075
tensor(0.0255),tensor(0.0255),3_0_9_8_6_2_7_5_8_2_1_4_3_9_6_9_7_0_2_1_8_3_1_7_4_8_9_0,[tensor(1.0244e-07), tensor(1.0533e-07), tensor(9.5556e-08), tensor(8.8778e-08), tensor(0.0004), tensor(0.7130), tensor(0.0005), tensor(9.9222e-08), tensor(1.4703e-11), tensor(1.4047e-11)],21,0.0001,0.075
tensor(0.0261),tensor(0.0261),3_1_0_9_7_8_5_2_1_3_8_4_0_9_0_6_8_3_4_2_1_8_1_6_0_2_7_9,[tensor(1.4547e-11), tensor(1.4828e-11), tensor(9.6778e-08), tensor(8.8111e-08), tensor(0.0004), tensor(0.7290), tensor(0.0005), tensor(0.0004), tensor(1.4828e-11), tensor(9.5000e-08)],21,0.0001,0.075
tensor(0.0354),tensor(0.0354),3_1_7_4_8_9_0_6_9_7_0_2_1_8_6_0_4_8_7_2_9,[tensor(1.0022e-07), tensor(0.0005), tensor(0.0003), tensor(0.7400), tensor(0.0004), 0.0, tensor(0.0004), tensor(1.0056e-07), tensor(1.0522e-07), tensor(1.0300e-07)],21,0.0001,0.075
tensor(0.1123),tensor(0.1123),4_2_3_0_6_9_1_2_1_3_8_4_0_9_3_1_0_9_7_8_5,[tensor(1.0400e-07), tensor(1.0589e-07), tensor(0.0004), tensor(8.4889e-08), tensor(0.0004), tensor(0.7280), tensor(0.8210), tensor(0.8070), tensor(0.0005), tensor(1.0444e-07)],21,0.0001,0.075
tensor(0.0252),tensor(0.0252),5_8_2_1_4_3_9_3_0_9_8_6_2_7_8_1_6_0_2_7_9_0_6_8_3_4_2_1,[tensor(1.0078e-07), tensor(1.0456e-07), tensor(1.3578e-11), tensor(8.8000e-08), tensor(0.0004), tensor(0.7050), tensor(1.0267e-07), tensor(0.0004), tensor(1.4797e-11), tensor(1.0111e-07)],21,0.0001,0.075
tensor(0.0347),tensor(0.0347),6_0_4_8_7_2_9_3_1_7_4_8_9_0_6_9_7_0_2_1_8,[tensor(1.0022e-07), tensor(0.0005), tensor(0.0003), tensor(0.7260), tensor(0.0004), 0.0, tensor(0.0004), tensor(1.0189e-07), tensor(1.0589e-07), tensor(1.0400e-07)],21,0.0001,0.075
tensor(0.0261),tensor(0.0261),6_9_7_0_2_1_8_3_1_7_4_8_9_0_3_0_9_8_6_2_7_5_8_2_1_4_3_9,[tensor(1.0144e-07), tensor(1.0333e-07), tensor(9.5222e-08), tensor(8.6444e-08), tensor(0.0004), tensor(0.7280), tensor(0.0005), tensor(9.8000e-08), tensor(1.4750e-11), tensor(1.4453e-11)],21,0.0001,0.075
tensor(0.0262),tensor(0.0262),8_1_6_0_2_7_9_0_6_8_3_4_2_1_5_8_2_1_4_3_9_3_0_9_8_6_2_7,[tensor(1.0144e-07), tensor(1.0333e-07), tensor(1.3484e-11), tensor(8.4889e-08), tensor(0.0004), tensor(0.7330), tensor(1.0400e-07), tensor(0.0005), tensor(1.4672e-11), tensor(1.0233e-07)],21,0.0001,0.075
0.8127,0.8342619047619048,0.8439047619047619,0.8246190476190476,3_1_7_4_8_9_0_6_9_7_0_2_1_8_6_0_4_8_7_2_9,4_2_3_0_6_9_1_2_1_3_8_4_0_9_3_1_0_9_7_8_5,0.0034089088439941406,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.8107,0.8341190476190476,0.8437142857142857,0.8245238095238095,3_1_7_4_8_9_0_6_9_7_0_2_1_8_6_0_4_8_7_2_9,4_2_3_0_6_9_1_2_1_3_8_4_0_9_3_1_0_9_7_8_5,0.0034754276275634766,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.832,0.8216488095238095,0.8198214285714286,0.8234761904761905,3_1_0_9_7_8_5_2_1_3_8_4_0_9_0_6_8_3_4_2_1_8_1_6_0_2_7_9,6_0_4_8_7_2_9_3_1_7_4_8_9_0_6_9_7_0_2_1_8,0.0036945343017578125,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.8322,0.8218690476190476,0.8200714285714286,0.8236666666666667,3_1_0_9_7_8_5_2_1_3_8_4_0_9_0_6_8_3_4_2_1_8_1_6_0_2_7_9,6_0_4_8_7_2_9_3_1_7_4_8_9_0_6_9_7_0_2_1_8,0.004633188247680664,match_tensors_permute,resnet20x4,21,0.0001,0.075
