Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.9124),tensor(0.9124),0_9_2_8_3,[tensor(0.9160), 0.0, tensor(0.8890), tensor(0.8390), 0.0, 0.0, 0.0, 0.0, tensor(0.9650), tensor(0.9530)],21,0.0001,0.075
tensor(0.9588),tensor(0.9588),1_5_8_4_6,[0.0, tensor(0.9770), 0.0, 0.0, tensor(0.9380), tensor(0.9350), tensor(0.9690), 0.0, tensor(0.9750), 0.0],21,0.0001,0.075
tensor(0.9096),tensor(0.9096),3_7_0_8_5,[tensor(0.9370), 0.0, 0.0, tensor(0.8140), 0.0, tensor(0.8930), 0.0, tensor(0.9540), tensor(0.9500), 0.0],21,0.0001,0.075
tensor(0.9510),tensor(0.9510),4_9_6_5_1,[0.0, tensor(0.9650), 0.0, 0.0, tensor(0.9460), tensor(0.9250), tensor(0.9590), 0.0, 0.0, tensor(0.9600)],21,0.0001,0.075
tensor(0.9404),tensor(0.9404),5_0_7_8_9,[tensor(0.9120), 0.0, 0.0, 0.0, 0.0, tensor(0.9250), 0.0, tensor(0.9560), tensor(0.9710), tensor(0.9380)],21,0.0001,0.075
tensor(0.9494),tensor(0.9494),5_6_7_4_1,[0.0, tensor(0.9880), 0.0, 0.0, tensor(0.9070), tensor(0.9540), tensor(0.9480), tensor(0.9500), 0.0, 0.0],21,0.0001,0.075
tensor(0.9258),tensor(0.9258),6_2_3_4_1,[0.0, tensor(0.9960), tensor(0.8940), tensor(0.8480), tensor(0.9320), 0.0, tensor(0.9590), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.9218),tensor(0.9218),7_2_3_0_8,[tensor(0.9030), 0.0, tensor(0.9110), tensor(0.8620), 0.0, 0.0, 0.0, tensor(0.9580), tensor(0.9750), 0.0],21,0.0001,0.075
tensor(0.9246),tensor(0.9246),7_2_9_3_0,[tensor(0.9430), 0.0, tensor(0.9030), tensor(0.8440), 0.0, 0.0, 0.0, tensor(0.9650), 0.0, tensor(0.9680)],21,0.0001,0.075
tensor(0.9378),tensor(0.9378),9_2_4_6_1,[0.0, tensor(0.9420), tensor(0.8890), 0.0, tensor(0.9170), 0.0, tensor(0.9750), 0.0, 0.0, tensor(0.9660)],21,0.0001,0.075
0.5078,0.8167,0.7862,0.8472,0_9_2_8_3,5_6_7_4_1,0.5135419368743896,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.67225,0.8281000000000001,0.8478,0.8084,1_5_8_4_6,3_7_0_8_5,0.6367058753967285,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6236666666666667,0.8437,0.8162,0.8712,0_9_2_8_3,4_9_6_5_1,0.5421922206878662,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6551428571428571,0.8599,0.8864,0.8334,4_9_6_5_1,6_2_3_4_1,0.4968578815460205,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6055555555555555,0.8425,0.8406,0.8444,3_7_0_8_5,6_2_3_4_1,0.3748664855957031,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5953333333333334,0.8505,0.8578,0.8432,5_6_7_4_1,7_2_3_0_8,0.43775224685668945,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5835,0.8567,0.8762,0.8372,4_9_6_5_1,7_2_3_0_8,0.399059534072876,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.589625,0.8069999999999999,0.7726,0.8414,0_9_2_8_3,6_2_3_4_1,0.4689955711364746,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5446,0.8325,0.8396,0.8254,5_0_7_8_9,6_2_3_4_1,0.39697694778442383,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5445,0.8094,0.8314,0.7874,3_7_0_8_5,9_2_4_6_1,0.37514519691467285,match_tensors_zipit,resnet20x4,21,0.0001,0.075
