Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2178),tensor(0.7260),2_3_5,[0.0, 0.0, tensor(0.6840), tensor(0.6980), 0.0, tensor(0.7960), 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2379),tensor(0.7930),0_4_6,[tensor(0.7640), 0.0, 0.0, 0.0, tensor(0.7870), 0.0, tensor(0.8280), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2403),tensor(0.8010),0_1_5,[tensor(0.7380), tensor(0.9510), 0.0, 0.0, 0.0, tensor(0.7140), 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2269),tensor(0.7563),2_3_4,[0.0, 0.0, tensor(0.7960), tensor(0.6830), tensor(0.7900), 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2050),tensor(0.6833),2_3_7,[0.0, 0.0, tensor(0.6750), tensor(0.5290), 0.0, 0.0, 0.0, tensor(0.8460), 0.0, 0.0],21,0.0001,0.075
tensor(0.2220),tensor(0.7400),1_2_3,[0.0, tensor(0.9560), tensor(0.6760), tensor(0.5880), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2449),tensor(0.8163),1_4_7,[0.0, tensor(0.9280), 0.0, 0.0, tensor(0.7210), 0.0, 0.0, tensor(0.8000), 0.0, 0.0],21,0.0001,0.075
tensor(0.2279),tensor(0.7597),3_5_7,[0.0, 0.0, 0.0, tensor(0.6600), 0.0, tensor(0.7840), 0.0, tensor(0.8350), 0.0, 0.0],21,0.0001,0.075
tensor(0.2214),tensor(0.7380),2_3_6,[0.0, 0.0, tensor(0.7630), tensor(0.6090), 0.0, 0.0, tensor(0.8420), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2056),tensor(0.6853),2_3_4,[0.0, 0.0, tensor(0.7260), tensor(0.5220), tensor(0.8080), 0.0, 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
0.6458333333333334,0.82,[0.857 0.928 0.844 0.676 0.788   nan 0.827   nan   nan   nan],0.824,0.816,0_4_6,1_2_3,0.5785460472106934,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.638,0.8105,[0.793 0.933 0.85  0.664 0.821   nan 0.802   nan   nan   nan],0.8053333333333333,0.8156666666666667,0_4_6,1_2_3,0.21925997734069824,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.742,0.879,[0.759 0.925   nan   nan 0.865 0.919   nan 0.881   nan   nan],0.8676666666666667,0.8903333333333333,0_1_5,1_4_7,0.2287464141845703,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7376,0.8798333333333334,[0.756 0.928   nan   nan 0.873 0.922   nan 0.872   nan   nan],0.8686666666666667,0.891,0_1_5,1_4_7,0.322904109954834,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5652,0.7111666666666667,[  nan   nan 0.818 0.657 0.785 0.647   nan 0.703   nan   nan],0.669,0.7533333333333333,3_5_7,2_3_4,0.2747304439544678,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5652,0.7118333333333333,[  nan   nan 0.818 0.657 0.787 0.647   nan 0.705   nan   nan],0.6696666666666666,0.754,3_5_7,2_3_4,0.30938076972961426,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5946666666666667,0.8206666666666667,[  nan   nan 0.839 0.77    nan 0.853   nan   nan   nan   nan],0.8206666666666667,2_3_5,0.0,None,resnet20x4,21,0.0001,0.075
0.6896666666666667,0.8763333333333333,[  nan   nan 0.881 0.87  0.878   nan   nan   nan   nan   nan],0.8763333333333333,2_3_4,0.0,None,resnet20x4,21,0.0001,0.075
0.458,0.8863333333333333,[  nan   nan 0.88  0.835   nan   nan   nan 0.944   nan   nan],0.8863333333333333,2_3_7,0.0,None,resnet20x4,21,0.0001,0.075
0.49966666666666665,0.8703333333333333,[  nan   nan 0.91  0.804   nan   nan 0.897   nan   nan   nan],0.8703333333333333,2_3_6,0.0,None,resnet20x4,21,0.0001,0.075
