Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.3336),tensor(0.4766),1_2_3_5_6_7_9,[0.0, tensor(0.2180), tensor(0.8580), tensor(0.0200), 0.0, tensor(0.2890), tensor(0.2040), tensor(0.9100), 0.0, tensor(0.8370)],21,0.0001,0.075
tensor(0.3345),tensor(0.4181),1_2_3_4_6_7_8_9,[0.0, tensor(0.1880), tensor(0.2840), tensor(0.7420), tensor(0.1420), 0.0, tensor(0.8870), tensor(0.8560), tensor(0.1010), tensor(0.1450)],21,0.0001,0.075
tensor(0.2876),tensor(0.3196),0_1_2_3_4_5_6_7_8,[tensor(0.1710), tensor(0.0520), tensor(0.0540), tensor(0.8610), tensor(0.0850), tensor(0.0160), tensor(0.9110), tensor(0.7100), tensor(0.0160), 0.0],21,0.0001,0.075
tensor(0.3384),tensor(0.4230),1_2_3_4_6_7_8_9,[0.0, tensor(0.1940), tensor(0.2690), tensor(0.7340), tensor(0.1730), 0.0, tensor(0.8930), tensor(0.8510), tensor(0.0760), tensor(0.1940)],21,0.0001,0.075
tensor(0.3760),tensor(0.5371),1_2_3_5_6_7_9,[0.0, tensor(0.3540), tensor(0.8210), tensor(0.1160), 0.0, tensor(0.4130), tensor(0.3580), tensor(0.8510), 0.0, tensor(0.8470)],21,0.0001,0.075
tensor(0.3005),tensor(0.3339),0_1_2_3_4_5_6_7_8,[tensor(0.1170), tensor(0.0540), tensor(0.0930), tensor(0.8370), tensor(0.1490), tensor(0.0420), tensor(0.9080), tensor(0.7570), tensor(0.0480), 0.0],21,0.0001,0.075
tensor(0.2706),tensor(0.3383),0_3_4_5_6_7_8_9,[tensor(0.8170), 0.0, 0.0, tensor(0.0090), tensor(0.), tensor(0.0050), tensor(0.0570), tensor(0.7550), tensor(0.9290), tensor(0.1340)],21,0.0001,0.075
tensor(0.3465),tensor(0.4950),1_2_3_5_6_7_9,[0.0, tensor(0.2860), tensor(0.7870), tensor(0.0640), 0.0, tensor(0.3410), tensor(0.2870), tensor(0.8990), 0.0, tensor(0.8010)],21,0.0001,0.075
tensor(0.2615),tensor(0.3269),0_3_4_5_6_7_8_9,[tensor(0.8280), 0.0, 0.0, tensor(0.0040), tensor(0.), tensor(0.0060), tensor(0.0560), tensor(0.6100), tensor(0.9090), tensor(0.2020)],21,0.0001,0.075
tensor(0.3619),tensor(0.5170),1_2_3_5_6_7_9,[0.0, tensor(0.3080), tensor(0.8270), tensor(0.0620), 0.0, tensor(0.4110), tensor(0.3210), tensor(0.8860), 0.0, tensor(0.8040)],21,0.0001,0.075
0.261,0.179,[0.254 0.31  0.096 0.061 0.007 0.002 0.394 0.13  0.304 0.361],0.15208333333333332,0.20591666666666666,0_1_2_3_4_5_6_7_8,0_3_4_5_6_7_8_9,0.0012073516845703125,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2609,0.179375,[0.256 0.31  0.096 0.06  0.007 0.003 0.395 0.13  0.305 0.36 ],0.15241666666666667,0.20633333333333334,0_1_2_3_4_5_6_7_8,0_3_4_5_6_7_8_9,0.0012691020965576172,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.259,0.321625,[  nan 0.187 0.094 0.315 0.086 0.216 0.655 0.41  0.266 0.066],0.30041666666666667,0.3428333333333333,1_2_3_5_6_7_9,1_2_3_4_6_7_8_9,0.0012657642364501953,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.25833333333333336,0.32154166666666667,[  nan 0.185 0.091 0.317 0.085 0.217 0.655 0.41  0.265 0.066],0.3005,0.34258333333333335,1_2_3_5_6_7_9,1_2_3_4_6_7_8_9,0.0012977123260498047,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2406,0.2642083333333334,[0.202 0.435 0.408 0.095 0.037 0.193 0.021 0.53  0.09  0.356],0.259,0.2694166666666667,0_1_2_3_4_5_6_7_8,1_2_3_5_6_7_9,0.0013585090637207031,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2404,0.26379166666666665,[0.202 0.433 0.411 0.094 0.037 0.192 0.021 0.528 0.09  0.358],0.2584166666666667,0.26916666666666667,0_1_2_3_4_5_6_7_8,1_2_3_5_6_7_9,0.0012845993041992188,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2497,0.3535,[0.476 0.191 0.477 0.02  0.005 0.21  0.153 0.66  0.378 0.659],0.36766666666666664,0.3393333333333333,0_3_4_5_6_7_8_9,1_2_3_5_6_7_9,0.0011696815490722656,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2508,0.35458333333333336,[0.482 0.192 0.478 0.019 0.005 0.213 0.154 0.66  0.382 0.659],0.36916666666666664,0.34,0_3_4_5_6_7_8_9,1_2_3_5_6_7_9,0.0012602806091308594,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.25633333333333336,0.24666666666666665,[  nan 0.445 0.423 0.119 0.072 0.25  0.046 0.433 0.271 0.301],0.2295,0.2638333333333333,1_2_3_4_6_7_8_9,1_2_3_5_6_7_9,0.001184701919555664,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.256,0.24662499999999998,[  nan 0.441 0.424 0.116 0.071 0.247 0.045 0.438 0.271 0.304],0.2295,0.26375,1_2_3_4_6_7_8_9,1_2_3_5_6_7_9,0.0012252330780029297,match_tensors_identity,resnet20x4,21,0.0001,0.075
