Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2704),tensor(0.4507),1_2_3_4_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.8940), tensor(0.0110), 0.0, tensor(0.9140), tensor(0.8850), 0.0, 0.0],21,0.0001,0.075
tensor(0.2887),tensor(0.4812),2_3_5_6_7_9,[0.0, 0.0, tensor(0.9590), tensor(0.), 0.0, tensor(0.), tensor(0.0360), tensor(0.9140), 0.0, tensor(0.9780)],21,0.0001,0.075
tensor(0.2901),tensor(0.4835),2_3_5_6_7_9,[0.0, 0.0, tensor(0.9660), tensor(0.), 0.0, tensor(0.), tensor(0.0420), tensor(0.9140), 0.0, tensor(0.9790)],21,0.0001,0.075
tensor(0.2607),tensor(0.4345),1_3_5_6_7_9,[0.0, tensor(0.), 0.0, tensor(0.7480), 0.0, tensor(0.8880), tensor(0.0010), tensor(0.), 0.0, tensor(0.9700)],21,0.0001,0.075
tensor(0.2664),tensor(0.5328),0_4_5_7_8,[tensor(0.9190), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.8010), tensor(0.9440), 0.0],21,0.0001,0.075
tensor(0.2612),tensor(0.4353),1_3_5_6_7_9,[0.0, tensor(0.), 0.0, tensor(0.7550), 0.0, tensor(0.8870), tensor(0.0040), tensor(0.), 0.0, tensor(0.9660)],21,0.0001,0.075
tensor(0.2704),tensor(0.4507),1_2_3_4_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.8910), tensor(0.0130), 0.0, tensor(0.9180), tensor(0.8820), 0.0, 0.0],21,0.0001,0.075
tensor(0.2785),tensor(0.5570),3_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.0390), 0.0, 0.0, tensor(0.8190), tensor(0.1120), tensor(0.9330), tensor(0.8820)],21,0.0001,0.075
tensor(0.2637),tensor(0.5274),0_4_5_7_8,[tensor(0.9310), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.7780), tensor(0.9280), 0.0],21,0.0001,0.075
tensor(0.2750),tensor(0.5500),3_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.0210), 0.0, 0.0, tensor(0.8400), tensor(0.1010), tensor(0.9200), tensor(0.8680)],21,0.0001,0.075
0.37555555555555553,0.4251666666666667,[0.725 0.    0.    0.722 0.    0.003 0.748 0.699 0.807   nan],0.3615,0.48883333333333334,1_2_3_4_6_7,0_4_5_7_8,0.0030570030212402344,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.385,0.4305,[0.725 0.    0.    0.724 0.    0.004 0.761 0.713 0.813   nan],0.36633333333333334,0.49466666666666664,1_2_3_4_6_7,0_4_5_7_8,0.005519866943359375,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.425375,0.4653333333333334,[0.849   nan   nan 0.234 0.    0.006 0.665 0.163 0.908 0.86 ],0.3481666666666667,0.5825,0_4_5_7_8,3_6_7_8_9,0.002811908721923828,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.428125,0.46775,[0.847   nan   nan 0.243 0.    0.008 0.665 0.171 0.905 0.862],0.35033333333333333,0.5851666666666666,0_4_5_7_8,3_6_7_8_9,0.0030155181884765625,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.40725,0.388,[  nan 0.    0.    0.147 0.013   nan 0.765 0.25  0.818 0.736],0.19583333333333333,0.5801666666666667,1_2_3_4_6_7,3_6_7_8_9,0.004311323165893555,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4075,0.388,[  nan 0.    0.    0.149 0.013   nan 0.764 0.25  0.818 0.735],0.196,0.58,1_2_3_4_6_7,3_6_7_8_9,0.002826690673828125,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.43242857142857144,0.44025,[  nan 0.    0.853 0.499   nan 0.784 0.004 0.      nan 0.928],0.5113333333333333,0.36916666666666664,2_3_5_6_7_9,1_3_5_6_7_9,0.0028541088104248047,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.43442857142857144,0.44199999999999995,[  nan 0.    0.856 0.505   nan 0.788 0.004 0.      nan 0.927],0.5133333333333333,0.37066666666666664,2_3_5_6_7_9,1_3_5_6_7_9,0.003113269805908203,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.432,0.4395,[  nan 0.    0.836 0.494   nan 0.788 0.002 0.      nan 0.935],0.5091666666666667,0.36983333333333335,2_3_5_6_7_9,1_3_5_6_7_9,0.003136157989501953,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4258571428571429,0.43566666666666665,[  nan 0.    0.826 0.493   nan 0.776 0.003 0.      nan 0.929],0.5045,0.36683333333333334,2_3_5_6_7_9,1_3_5_6_7_9,0.0028340816497802734,match_tensors_permute,resnet20x4,21,0.0001,0.075
