Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.1643),tensor(0.1643),0_7_6_5_9_7_6_5_7_5_4_3,[tensor(0.7040), 0.0, 0.0, tensor(0.3090), tensor(0.5060), tensor(5.1333e-08), tensor(0.0004), tensor(8.9333e-08), 0.0, tensor(0.4520)],21,0.0001,0.075
tensor(0.2063),tensor(0.2063),1_4_5_2_5_6_5_4_3_6_5_7,[0.0, tensor(0.8780), tensor(0.6190), tensor(0.4140), tensor(0.0003), tensor(1.1734e-11), tensor(0.0002), tensor(0.5630), 0.0, 0.0],21,0.0001,0.075
tensor(0.0974),tensor(0.0974),2_5_6_1_4_5_6_4_2,[0.0, tensor(0.8740), tensor(0.0002), 0.0, tensor(0.0003), tensor(0.0004), tensor(0.0003), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.5266),tensor(0.5266),3_5_1_5_8_7,[0.0, tensor(0.9020), 0.0, tensor(0.6880), 0.0, tensor(0.0004), 0.0, tensor(0.7260), tensor(0.8430), 0.0],21,0.0001,0.075
tensor(0.3252),tensor(0.3252),3_5_4_5_8_7_3_5_1,[0.0, tensor(0.7640), 0.0, tensor(0.0003), tensor(0.7180), tensor(8.6222e-08), 0.0, tensor(0.6950), tensor(0.7490), 0.0],21,0.0001,0.075
tensor(0.2018),tensor(0.2018),5_4_3_6_5_7_1_4_5_2_5_6,[0.0, tensor(0.8940), tensor(0.5490), tensor(0.3790), tensor(0.0004), tensor(1.2094e-11), tensor(0.0002), tensor(0.5980), 0.0, 0.0],21,0.0001,0.075
tensor(0.3270),tensor(0.3270),5_8_7_3_5_1_3_5_4,[0.0, tensor(0.7690), 0.0, tensor(0.0003), tensor(0.7250), tensor(8.7444e-08), 0.0, tensor(0.6780), tensor(0.7700), 0.0],21,0.0001,0.075
tensor(0.5030),tensor(0.5030),5_9_7_0_7_6,[tensor(0.7810), 0.0, 0.0, 0.0, 0.0, tensor(0.6050), tensor(0.8530), tensor(0.0004), 0.0, tensor(0.7780)],21,0.0001,0.075
tensor(0.0957),tensor(0.0957),6_4_2_2_5_6_1_4_5,[0.0, tensor(0.8590), tensor(0.0002), 0.0, tensor(0.0003), tensor(0.0004), tensor(0.0003), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.1648),tensor(0.1648),6_5_7_5_4_3_0_7_6_5_9_7,[tensor(0.6380), 0.0, 0.0, tensor(0.4060), tensor(0.4920), tensor(5.8333e-08), tensor(0.0003), tensor(8.2556e-08), 0.0, tensor(0.4410)],21,0.0001,0.075
0.4831111111111111,0.6634166666666667,0.6073333333333333,0.7195,1_4_5_2_5_6_5_4_3_6_5_7,5_9_7_0_7_6,0.003778696060180664,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.483,0.663875,0.60775,0.72,1_4_5_2_5_6_5_4_3_6_5_7,5_9_7_0_7_6,0.0038416385650634766,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.563875,0.66275,0.6221666666666666,0.7033333333333334,5_4_3_6_5_7_1_4_5_2_5_6,5_8_7_3_5_1_3_5_4,0.0034720897674560547,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.56425,0.6628194444444444,0.6220833333333333,0.7035555555555556,5_4_3_6_5_7_1_4_5_2_5_6,5_8_7_3_5_1_3_5_4,0.0036444664001464844,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.7226666666666667,0.7184444444444444,0.7326666666666667,0.7042222222222222,3_5_1_5_8_7,3_5_4_5_8_7_3_5_1,0.003835916519165039,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.7228333333333333,0.7193333333333334,0.7336666666666667,0.705,3_5_1_5_8_7,3_5_4_5_8_7_3_5_1,0.003615140914916992,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.43122222222222223,0.561375,0.559,0.56375,2_5_6_1_4_5_6_4_2,6_5_7_5_4_3_0_7_6_5_9_7,0.0066680908203125,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4308888888888889,0.5618472222222222,0.5594444444444444,0.56425,2_5_6_1_4_5_6_4_2,6_5_7_5_4_3_0_7_6_5_9_7,0.00377655029296875,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5867142857142857,0.6618333333333334,0.6618333333333334,0_7_6_5_9_7_6_5_7_5_4_3,0.0,None,resnet20x4,21,0.0001,0.075
0.7028,0.7094444444444444,0.7094444444444444,6_4_2_2_5_6_1_4_5,0.0,None,resnet20x4,21,0.0001,0.075
