Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.4023),tensor(0.4023),363d642f,[tensor(0.8320), tensor(0.), 0.0, tensor(0.0080), 0.0, 0.0, 0.0, tensor(0.8250), tensor(0.7490), tensor(0.)],21,0.0001,0.075
tensor(0.4576),tensor(0.4576),4ac0b393,[0.0, tensor(0.), 0.0, tensor(0.4730), tensor(0.0060), tensor(0.8660), 0.0, 0.0, tensor(0.9430), 0.0],21,0.0001,0.075
tensor(0.4237),tensor(0.4237),4ddd6947,[tensor(0.7470), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), tensor(0.9030), tensor(0.8920)],21,0.0001,0.075
tensor(0.4370),tensor(0.4370),53d0bba9,[tensor(0.0290), tensor(0.), tensor(0.7690), 0.0, 0.0, tensor(0.), tensor(0.8810), 0.0, 0.0, tensor(0.9430)],21,0.0001,0.075
tensor(0.4418),tensor(0.4418),83f0500a,[tensor(0.0480), tensor(0.), tensor(0.7810), 0.0, 0.0, tensor(0.), tensor(0.8720), 0.0, 0.0, tensor(0.9500)],21,0.0001,0.075
tensor(0.3735),tensor(0.3735),ad0e1421,[tensor(0.8830), tensor(0.0010), 0.0, tensor(0.0130), 0.0, 0.0, 0.0, tensor(0.8120), tensor(0.5320), tensor(0.)],21,0.0001,0.075
tensor(0.4876),tensor(0.4876),b2a6245d,[tensor(0.0080), 0.0, tensor(0.7490), tensor(0.8170), 0.0, 0.0, 0.0, 0.0, tensor(0.8640), tensor(0.)],21,0.0001,0.075
tensor(0.4780),tensor(0.4780),b3a0a52b,[0.0, tensor(0.), 0.0, tensor(0.6470), tensor(0.0020), tensor(0.7860), 0.0, 0.0, tensor(0.9550), 0.0],21,0.0001,0.075
tensor(0.4220),tensor(0.4220),ef028215,[tensor(0.7000), 0.0, tensor(0.), 0.0, 0.0, tensor(0.), 0.0, tensor(0.), tensor(0.9150), tensor(0.9170)],21,0.0001,0.075
tensor(0.5008),tensor(0.5008),fcbd2aee,[tensor(0.0450), 0.0, tensor(0.7450), tensor(0.7980), 0.0, 0.0, 0.0, 0.0, tensor(0.9160), tensor(0.)],21,0.0001,0.075
0.221,0.3740833333333333,[0.047 0.    0.733 0.27  0.    0.74  0.36    nan 0.549 0.501],0.3968333333333333,0.35133333333333333,5_0_1_9_2_6,1_4_8_8_5_3,0.0024781227111816406,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.221,0.3743333333333333,[0.047 0.    0.733 0.27  0.    0.741 0.361   nan 0.549 0.501],0.39716666666666667,0.3515,5_0_1_9_2_6,1_4_8_8_5_3,0.0011212825775146484,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.17944444444444443,0.26616666666666666,[0.06  0.    0.397 0.037   nan 0.    0.261 0.584 0.559 0.618],0.30966666666666665,0.22266666666666668,9_3_1_7_0_8,9_2_6_5_0_1,0.0011048316955566406,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.17955555555555555,0.26608333333333334,[0.06  0.    0.399 0.037   nan 0.    0.26  0.584 0.559 0.617],0.3095,0.22266666666666668,9_3_1_7_0_8,9_2_6_5_0_1,0.0011703968048095703,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2302857142857143,0.34299999999999997,[0.002   nan 0.734 0.28    nan 0.      nan 0.    0.788 0.   ],0.254,0.432,0_9_8_7_2_5,8_3_2_8_0_9,0.0011246204376220703,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.23085714285714284,0.34275,[0.002   nan 0.734 0.28    nan 0.      nan 0.    0.787 0.   ],0.25383333333333336,0.43166666666666664,0_9_8_7_2_5,8_3_2_8_0_9,0.0011076927185058594,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.24214285714285713,0.34875,[0.024   nan 0.727 0.259   nan 0.      nan 0.    0.808 0.   ],0.25983333333333336,0.43766666666666665,7_2_5_0_9_8,8_0_9_8_3_2,0.0011551380157470703,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.24185714285714285,0.34883333333333333,[0.024   nan 0.726 0.259   nan 0.      nan 0.    0.809 0.   ],0.25983333333333336,0.43783333333333335,7_2_5_0_9_8,8_0_9_8_3_2,0.0011692047119140625,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.4566,0.542,[  nan 0.      nan 0.477 0.006 0.869   nan   nan 0.95    nan],0.542,8_5_3_1_4_8,0.0,None,resnet20x4,21,0.0001,0.075
0.37516666666666665,0.37483333333333335,[0.884 0.002   nan 0.017   nan   nan   nan 0.813 0.533 0.   ],0.37483333333333335,7_0_8_9_3_1,0.0,None,resnet20x4,21,0.0001,0.075
