Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.3813),tensor(0.3813),363d642f,[tensor(0.8070), tensor(0.0380), 0.0, tensor(0.), 0.0, 0.0, 0.0, tensor(0.7500), tensor(0.6910), tensor(0.0020)],21,0.0001,0.075
tensor(0.4428),tensor(0.4428),4ac0b393,[0.0, tensor(0.), 0.0, tensor(0.4060), tensor(0.), tensor(0.9040), 0.0, 0.0, tensor(0.9040), 0.0],21,0.0001,0.075
tensor(0.4243),tensor(0.4243),4ddd6947,[tensor(0.8580), 0.0, tensor(0.), 0.0, 0.0, tensor(0.0450), 0.0, tensor(0.), tensor(0.8570), tensor(0.7860)],21,0.0001,0.075
tensor(0.4082),tensor(0.4082),53d0bba9,[tensor(0.0900), tensor(0.0010), tensor(0.7680), 0.0, 0.0, tensor(0.0320), tensor(0.6580), 0.0, 0.0, tensor(0.9000)],21,0.0001,0.075
tensor(0.4000),tensor(0.4000),83f0500a,[tensor(0.0890), tensor(0.), tensor(0.6850), 0.0, 0.0, tensor(0.0340), tensor(0.7050), 0.0, 0.0, tensor(0.8870)],21,0.0001,0.075
tensor(0.3842),tensor(0.3842),ad0e1421,[tensor(0.7920), tensor(0.1120), 0.0, tensor(0.0010), 0.0, 0.0, 0.0, tensor(0.7290), tensor(0.6610), tensor(0.0100)],21,0.0001,0.075
tensor(0.4536),tensor(0.4536),b2a6245d,[tensor(0.1510), 0.0, tensor(0.8010), tensor(0.7040), 0.0, 0.0, 0.0, 0.0, tensor(0.6120), tensor(0.)],21,0.0001,0.075
tensor(0.4408),tensor(0.4408),b3a0a52b,[0.0, tensor(0.), 0.0, tensor(0.5730), tensor(0.0140), tensor(0.7920), 0.0, 0.0, tensor(0.8250), 0.0],21,0.0001,0.075
tensor(0.4333),tensor(0.4333),ef028215,[tensor(0.8860), 0.0, tensor(0.), 0.0, 0.0, tensor(0.0460), 0.0, tensor(0.), tensor(0.8290), tensor(0.8390)],21,0.0001,0.075
tensor(0.4632),tensor(0.4632),fcbd2aee,[tensor(0.1690), 0.0, tensor(0.7780), tensor(0.6940), 0.0, 0.0, 0.0, 0.0, tensor(0.6750), tensor(0.)],21,0.0001,0.075
0.31255555555555553,0.4568333333333333,[0.105 0.    0.754 0.432 0.064 0.672 0.441   nan 0.787 0.768],0.45666666666666667,0.457,5_0_1_9_2_6,1_4_8_8_5_3,0.3855457305908203,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.31222222222222223,0.457,[0.105 0.    0.754 0.434 0.064 0.671 0.442   nan 0.788 0.767],0.4565,0.4575,5_0_1_9_2_6,1_4_8_8_5_3,0.38776159286499023,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.29288888888888887,0.3045833333333333,[0.058 0.    0.476 0.06    nan 0.002 0.567 0.618 0.512 0.652],0.31666666666666665,0.2925,9_3_1_7_0_8,9_2_6_5_0_1,0.45347118377685547,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.29644444444444445,0.3108333333333333,[0.085 0.    0.51  0.07    nan 0.007 0.56  0.608 0.497 0.654],0.319,0.30266666666666664,9_3_1_7_0_8,9_2_6_5_0_1,0.39868617057800293,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.39285714285714285,0.35733333333333334,[0.139   nan 0.814 0.51    nan 0.063   nan 0.    0.603 0.   ],0.2698333333333333,0.44483333333333336,0_9_8_7_2_5,8_3_2_8_0_9,0.4086604118347168,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.39514285714285713,0.353,[0.129   nan 0.824 0.523   nan 0.073   nan 0.    0.578 0.   ],0.2673333333333333,0.43866666666666665,0_9_8_7_2_5,8_3_2_8_0_9,0.4051051139831543,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4198571428571429,0.3759166666666667,[0.145   nan 0.793 0.557   nan 0.065   nan 0.    0.671 0.   ],0.279,0.4728333333333333,7_2_5_0_9_8,8_0_9_8_3_2,0.4045886993408203,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4198571428571429,0.3760833333333333,[0.143   nan 0.793 0.557   nan 0.065   nan 0.    0.673 0.   ],0.279,0.4731666666666667,7_2_5_0_9_8,8_0_9_8_3_2,0.3961615562438965,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4392,0.5278333333333334,[  nan 0.      nan 0.409 0.    0.906   nan   nan 0.926   nan],0.5278333333333334,8_5_3_1_4_8,0.0,None,resnet20x4,21,0.0001,0.075
0.37716666666666665,0.39716666666666667,[0.832 0.112   nan 0.022   nan   nan   nan 0.74  0.667 0.01 ],0.39716666666666667,7_0_8_9_3_1,0.0,None,resnet20x4,21,0.0001,0.075
