Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2581),tensor(0.4302),1_2_3_5_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.8900), 0.0, tensor(0.), tensor(0.9120), tensor(0.7790), 0.0, 0.0],21,0.0001,0.075
tensor(0.2621),tensor(0.4368),1_2_3_5_6_7,[0.0, tensor(0.), tensor(0.0030), tensor(0.9120), 0.0, tensor(0.), tensor(0.8900), tensor(0.8160), 0.0, 0.0],21,0.0001,0.075
tensor(0.2343),tensor(0.4686),1_2_3_4_7,[0.0, tensor(0.), tensor(0.), tensor(0.5620), tensor(0.8610), 0.0, 0.0, tensor(0.9200), 0.0, 0.0],21,0.0001,0.075
tensor(0.1841),tensor(0.3682),4_5_7_8_9,[0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.), tensor(0.9450), tensor(0.8960)],21,0.0001,0.075
tensor(0.2352),tensor(0.4704),1_2_3_4_7,[0.0, tensor(0.), tensor(0.), tensor(0.5490), tensor(0.8800), 0.0, 0.0, tensor(0.9230), 0.0, 0.0],21,0.0001,0.075
tensor(0.2545),tensor(0.8483),3_6_7,[0.0, 0.0, 0.0, tensor(0.7900), 0.0, 0.0, tensor(0.9340), tensor(0.8210), 0.0, 0.0],21,0.0001,0.075
tensor(0.2544),tensor(0.5088),2_3_4_5_6,[0.0, 0.0, tensor(0.7970), tensor(0.), tensor(0.9310), tensor(0.), tensor(0.8160), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2573),tensor(0.5146),2_3_4_5_6,[0.0, 0.0, tensor(0.8090), tensor(0.), tensor(0.9320), tensor(0.), tensor(0.8320), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2717),tensor(0.9057),0_1_6,[tensor(0.9090), tensor(0.8880), 0.0, 0.0, 0.0, 0.0, tensor(0.9200), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.1775),tensor(0.3550),4_5_7_8_9,[0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.), tensor(0.9500), tensor(0.8250)],21,0.0001,0.075
0.19955555555555557,0.25015,[  nan 0.    0.003 0.717 0.004 0.    0.357 0.    0.807 0.793],0.1795,0.3208,1_2_3_5_6_7,4_5_7_8_9,0.0013611316680908203,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.19933333333333333,0.25003333333333333,[  nan 0.    0.003 0.717 0.004 0.    0.358 0.    0.805 0.793],0.17966666666666667,0.3204,1_2_3_5_6_7,4_5_7_8_9,0.002733469009399414,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.19628571428571429,0.29208333333333336,[  nan 0.002 0.473 0.    0.442 0.    0.369 0.493   nan   nan],0.30866666666666664,0.2755,1_2_3_4_7,2_3_4_5_6,0.0011310577392578125,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.196,0.29025,[  nan 0.002 0.474 0.    0.436 0.    0.367 0.491   nan   nan],0.3065,0.274,1_2_3_4_7,2_3_4_5_6,0.0012137889862060547,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2357142857142857,0.28508333333333336,[  nan 0.    0.437 0.    0.503 0.    0.526 0.466   nan   nan],0.23816666666666667,0.332,1_2_3_5_6_7,2_3_4_5_6,0.0011739730834960938,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.23542857142857143,0.2855833333333333,[  nan 0.    0.44  0.    0.504 0.    0.526 0.465   nan   nan],0.2385,0.33266666666666667,1_2_3_5_6_7,2_3_4_5_6,0.0012352466583251953,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2367142857142857,0.40391666666666665,[0.736 0.283 0.    0.238 0.534   nan 0.309 0.602   nan   nan],0.36516666666666664,0.44266666666666665,1_2_3_4_7,0_1_6,0.0011463165283203125,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.23614285714285715,0.40441666666666665,[0.738 0.287 0.    0.237 0.53    nan 0.308 0.603   nan   nan],0.3645,0.44433333333333336,1_2_3_4_7,0_1_6,0.0012078285217285156,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2322857142857143,0.3138333333333333,[  nan   nan   nan 0.458 0.014 0.    0.529 0.002 0.739 0.735],0.32966666666666666,0.298,3_6_7,4_5_7_8_9,0.0012025833129882812,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.23185714285714284,0.314,[  nan   nan   nan 0.459 0.014 0.    0.529 0.002 0.739 0.735],0.33,0.298,3_6_7,4_5_7_8_9,0.0012362003326416016,match_tensors_identity,resnet20x4,21,0.0001,0.075
