Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2677),tensor(0.4462),1_2_3_4_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.9260), tensor(0.), 0.0, tensor(0.9330), tensor(0.8180), 0.0, 0.0],21,0.0001,0.075
tensor(0.2816),tensor(0.4693),2_3_5_6_7_9,[0.0, 0.0, tensor(0.9300), tensor(0.), 0.0, tensor(0.), tensor(0.), tensor(0.9400), 0.0, tensor(0.9460)],21,0.0001,0.075
tensor(0.2816),tensor(0.4693),2_3_5_6_7_9,[0.0, 0.0, tensor(0.9290), tensor(0.), 0.0, tensor(0.), tensor(0.), tensor(0.9320), 0.0, tensor(0.9550)],21,0.0001,0.075
tensor(0.2570),tensor(0.4283),1_3_5_6_7_9,[0.0, tensor(0.), 0.0, tensor(0.6990), 0.0, tensor(0.8920), tensor(0.), tensor(0.), 0.0, tensor(0.9790)],21,0.0001,0.075
tensor(0.2425),tensor(0.4850),0_4_5_7_8,[tensor(0.8100), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.6430), tensor(0.9720), 0.0],21,0.0001,0.075
tensor(0.2596),tensor(0.4327),1_3_5_6_7_9,[0.0, tensor(0.), 0.0, tensor(0.7160), 0.0, tensor(0.9060), tensor(0.), tensor(0.), 0.0, tensor(0.9740)],21,0.0001,0.075
tensor(0.2672),tensor(0.4453),1_2_3_4_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.9240), tensor(0.), 0.0, tensor(0.9270), tensor(0.8210), 0.0, 0.0],21,0.0001,0.075
tensor(0.2737),tensor(0.5474),3_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.9240), tensor(0.), tensor(0.9850), tensor(0.8280)],21,0.0001,0.075
tensor(0.2339),tensor(0.4678),0_4_5_7_8,[tensor(0.7900), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.5730), tensor(0.9760), 0.0],21,0.0001,0.075
tensor(0.2673),tensor(0.5346),3_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.8420), tensor(0.), tensor(0.9820), tensor(0.8490)],21,0.0001,0.075
0.20644444444444446,0.21241666666666664,[0.409 0.    0.    0.545 0.    0.    0.742 0.123 0.484   nan],0.235,0.18983333333333333,1_2_3_4_6_7,0_4_5_7_8,0.0012664794921875,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2061111111111111,0.21258333333333335,[0.409 0.    0.    0.546 0.    0.    0.74  0.124 0.484   nan],0.235,0.19016666666666668,1_2_3_4_6_7,0_4_5_7_8,0.0012612342834472656,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.22875,0.2965833333333333,[0.426   nan   nan 0.021 0.    0.    0.585 0.    0.66  0.622],0.181,0.4121666666666667,0_4_5_7_8,3_6_7_8_9,0.0011219978332519531,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.228375,0.29641666666666666,[0.426   nan   nan 0.023 0.    0.    0.583 0.    0.66  0.622],0.181,0.41183333333333333,0_4_5_7_8,3_6_7_8_9,0.0012867450714111328,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.294625,0.21483333333333332,[  nan 0.    0.    0.    0.      nan 0.445 0.    0.707 0.536],0.07416666666666667,0.3555,1_2_3_4_6_7,3_6_7_8_9,0.0012431144714355469,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.296,0.21258333333333332,[  nan 0.    0.    0.    0.      nan 0.436 0.    0.707 0.536],0.07266666666666667,0.3525,1_2_3_4_6_7,3_6_7_8_9,0.0011715888977050781,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.282,0.30175,[  nan 0.    0.661 0.423   nan 0.504 0.    0.      nan 0.553],0.35683333333333334,0.24666666666666667,2_3_5_6_7_9,1_3_5_6_7_9,0.0014004707336425781,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2825714285714286,0.3015,[  nan 0.    0.66  0.42    nan 0.507 0.    0.      nan 0.552],0.3565,0.2465,2_3_5_6_7_9,1_3_5_6_7_9,0.0012135505676269531,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2844285714285714,0.3051666666666667,[  nan 0.    0.65  0.395   nan 0.54  0.    0.      nan 0.571],0.35933333333333334,0.251,2_3_5_6_7_9,1_3_5_6_7_9,0.0014581680297851562,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.284,0.3055,[  nan 0.    0.65  0.398   nan 0.536 0.    0.      nan 0.574],0.3596666666666667,0.25133333333333335,2_3_5_6_7_9,1_3_5_6_7_9,0.0012993812561035156,match_tensors_identity,resnet20x4,21,0.0001,0.075
