Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.4353),tensor(0.4353),363d642f,[tensor(0.8360), tensor(0.2090), 0.0, tensor(0.0140), 0.0, 0.0, 0.0, tensor(0.7550), tensor(0.7750), tensor(0.0230)],21,0.0001,0.075
tensor(0.4528),tensor(0.4528),4ac0b393,[0.0, tensor(0.), 0.0, tensor(0.4730), tensor(0.), tensor(0.8590), 0.0, 0.0, tensor(0.9320), 0.0],21,0.0001,0.075
tensor(0.4428),tensor(0.4428),4ddd6947,[tensor(0.8330), 0.0, tensor(0.), 0.0, 0.0, tensor(0.0910), 0.0, tensor(0.), tensor(0.8760), tensor(0.8570)],21,0.0001,0.075
tensor(0.4787),tensor(0.4787),53d0bba9,[tensor(0.3840), tensor(0.0020), tensor(0.6900), 0.0, 0.0, tensor(0.1110), tensor(0.7760), 0.0, 0.0, tensor(0.9090)],21,0.0001,0.075
tensor(0.4608),tensor(0.4608),83f0500a,[tensor(0.3770), tensor(0.), tensor(0.6700), 0.0, 0.0, tensor(0.0080), tensor(0.8200), 0.0, 0.0, tensor(0.8900)],21,0.0001,0.075
tensor(0.4452),tensor(0.4452),ad0e1421,[tensor(0.8310), tensor(0.2590), 0.0, tensor(0.0150), 0.0, 0.0, 0.0, tensor(0.7340), tensor(0.7570), tensor(0.0750)],21,0.0001,0.075
tensor(0.4726),tensor(0.4726),b2a6245d,[tensor(0.1620), 0.0, tensor(0.6870), tensor(0.7730), 0.0, 0.0, 0.0, 0.0, tensor(0.7410), tensor(0.)],21,0.0001,0.075
tensor(0.4504),tensor(0.4504),b3a0a52b,[0.0, tensor(0.), 0.0, tensor(0.4260), tensor(0.0040), tensor(0.8760), 0.0, 0.0, tensor(0.9460), 0.0],21,0.0001,0.075
tensor(0.4365),tensor(0.4365),ef028215,[tensor(0.8130), 0.0, tensor(0.), 0.0, 0.0, tensor(0.0410), 0.0, tensor(0.), tensor(0.8790), tensor(0.8860)],21,0.0001,0.075
tensor(0.4480),tensor(0.4480),fcbd2aee,[tensor(0.0880), 0.0, tensor(0.7700), tensor(0.7680), 0.0, 0.0, 0.0, 0.0, tensor(0.6140), tensor(0.)],21,0.0001,0.075
0.3427777777777778,0.5028333333333334,[0.186 0.    0.686 0.166 0.    0.897 0.619   nan 0.872 0.839],0.5378333333333334,0.4678333333333333,5_0_1_9_2_6,1_4_8_8_5_3,0.0032606124877929688,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.34355555555555556,0.50275,[0.185 0.    0.685 0.167 0.    0.897 0.621   nan 0.871 0.839],0.5378333333333334,0.4676666666666667,5_0_1_9_2_6,1_4_8_8_5_3,0.003322124481201172,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.3168888888888889,0.38949999999999996,[0.459 0.    0.558 0.051   nan 0.005 0.645 0.638 0.527 0.666],0.39016666666666666,0.3888333333333333,9_3_1_7_0_8,9_2_6_5_0_1,0.0028836727142333984,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.30766666666666664,0.38083333333333336,[0.452 0.    0.537 0.043   nan 0.004 0.596 0.634 0.532 0.66 ],0.3868333333333333,0.37483333333333335,9_3_1_7_0_8,9_2_6_5_0_1,0.0029103755950927734,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4095714285714286,0.3510833333333333,[0.125   nan 0.721 0.665   nan 0.164   nan 0.    0.564 0.   ],0.2623333333333333,0.43983333333333335,0_9_8_7_2_5,8_3_2_8_0_9,0.003209352493286133,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.41014285714285714,0.35141666666666665,[0.128   nan 0.722 0.664   nan 0.164   nan 0.    0.563 0.   ],0.2628333333333333,0.44,0_9_8_7_2_5,8_3_2_8_0_9,0.002912759780883789,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4218571428571429,0.2935833333333333,[0.084   nan 0.783 0.648   nan 0.079   nan 0.    0.354 0.   ],0.21666666666666667,0.3705,7_2_5_0_9_8,8_0_9_8_3_2,0.003260374069213867,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4217142857142857,0.2921666666666667,[0.084   nan 0.784 0.648   nan 0.078   nan 0.    0.348 0.   ],0.21566666666666667,0.36866666666666664,7_2_5_0_9_8,8_0_9_8_3_2,0.002832651138305664,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4528,0.5351666666666667,[  nan 0.      nan 0.474 0.001 0.862   nan   nan 0.937   nan],0.5351666666666667,8_5_3_1_4_8,0.0,None,resnet20x4,21,0.0001,0.075
0.43383333333333335,0.45466666666666666,[0.843 0.259   nan 0.045   nan   nan   nan 0.745 0.759 0.077],0.45466666666666666,7_0_8_9_3_1,0.0,None,resnet20x4,21,0.0001,0.075
