Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.3651),tensor(0.4564),1_2_3_4_5_6_7_9,[0.0, tensor(0.1730), tensor(0.3170), tensor(0.6340), tensor(0.4060), tensor(0.6260), tensor(0.7570), tensor(0.5310), 0.0, tensor(0.2070)],21,0.0001,0.075
tensor(0.3956),tensor(0.5651),1_2_3_4_6_7_9,[0.0, tensor(0.4790), tensor(0.4190), tensor(0.6640), tensor(0.3340), 0.0, tensor(0.8670), tensor(0.7190), 0.0, tensor(0.4740)],21,0.0001,0.075
tensor(0.3487),tensor(0.5812),1_2_3_6_7_9,[0.0, tensor(0.7480), tensor(0.6770), tensor(0.1640), 0.0, 0.0, tensor(0.5470), tensor(0.6800), 0.0, tensor(0.6710)],21,0.0001,0.075
tensor(0.4756),tensor(0.5945),1_2_3_4_5_6_7_9,[0.0, tensor(0.7710), tensor(0.6350), tensor(0.2340), tensor(0.6260), tensor(0.5430), tensor(0.6040), tensor(0.6700), 0.0, tensor(0.6730)],21,0.0001,0.075
tensor(0.3973),tensor(0.4966),0_1_2_3_4_6_7_8,[tensor(0.8280), tensor(0.4430), tensor(0.1510), tensor(0.1510), tensor(0.2670), 0.0, tensor(0.4480), tensor(0.7880), tensor(0.8970), 0.0],21,0.0001,0.075
tensor(0.3064),tensor(0.4377),1_2_4_6_7_8_9,[0.0, tensor(0.4220), tensor(0.6390), 0.0, tensor(0.7450), 0.0, tensor(0.3310), tensor(0.3700), tensor(0.1800), tensor(0.3770)],21,0.0001,0.075
tensor(0.3525),tensor(0.4406),1_2_3_4_6_7_8_9,[0.0, tensor(0.5510), tensor(0.7080), tensor(0.0310), tensor(0.7720), 0.0, tensor(0.3950), tensor(0.2770), tensor(0.4290), tensor(0.3620)],21,0.0001,0.075
tensor(0.3779),tensor(0.4724),1_2_3_4_5_6_7_9,[0.0, tensor(0.7140), tensor(0.7110), tensor(0.0900), tensor(0.7400), tensor(0.4050), tensor(0.2280), tensor(0.4610), 0.0, tensor(0.4300)],21,0.0001,0.075
tensor(0.3393),tensor(0.4847),1_3_5_6_7_8_9,[0.0, tensor(0.1360), 0.0, tensor(0.6280), 0.0, tensor(0.6330), tensor(0.7340), tensor(0.5520), tensor(0.4810), tensor(0.2290)],21,0.0001,0.075
tensor(0.3470),tensor(0.4338),1_2_3_4_5_6_7_9,[0.0, tensor(0.5360), tensor(0.8080), tensor(0.0170), tensor(0.7430), tensor(0.3100), tensor(0.2720), tensor(0.2510), 0.0, tensor(0.5330)],21,0.0001,0.075
0.3867777777777778,0.30824107142857143,[  nan 0.484 0.74  0.015 0.435 0.112 0.06  0.238 0.501 0.577],0.28385714285714286,0.332625,1_3_5_6_7_8_9,1_2_3_4_5_6_7_9,0.003592967987060547,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.54025,0.5055714285714286,[  nan 0.429 0.582 0.419 0.314 0.347 0.686 0.745   nan 0.438],0.495,0.5161428571428571,1_2_3_4_5_6_7_9,1_2_3_4_6_7_9,0.003208160400390625,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.487625,0.393125,[  nan 0.746 0.638 0.051 0.442 0.297 0.172 0.381   nan 0.418],0.393125,0.393125,1_2_3_4_5_6_7_9,1_2_3_4_5_6_7_9,0.0029294490814208984,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.436875,0.382,[  nan 0.339 0.512 0.37  0.182 0.391 0.541 0.417   nan 0.304],0.382,0.382,1_2_3_4_5_6_7_9,1_2_3_4_5_6_7_9,0.0034465789794921875,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4612222222222222,0.5362857142857143,[  nan 0.611 0.848 0.018 0.744 0.317 0.272 0.26  0.673 0.754],0.5945714285714285,0.478,1_2_4_6_7_8_9,1_2_3_4_5_6_7_9,0.0028553009033203125,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.37277777777777776,0.3800892857142857,[  nan 0.34  0.514 0.37  0.183 0.391 0.541 0.417 0.341 0.306],0.37742857142857145,0.38275,1_2_4_6_7_8_9,1_2_3_4_5_6_7_9,0.003327608108520508,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.486875,0.494875,[  nan 0.714 0.57  0.227 0.4   0.357 0.548 0.491   nan 0.652],0.494875,0.494875,1_2_3_4_5_6_7_9,1_2_3_4_5_6_7_9,0.0032100677490234375,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.46066666666666667,0.5361517857142857,[  nan 0.61  0.847 0.018 0.743 0.316 0.273 0.26  0.672 0.756],0.5944285714285714,0.477875,1_2_4_6_7_8_9,1_2_3_4_5_6_7_9,0.0028896331787109375,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.437,0.3355,[  nan 0.49  0.716 0.016 0.478 0.105 0.042 0.238   nan 0.599],0.3355,0.3355,1_2_3_4_5_6_7_9,1_2_3_4_5_6_7_9,0.003260374069213867,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4642222222222222,0.48968749999999994,[0.609 0.755 0.171 0.306 0.29    nan 0.567 0.751 0.627 0.292],0.469875,0.5095,1_2_3_4_6_7_8_9,0_1_2_3_4_6_7_8,0.003268003463745117,match_tensors_permute,resnet20x4,21,0.0001,0.075
