Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.9653),tensor(0.9653),0_7_6,[tensor(0.9640), 0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.9730), tensor(0.9590), 0.0, 0.0],21,0.0001,0.075
tensor(0.9567),tensor(0.9567),1_4_5,[0.0, tensor(0.9910), 0.0, 0.0, tensor(0.9360), tensor(0.9430), 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.9073),tensor(0.9073),2_5_6,[0.0, 0.0, tensor(0.8170), 0.0, 0.0, tensor(0.9420), tensor(0.9630), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.8983),tensor(0.8983),3_5_1,[0.0, tensor(0.9860), 0.0, tensor(0.7830), 0.0, tensor(0.9260), 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.8673),tensor(0.8673),3_5_4,[0.0, 0.0, 0.0, tensor(0.7480), tensor(0.9110), tensor(0.9430), 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.8707),tensor(0.8707),5_4_3,[0.0, 0.0, 0.0, tensor(0.7650), tensor(0.9150), tensor(0.9320), 0.0, 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.9590),tensor(0.9590),5_8_7,[0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.9600), 0.0, tensor(0.9380), tensor(0.9790), 0.0],21,0.0001,0.075
tensor(0.9563),tensor(0.9563),5_9_7,[0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.9320), 0.0, tensor(0.9590), 0.0, tensor(0.9780)],21,0.0001,0.075
tensor(0.9113),tensor(0.9113),6_4_2,[0.0, 0.0, tensor(0.9160), 0.0, tensor(0.8960), 0.0, tensor(0.9220), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.9377),tensor(0.9377),6_5_7,[0.0, 0.0, 0.0, 0.0, 0.0, tensor(0.9440), tensor(0.9650), tensor(0.9040), 0.0, 0.0],21,0.0001,0.075
0.43666666666666665,0.7831666666666667,0.8493333333333334,0.717,5_9_7,6_4_2,0.47820448875427246,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5962,0.8556666666666666,0.836,0.8753333333333333,0_7_6,5_8_7,0.6158156394958496,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5716,0.8614999999999999,0.828,0.895,3_5_1,5_8_7,0.40236473083496094,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.638,0.8231666666666667,0.8756666666666667,0.7706666666666667,1_4_5,2_5_6,0.4469566345214844,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5604,0.8151666666666666,0.751,0.8793333333333333,5_4_3,5_9_7,0.8277041912078857,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.556,0.8213333333333334,0.7696666666666667,0.873,3_5_4,5_8_7,0.39549922943115234,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4955,0.7563333333333333,0.8556666666666667,0.657,0_7_6,5_4_3,0.39783453941345215,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6095,0.789,0.768,0.81,2_5_6,6_5_7,0.4165036678314209,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5282,0.7618333333333334,0.777,0.7466666666666667,3_5_1,6_5_7,0.42649006843566895,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.538,0.7895000000000001,0.7296666666666667,0.8493333333333334,5_4_3,5_8_7,0.3888225555419922,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5255,0.8425,0.895,0.79,0_7_6,3_5_1,0.4248340129852295,match_tensors_zipit,resnet20x4,21,0.0001,0.075
