Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.6469),tensor(0.9241),0_1_3_4_6_8_9,[tensor(0.9050), tensor(0.9660), 0.0, tensor(0.8530), tensor(0.9010), 0.0, tensor(0.9550), 0.0, tensor(0.9450), tensor(0.9440)],21,0.0001,0.075
tensor(0.6465),tensor(0.9236),0_1_2_5_7_8_9,[tensor(0.8850), tensor(0.9800), tensor(0.8910), 0.0, 0.0, tensor(0.9180), 0.0, tensor(0.9340), tensor(0.9360), tensor(0.9210)],21,0.0001,0.075
tensor(0.6505),tensor(0.9293),0_1_2_4_5_6_8,[tensor(0.9380), tensor(0.9870), tensor(0.8940), 0.0, tensor(0.8950), tensor(0.8870), tensor(0.9560), 0.0, tensor(0.9480), 0.0],21,0.0001,0.075
tensor(0.6430),tensor(0.9186),0_1_2_3_4_6_8,[tensor(0.9200), tensor(0.9800), tensor(0.8930), tensor(0.8330), tensor(0.8900), 0.0, tensor(0.9560), 0.0, tensor(0.9580), 0.0],21,0.0001,0.075
tensor(0.6477),tensor(0.9253),0_1_2_5_6_8_9,[tensor(0.9310), tensor(0.9680), tensor(0.8360), 0.0, 0.0, tensor(0.9110), tensor(0.9420), 0.0, tensor(0.9360), tensor(0.9530)],21,0.0001,0.075
tensor(0.6427),tensor(0.9181),0_1_2_3_6_7_9,[tensor(0.9050), tensor(0.9780), tensor(0.9160), tensor(0.8150), 0.0, 0.0, tensor(0.9430), tensor(0.9270), 0.0, tensor(0.9430)],21,0.0001,0.075
tensor(0.6409),tensor(0.9156),0_1_2_3_6_7_8,[tensor(0.9160), tensor(0.9660), tensor(0.9100), tensor(0.8160), 0.0, 0.0, tensor(0.9070), tensor(0.9250), tensor(0.9690), 0.0],21,0.0001,0.075
tensor(0.6495),tensor(0.9279),0_1_4_5_6_8_9,[tensor(0.8870), tensor(0.9690), 0.0, 0.0, tensor(0.8880), tensor(0.9070), tensor(0.9550), 0.0, tensor(0.9420), tensor(0.9470)],21,0.0001,0.075
tensor(0.6386),tensor(0.9123),1_2_3_4_5_6_8,[0.0, tensor(0.9750), tensor(0.9040), tensor(0.7570), tensor(0.9180), tensor(0.9000), tensor(0.9680), 0.0, tensor(0.9640), 0.0],21,0.0001,0.075
tensor(0.6416),tensor(0.9166),1_3_4_5_6_7_9,[0.0, tensor(0.9750), 0.0, tensor(0.7940), tensor(0.9340), tensor(0.8990), tensor(0.9460), tensor(0.9420), 0.0, tensor(0.9260)],21,0.0001,0.075
0.7317777777777777,0.8505,[0.764 0.947 0.801 0.63  0.791 0.811 0.916   nan 0.936 0.91 ],0.8678571428571429,0.8331428571428572,0_1_4_5_6_8_9,1_2_3_4_5_6_8,0.4293050765991211,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7234444444444444,0.8449285714285715,[0.785 0.948 0.786 0.614 0.782 0.802 0.912   nan 0.923 0.91 ],0.866,0.8238571428571428,0_1_4_5_6_8_9,1_2_3_4_5_6_8,0.4330472946166992,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6734,0.8555714285714285,[0.882 0.939 0.805 0.667 0.746 0.832 0.934 0.841 0.918 0.87 ],0.8695714285714286,0.8415714285714285,0_1_2_5_7_8_9,0_1_2_3_4_6_8,0.41639065742492676,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6736,0.8555714285714285,[0.883 0.939 0.805 0.664 0.747 0.832 0.934 0.841 0.918 0.87 ],0.8697142857142857,0.8414285714285714,0_1_2_5_7_8_9,0_1_2_3_4_6_8,0.3941028118133545,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.781,0.8538571428571429,[0.783 0.956 0.85  0.693 0.854 0.845 0.87  0.898   nan 0.894],0.8491428571428571,0.8585714285714285,0_1_2_3_6_7_9,1_3_4_5_6_7_9,0.39441823959350586,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7813333333333333,0.8500714285714286,[0.779 0.957 0.855 0.687 0.853 0.84  0.859 0.893   nan 0.891],0.8458571428571429,0.8542857142857143,0_1_2_3_6_7_9,1_3_4_5_6_7_9,0.4097743034362793,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7111111111111111,0.8075,[0.789 0.893 0.784 0.628 0.729   nan 0.86  0.856 0.868 0.86 ],0.8038571428571428,0.8111428571428572,0_1_3_4_6_8_9,0_1_2_3_6_7_8,0.4161558151245117,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7107777777777777,0.8085,[0.801 0.893 0.773 0.631 0.735   nan 0.846 0.856 0.886 0.841],0.8047142857142857,0.8122857142857143,0_1_3_4_6_8_9,0_1_2_3_6_7_8,0.3786168098449707,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.788625,0.8333571428571429,[0.851 0.935 0.672   nan 0.762 0.816 0.889   nan 0.843 0.893],0.824,0.8427142857142857,0_1_2_4_5_6_8,0_1_2_5_6_8_9,0.3795011043548584,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.790875,0.8342857142857143,[0.847 0.933 0.669   nan 0.764 0.827 0.892   nan 0.849 0.882],0.8258571428571428,0.8427142857142857,0_1_2_4_5_6_8,0_1_2_5_6_8_9,0.4333806037902832,match_tensors_zipit,resnet20x4,21,0.0001,0.075
