Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.5264),tensor(0.5264),0_7_6_5_9_7_5_8_7_3_5_1,[tensor(0.5950), tensor(0.6220), 0.0, tensor(0.3140), 0.0, tensor(0.4110), tensor(0.7040), tensor(0.7320), tensor(0.5110), tensor(0.3220)],21,0.0001,0.075
tensor(0.6522),tensor(0.6522),1_4_5_2_5_6_6_4_2,[0.0, tensor(0.8870), tensor(0.4110), 0.0, tensor(0.6990), tensor(0.7500), tensor(0.5140), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.6082),tensor(0.6082),2_5_6_1_4_5_3_5_4,[0.0, tensor(0.8740), tensor(0.6010), tensor(0.2650), tensor(0.6930), tensor(0.7190), tensor(0.4970), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.5501),tensor(0.5501),3_5_1_5_8_7_5_9_7_0_7_6,[tensor(0.2970), tensor(0.8610), 0.0, tensor(0.5120), 0.0, tensor(0.6760), tensor(0.2680), tensor(0.5150), tensor(0.6330), tensor(0.6390)],21,0.0001,0.075
tensor(0.6277),tensor(0.6277),3_5_4_2_5_6_1_4_5,[0.0, tensor(0.8620), tensor(0.5520), tensor(0.4540), tensor(0.6740), tensor(0.7280), tensor(0.4960), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.7060),tensor(0.7060),5_4_3_6_5_7_6_5_7_5_4_3,[0.0, 0.0, 0.0, tensor(0.6570), tensor(0.7030), tensor(0.7630), tensor(0.6720), tensor(0.7350), 0.0, 0.0],21,0.0001,0.075
tensor(0.5374),tensor(0.5374),5_8_7_3_5_1_0_7_6_5_9_7,[tensor(0.6530), tensor(0.6590), 0.0, tensor(0.3390), 0.0, tensor(0.4010), tensor(0.6780), tensor(0.7590), tensor(0.3540), tensor(0.4560)],21,0.0001,0.075
tensor(0.5677),tensor(0.5677),5_9_7_0_7_6_3_5_1_5_8_7,[tensor(0.3710), tensor(0.8870), 0.0, tensor(0.6000), 0.0, tensor(0.7080), tensor(0.3240), tensor(0.4610), tensor(0.5670), tensor(0.6240)],21,0.0001,0.075
tensor(0.6554),tensor(0.6554),6_4_2_1_4_5_2_5_6,[0.0, tensor(0.8540), tensor(0.4360), 0.0, tensor(0.7340), tensor(0.7850), tensor(0.4680), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.7008),tensor(0.7008),6_5_7_5_4_3_5_4_3_6_5_7,[0.0, 0.0, 0.0, tensor(0.6730), tensor(0.7530), tensor(0.7370), tensor(0.6410), tensor(0.7000), 0.0, 0.0],21,0.0001,0.075
0.608375,0.5871666666666666,[0.407 0.737   nan 0.51    nan 0.592 0.722 0.601 0.493 0.598],0.5871666666666666,0.5871666666666666,0_7_6_5_9_7_5_8_7_3_5_1,5_9_7_0_7_6_3_5_1_5_8_7,0.4216587543487549,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.60825,0.5851666666666666,[0.416 0.723   nan 0.511   nan 0.593 0.717 0.597 0.491 0.594],0.5851666666666666,0.5851666666666666,0_7_6_5_9_7_5_8_7_3_5_1,5_9_7_0_7_6_3_5_1_5_8_7,0.44593167304992676,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.48442857142857143,0.5393055555555555,[  nan 0.863 0.342 0.512 0.647 0.565 0.391 0.623   nan   nan],0.5281111111111111,0.5505,1_4_5_2_5_6_6_4_2,6_5_7_5_4_3_5_4_3_6_5_7,0.45584893226623535,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.48514285714285715,0.5412222222222223,[  nan 0.869 0.338 0.519 0.652 0.566 0.392 0.623   nan   nan],0.5294444444444445,0.553,1_4_5_2_5_6_6_4_2,6_5_7_5_4_3_5_4_3_6_5_7,0.434511661529541,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5422857142857143,0.5698888888888889,[  nan 0.896 0.435 0.531 0.52  0.578 0.546 0.631   nan   nan],0.5757777777777778,0.564,3_5_4_2_5_6_1_4_5,5_4_3_6_5_7_6_5_7_5_4_3,0.4448983669281006,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5422857142857143,0.5663888888888889,[  nan 0.896 0.436 0.537 0.511 0.573 0.536 0.636   nan   nan],0.5717777777777778,0.561,3_5_4_2_5_6_1_4_5,5_4_3_6_5_7_6_5_7_5_4_3,0.4349188804626465,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.58925,0.5468333333333333,[0.69  0.583   nan 0.312   nan 0.442 0.71  0.73  0.326 0.425],0.5468333333333333,0.5468333333333333,3_5_1_5_8_7_5_9_7_0_7_6,5_8_7_3_5_1_0_7_6_5_9_7,0.4496285915374756,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5785,0.5418333333333333,[0.717 0.566   nan 0.306   nan 0.408 0.72  0.741 0.316 0.43 ],0.5418333333333333,0.5418333333333333,3_5_1_5_8_7_5_9_7_0_7_6,5_8_7_3_5_1_0_7_6_5_9_7,0.4378316402435303,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.6246666666666667,0.6853333333333333,[  nan 0.969 0.665 0.288 0.765 0.736 0.508   nan   nan   nan],0.6853333333333333,2_5_6_1_4_5_3_5_4,0.0,None,resnet20x4,21,0.0001,0.075
0.7078,0.715,[  nan 0.983 0.524   nan 0.81  0.878 0.514   nan   nan   nan],0.715,6_4_2_1_4_5_2_5_6,0.0,None,resnet20x4,21,0.0001,0.075
