Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.5674),tensor(0.5674),0_7_6_5_9_7_3_5_4,[tensor(0.7490), 0.0, 0.0, tensor(0.3680), tensor(0.5220), tensor(0.4980), tensor(0.6480), tensor(0.7630), 0.0, tensor(0.4240)],21,0.0001,0.075
tensor(0.6652),tensor(0.6652),1_4_5_2_5_6_6_4_2,[0.0, tensor(0.8820), tensor(0.5290), 0.0, tensor(0.7200), tensor(0.7610), tensor(0.4340), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.7512),tensor(0.7512),2_5_6_1_4_5,[0.0, tensor(0.9070), tensor(0.5690), 0.0, tensor(0.8070), tensor(0.7350), tensor(0.7380), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.6170),tensor(0.6170),3_5_1_5_8_7_5_9_7_0_7_6,[tensor(0.4420), tensor(0.8690), 0.0, tensor(0.5740), 0.0, tensor(0.7900), tensor(0.4560), tensor(0.5520), tensor(0.6230), tensor(0.6300)],21,0.0001,0.075
tensor(0.5004),tensor(0.5004),3_5_4_0_7_6_5_9_7,[tensor(0.5720), 0.0, 0.0, tensor(0.3700), tensor(0.2450), tensor(0.4010), tensor(0.6590), tensor(0.8400), 0.0, tensor(0.4160)],21,0.0001,0.075
tensor(0.7408),tensor(0.7408),5_4_3_6_5_7_6_5_7_5_4_3,[0.0, 0.0, 0.0, tensor(0.7110), tensor(0.7660), tensor(0.7820), tensor(0.6910), tensor(0.7540), 0.0, 0.0],21,0.0001,0.075
tensor(0.7980),tensor(0.7980),5_8_7_3_5_1,[0.0, tensor(0.8980), 0.0, tensor(0.7010), 0.0, tensor(0.8190), 0.0, tensor(0.7680), tensor(0.8040), 0.0],21,0.0001,0.075
tensor(0.5969),tensor(0.5969),5_9_7_0_7_6_3_5_1_5_8_7,[tensor(0.4360), tensor(0.8720), 0.0, tensor(0.6330), 0.0, tensor(0.7920), tensor(0.3950), tensor(0.4820), tensor(0.4990), tensor(0.6660)],21,0.0001,0.075
tensor(0.6682),tensor(0.6682),6_4_2_1_4_5_2_5_6,[0.0, tensor(0.8610), tensor(0.4940), 0.0, tensor(0.7000), tensor(0.7770), tensor(0.5090), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.7328),tensor(0.7328),6_5_7_5_4_3_5_4_3_6_5_7,[0.0, 0.0, 0.0, tensor(0.7340), tensor(0.7670), tensor(0.7640), tensor(0.6520), tensor(0.7470), 0.0, 0.0],21,0.0001,0.075
0.5008888888888889,0.5889583333333334,[0.525 0.746   nan 0.6   0.512 0.623 0.373 0.714 0.53  0.46 ],0.60375,0.5741666666666667,3_5_1_5_8_7_5_9_7_0_7_6,6_5_7_5_4_3_5_4_3_6_5_7,0.004728078842163086,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5011111111111111,0.5888333333333333,[0.528 0.746   nan 0.6   0.511 0.622 0.374 0.714 0.529 0.461],0.6038333333333333,0.5738333333333333,3_5_1_5_8_7_5_9_7_0_7_6,6_5_7_5_4_3_5_4_3_6_5_7,0.005784511566162109,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.585,0.7453333333333334,[  nan 0.96  0.575 0.657 0.669 0.73  0.588 0.751 0.864   nan],0.7086666666666667,0.782,2_5_6_1_4_5,5_8_7_3_5_1,0.003475189208984375,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.584,0.7425833333333334,[  nan 0.957 0.568 0.656 0.651 0.728 0.587 0.76  0.863   nan],0.7031666666666667,0.782,2_5_6_1_4_5,5_8_7_3_5_1,0.0030324459075927734,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5737777777777778,0.6523194444444445,[0.669 0.803   nan 0.57  0.396 0.711 0.621 0.695 0.51  0.646],0.6348888888888888,0.66975,3_5_4_0_7_6_5_9_7,5_9_7_0_7_6_3_5_1_5_8_7,0.0034558773040771484,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5737777777777778,0.6524166666666666,[0.67  0.803   nan 0.572 0.395 0.709 0.621 0.697 0.509 0.645],0.635,0.6698333333333333,3_5_4_0_7_6_5_9_7,5_9_7_0_7_6_3_5_1_5_8_7,0.0030286312103271484,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.4855555555555556,0.5937222222222223,[0.725 0.931 0.556 0.331 0.363 0.684 0.637 0.593   nan 0.666],0.5862222222222222,0.6012222222222222,0_7_6_5_9_7_3_5_4,1_4_5_2_5_6_6_4_2,0.0033097267150878906,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.48544444444444446,0.5932222222222222,[0.725 0.931 0.555 0.331 0.362 0.684 0.636 0.593   nan 0.665],0.5858888888888889,0.6005555555555555,0_7_6_5_9_7_3_5_4,1_4_5_2_5_6_6_4_2,0.0032799243927001953,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.589,0.6631388888888889,[  nan 0.947 0.387 0.576 0.574 0.823 0.614 0.719   nan   nan],0.6881666666666667,0.6381111111111111,5_4_3_6_5_7_6_5_7_5_4_3,6_4_2_1_4_5_2_5_6,0.0032033920288085938,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5894285714285714,0.6635277777777777,[  nan 0.947 0.387 0.576 0.574 0.823 0.616 0.719   nan   nan],0.6885,0.6385555555555555,5_4_3_6_5_7_6_5_7_5_4_3,6_4_2_1_4_5_2_5_6,0.0032634735107421875,match_tensors_permute,resnet20x4,21,0.0001,0.075
