seed,scenario,A_alone,B_alone,E_A,E_B,E_C,E_E,E_D_plus,E_D_minus,E_Dminus_fc1,E_Dplus_fc1,cos_fc1,dA_A,dA_B,dA_C,dA_E,dA_D_plus,dA_D_minus,aDm0.0_preA,aDm0.0_preB,aDm0.0_postA,aDm0.0_postB,aDm0.5_preA,aDm0.5_preB,aDm0.5_postA,aDm0.5_postB,aDm1.0_preA,aDm1.0_preB,aDm1.0_postA,aDm1.0_postB,aDm1.2_preA,aDm1.2_preB,aDm1.2_postA,aDm1.2_postB
0,B_invert,0.9930092096328735,0.9923737049102783,0.0,0.0,0.0,0.4068244747707591,0.2901053203630414,0.30307020486619957,0.3540351610614441,0.3329416906940496,0.006324828028667568,0.0,0.0,0.0,0.0015888214111328125,0.00190657377243042,-0.0009532570838928223,0.9780743718147278,0.3110899329185486,0.9939625263214111,0.9567842483520508,0.9685415029525757,0.2910708785057068,0.9945980310440063,0.9688592553138733,0.9561487436294556,0.3012392818927765,0.9939625263214111,0.978709876537323,0.9510645270347595,0.28821098804473877,0.9939625263214111,0.9701303243637085
0,B_disjoint,0.9930092096328735,0.9951456785202026,0.02023011897727956,0.07777787876030692,0.10035607678675926,0.44996850438194175,0.20206435000407066,0.14960307108964166,0.13148530367037528,0.20168115159563432,0.06679611832511463,0.0003178119659423828,0.0,0.0006355643272399902,0.001271069049835205,0.0022243857383728027,-0.0009532570838928223,0.8592310547828674,0.8682385683059692,0.9825230836868286,0.9764216542243958,0.8598665595054626,0.8668516278266907,0.9790276885032654,0.976768434047699,0.8592310547828674,0.8637309670448303,0.979345440864563,0.9781553745269775,0.8608198165893555,0.8578363656997681,0.9799809455871582,0.978502094745636
0,B_same,0.9930092096328735,0.9958691000938416,0.0008655459730496521,0.013145532471084886,0.03954868428564519,0.3239289404927972,0.4827433288956722,0.13976796788175114,0.11711917804830856,0.6060357407058655,0.3347068086951266,0.0,0.0,0.0003178119659423828,0.001271069049835205,0.0028598904609680176,0.0006355643272399902,0.9958691000938416,0.9958691000938416,0.9965046048164368,0.9965046048164368,0.9958691000938416,0.9958691000938416,0.9965046048164368,0.9965046048164368,0.9958691000938416,0.9958691000938416,0.9965046048164368,0.9965046048164368,0.995551347732544,0.995551347732544,0.9968224167823792,0.9968224167823792
1,B_invert,0.9961868524551392,0.9936447739601135,0.0,0.0,0.0005342050270631336,0.4352481407755618,0.2918727255641658,0.2723449286332093,0.3155917281340605,0.34957066316990315,0.04006985943347645,0.0,0.0,0.0,-0.001271069049835205,-0.001271069049835205,0.0,0.7816968560218811,0.32793137431144714,0.9936447739601135,0.978709876537323,0.7407054305076599,0.32793137431144714,0.9930092096328735,0.9755322933197021,0.6873212456703186,0.32793137431144714,0.9920559525489807,0.979345440864563,0.6682555079460144,0.32793137431144714,0.9923737049102783,0.9761677980422974
1,B_disjoint,0.9961868524551392,0.9909847974777222,0.05200187997887957,0.14621957506691824,0.222149132285148,0.3082390365163349,0.16230563801265183,0.10908473814006737,0.11550952988166951,0.18807779850382808,0.03599986395882197,0.0003177523612976074,-0.0009532570838928223,0.0003177523612976074,-0.003177642822265625,-0.0009532570838928223,-0.0034953951835632324,0.772163987159729,0.9136615991592407,0.9790276885032654,0.9791955947875977,0.7572291493415833,0.9219833612442017,0.9806164503097534,0.9771151542663574,0.7343502044677734,0.9282247424125671,0.981569766998291,0.9760749340057373,0.7232285141944885,0.9275312423706055,0.9822052717208862,0.9750347137451172
1,B_same,0.9961868524551392,0.9965046048164368,0.0,0.006731019486176851,0.027696697960964304,0.4239028745436047,0.3592981384000612,0.182371269609193,0.1542898375468774,0.44405325625497494,0.210469508353958,0.0,0.0,-0.0009532570838928223,-0.0025420784950256348,-0.0003177523612976074,-0.00381314754486084,0.9961868524551392,0.9961868524551392,0.9968224167823792,0.9968224167823792,0.995551347732544,0.995551347732544,0.9958691000938416,0.9958691000938416,0.995551347732544,0.995551347732544,0.995551347732544,0.995551347732544,0.9958691000938416,0.9958691000938416,0.9945980310440063,0.9945980310440063
2,B_invert,0.995551347732544,0.9917382001876831,0.0,0.0,0.0003587389034453537,0.33927874181869466,0.4714797667204343,0.18888275255742568,0.16445326530313484,0.560264003028891,0.05331481700966836,0.0,0.0,0.0,0.0,-0.00190657377243042,-0.0003177523612976074,0.9688592553138733,0.3562122583389282,0.9930092096328735,0.9796631932258606,0.9313632249832153,0.31903401017189026,0.9930092096328735,0.9818875193595886,0.8582777380943298,0.3114076852798462,0.9923737049102783,0.9869717359542847,0.8150619864463806,0.3114076852798462,0.9917382001876831,0.981569766998291
2,B_disjoint,0.995551347732544,0.9927184581756592,0.047665434599685204,0.14071812120643615,0.19431764878966812,0.3461531020500802,0.1635507670243414,0.10759492632978891,0.10169897921598045,0.18136993437952134,0.04539862195133426,0.0,0.0003177523612976074,0.0003177523612976074,-0.0003177523612976074,-0.011757254600524902,-0.001271069049835205,0.7540515065193176,0.8665049076080322,0.978709876537323,0.9791955947875977,0.7737528085708618,0.8886963129043579,0.9796631932258606,0.978502094745636,0.7915475368499756,0.9025658965110779,0.9799809455871582,0.9774618744850159,0.7982205152511597,0.9088072180747986,0.9799809455871582,0.9791955947875977
2,B_same,0.995551347732544,0.9945980310440063,0.027861265067311507,0.04754990953795874,0.1647993792739906,0.2234428290923757,0.4198130122353561,0.1165336047930075,0.11429137569098247,0.5580539759478654,0.33682276861468474,0.0,-0.0009533166885375977,0.0003177523612976074,0.0003177523612976074,-0.005084216594696045,-0.0003177523612976074,0.994915783405304,0.994915783405304,0.9926914572715759,0.9926914572715759,0.9952335953712463,0.9952335953712463,0.9936447739601135,0.9936447739601135,0.995551347732544,0.995551347732544,0.9933270215988159,0.9933270215988159,0.995551347732544,0.995551347732544,0.9936447739601135,0.9936447739601135
3,B_invert,0.9936447739601135,0.984429657459259,0.0,0.0,0.003656603315214123,0.27550082122344954,0.4033672364655846,0.3174753389957519,0.3596977295176782,0.47408632183366667,0.02360124144023352,0.0,0.0,0.0003177523612976074,0.0003177523612976074,0.0022243261337280273,-0.004130959510803223,0.9872894883155823,0.19383540749549866,0.9930092096328735,0.9780743718147278,0.9853829145431519,0.18207816779613495,0.9933270215988159,0.9812520146369934,0.983794093132019,0.1668255478143692,0.9933270215988159,0.9698125123977661,0.9818875193595886,0.16396568715572357,0.9936447739601135,0.9783921241760254
3,B_disjoint,0.9936447739601135,0.9958391189575195,0.008093761489738057,0.04871882259397392,0.06731630309576361,0.4898090497010489,0.21422084130548308,0.17184122181399245,0.1792202926585461,0.2352785538094287,0.06142658727543799,0.0,-0.0006355643272399902,-0.0015888214111328125,0.00190657377243042,0.0006355047225952148,0.0012710094451904297,0.7407054305076599,0.8810679912567139,0.9841118454933167,0.9722607731819153,0.7476962208747864,0.8599168062210083,0.983794093132019,0.9750347137451172,0.7461073994636536,0.8228155374526978,0.9834763407707214,0.9743412137031555,0.7483317852020264,0.8009709119796753,0.9825230836868286,0.9753814339637756
3,B_same,0.9936447739601135,0.995551347732544,0.0,0.0009670475677995244,0.0006412403829113443,0.37441118862968953,0.4613664367419254,0.16261408667767427,0.13414560685076457,0.5422255066141136,0.300343227890072,0.0,-0.0006355643272399902,-0.0003177523612976074,0.0006355047225952148,0.0006355047225952148,-0.005401968955993652,0.994915783405304,0.994915783405304,0.9926914572715759,0.9926914572715759,0.9936447739601135,0.9936447739601135,0.9933270215988159,0.9933270215988159,0.9939625263214111,0.9939625263214111,0.9942802786827087,0.9942802786827087,0.9939625263214111,0.9939625263214111,0.9942802786827087,0.9942802786827087
4,B_invert,0.9952335953712463,0.9863362312316895,0.0,0.0,0.0,0.25125007386904263,0.40973452554981227,0.33901540058114515,0.3867640917879314,0.45681725951395635,0.006508055125947493,0.0,0.0,0.0,-0.0006355643272399902,0.0,0.0003177523612976074,0.9513822793960571,0.3241182267665863,0.9930092096328735,0.9694947600364685,0.9571020007133484,0.3247537314891815,0.9933270215988159,0.9628217816352844,0.9561487436294556,0.3311089873313904,0.9939625263214111,0.9806164503097534,0.9590085744857788,0.3333333432674408,0.9939625263214111,0.9850651621818542
4,B_disjoint,0.9952335953712463,0.994452178478241,0.013419764505306507,0.06827160341164333,0.11437484317121545,0.46462676662616775,0.2030292178563926,0.13627780442927412,0.11918159058796435,0.20880159962281775,0.05951627976663988,0.0,0.0003177523612976074,0.0003177523612976074,-0.0006355643272399902,-0.0028598904609680176,-0.001271069049835205,0.8871941566467285,0.8626907467842102,0.9812520146369934,0.964632511138916,0.9145218133926392,0.8273231983184814,0.9806164503097534,0.9719140529632568,0.9231013655662537,0.7687240242958069,0.9783921241760254,0.9712205529212952,0.9246901869773865,0.7395977973937988,0.9790276885032654,0.9719140529632568
4,B_same,0.9952335953712463,0.995551347732544,0.0,0.0005729367266224709,0.0011529237274746351,0.4351734696831714,0.4109619765542877,0.152138693308444,0.1287579765177972,0.4884339334892426,0.2532604770163773,0.0,0.0,0.0,-0.00190657377243042,-0.00254213809967041,-0.0003178119659423828,0.9952335953712463,0.9952335953712463,0.9945980310440063,0.9945980310440063,0.9952335953712463,0.9952335953712463,0.9939625263214111,0.9939625263214111,0.9952335953712463,0.9952335953712463,0.9945980310440063,0.9945980310440063,0.9952335953712463,0.9952335953712463,0.9945980310440063,0.9945980310440063
