parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,regime,preset,eta,head,type_A,type_B,type_C,type_E,type_D_plus,type_D_minus,norm_ratio_min,norm_ratio_med,norm_ratio_max,typed_frac_mean,layers_analysed,merging_fn,population,core,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.248,0.39749999999999996,0.44266666666666665,0.35233333333333333,"[0.34, null, 0.037, null, null, null, null, 0.988, 0.0, 0.032]",average@0.80@average,average,0.8,average,0.02472094857131245,0.09176184542505336,0.16878925277972026,0.2566994158143108,0.4145177500319542,0.043510787377648755,0.6179449605208897,0.694364573760993,0.8062347598383578,0.715300261694725,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,14.2
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.3694,0.4375,0.36533333333333334,0.5096666666666667,"[0.613, null, 0.9, null, null, null, null, 0.054, 0.429, 0.575]",average@0.80@label,average,0.8,label,0.02472094857131245,0.09176184542505336,0.16878925277972026,0.2566994158143108,0.4145177500319542,0.043510787377648755,0.6179449605208897,0.694364573760993,0.8062347598383578,0.715300261694725,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,15.0
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.2562,0.4295,0.492,0.367,"[0.49, null, 0.062, null, null, null, null, 0.986, 0.0, 0.053]",single-full@0.80@average,single-full,0.8,average,0.02472094857131245,0.09176184542505336,0.16878925277972026,0.2566994158143108,0.4145177500319542,0.043510787377648755,0.8879385809266807,0.9892162156292094,1.1171064147793999,0.715300261694725,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,14.4
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.3768,0.4611666666666666,0.37966666666666665,0.5426666666666666,"[0.684, null, 0.892, null, null, null, null, 0.118, 0.337, 0.618]",single-full@0.80@label,single-full,0.8,label,0.02472094857131245,0.09176184542505336,0.16878925277972026,0.2566994158143108,0.4145177500319542,0.043510787377648755,0.8879385809266807,0.9892162156292094,1.1171064147793999,0.715300261694725,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,14.5
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.2648333333333333,0.4641666666666666,0.39866666666666667,0.5296666666666666,"[0.98, null, null, 0.869, null, 0.001, null, 0.213, 0.003, 0.719]",average@0.80@average,average,0.8,average,0.024315381173015314,0.029567070446433627,0.10470166769112761,0.3438348659489635,0.4593244946776393,0.03825652006282058,0.5549956523048196,0.6841754971788251,0.7307853727590087,0.7164535828469145,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,14.6
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.24483333333333332,0.5285,0.524,0.533,"[0.607, null, null, 0.812, null, 0.221, null, 0.531, 0.434, 0.566]",average@0.80@label,average,0.8,label,0.024315381173015314,0.029567070446433627,0.10470166769112761,0.3438348659489635,0.4593244946776393,0.03825652006282058,0.5549956523048196,0.6841754971788251,0.7307853727590087,0.7164535828469145,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,14.7
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.2615,0.4795,0.42633333333333334,0.5326666666666666,"[0.963, null, null, 0.921, null, 0.014, null, 0.312, 0.004, 0.663]",single-full@0.80@average,single-full,0.8,average,0.024315381173015314,0.029567070446433627,0.10470166769112761,0.3438348659489635,0.4593244946776393,0.03825652006282058,0.7307853727590087,0.9655983541655939,1.1212758205571156,0.7164535828469145,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,14.6
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.23683333333333334,0.5346666666666666,0.5203333333333333,0.549,"[0.644, null, null, 0.726, null, 0.329, null, 0.542, 0.375, 0.592]",single-full@0.80@label,single-full,0.8,label,0.024315381173015314,0.029567070446433627,0.10470166769112761,0.3438348659489635,0.4593244946776393,0.03825652006282058,0.7307853727590087,0.9655983541655939,1.1212758205571156,0.7164535828469145,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,14.6
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.1908,0.33366666666666667,0.33266666666666667,0.33466666666666667,"[0.0, null, null, null, null, null, 0.003, 0.0, 0.998, 0.003]",average@0.80@average,average,0.8,average,0.04235597094798581,0.007398115088928562,0.0804609111499296,0.1374205782186174,0.6584280707447283,0.07393635384981023,0.636296303840547,0.6868735922484945,0.7475033363371172,0.7168729204836326,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,14.5
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.3404,0.6133333333333333,0.4806666666666667,0.746,"[0.463, null, null, null, null, null, 0.768, 0.24, 0.739, 0.731]",average@0.80@label,average,0.8,label,0.04235597094798581,0.007398115088928562,0.0804609111499296,0.1374205782186174,0.6584280707447283,0.07393635384981023,0.636296303840547,0.6868735922484945,0.7475033363371172,0.7168729204836326,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,14.1
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.1932,0.3401666666666666,0.3323333333333333,0.348,"[0.0, null, null, null, null, null, 0.039, 0.0, 0.997, 0.008]",single-full@0.80@average,single-full,0.8,average,0.04235597094798581,0.007398115088928562,0.0804609111499296,0.1374205782186174,0.6584280707447283,0.07393635384981023,0.7475033363371172,0.9500057559665717,1.0753714382015263,0.7168729204836326,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,14.0
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.3318,0.62,0.4866666666666667,0.7533333333333333,"[0.427, null, null, null, null, null, 0.774, 0.246, 0.787, 0.699]",single-full@0.80@label,single-full,0.8,label,0.04235597094798581,0.007398115088928562,0.0804609111499296,0.1374205782186174,0.6584280707447283,0.07393635384981023,0.7475033363371172,0.9500057559665717,1.0753714382015263,0.7168729204836326,21,globa_v2,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,14.4
