seed,shared,recipe,A_on_union,B_on_union,A_on_A,B_on_B,pre,post,E_A,E_B,E_C,E_E,E_D_plus,E_D_minus
0,0,copyA,0.6942833662033081,0.7243833541870117,0.9517333507537842,0.9282000064849854,0.6942833662033081,0.9124667048454285,0.016640773495214412,0.08234015247772863,0.09694887815754313,0.41663272453655426,0.26027364436176376,0.1271638269711957
0,0,avg+avghead,0.6942833662033081,0.7243833541870117,0.9517333507537842,0.9282000064849854,0.9048333168029785,0.9255000352859497,0.016640773495214412,0.08234015247772863,0.09694887815754313,0.41663272453655426,0.26027364436176376,0.1271638269711957
0,0,avg+label,0.6942833662033081,0.7243833541870117,0.9517333507537842,0.9282000064849854,0.916016697883606,0.9320999979972839,0.016640773495214412,0.08234015247772863,0.09694887815754313,0.41663272453655426,0.26027364436176376,0.1271638269711957
0,0,single+label,0.6942833662033081,0.7243833541870117,0.9517333507537842,0.9282000064849854,0.9135500192642212,0.935283362865448,0.016640773495214412,0.08234015247772863,0.09694887815754313,0.41663272453655426,0.26027364436176376,0.1271638269711957
0,0,sum+label,0.6942833662033081,0.7243833541870117,0.9517333507537842,0.9282000064849854,0.8773166537284851,0.9379833340644836,0.016640773495214412,0.08234015247772863,0.09694887815754313,0.41663272453655426,0.26027364436176376,0.1271638269711957
0,1,copyA,0.6784999966621399,0.8507999777793884,0.9517333507537842,0.9362333416938782,0.6784999966621399,0.9213399887084961,0.023162197556329818,0.07225516515856986,0.11032732890007442,0.3861172771848552,0.3015450014084911,0.10659302979167971
0,1,avg+avghead,0.6784999966621399,0.8507999777793884,0.9517333507537842,0.9362333416938782,0.8942199945449829,0.9332199692726135,0.023162197556329818,0.07225516515856986,0.11032732890007442,0.3861172771848552,0.3015450014084911,0.10659302979167971
0,1,avg+label,0.6784999966621399,0.8507999777793884,0.9517333507537842,0.9362333416938782,0.9170999526977539,0.9371199607849121,0.023162197556329818,0.07225516515856986,0.11032732890007442,0.3861172771848552,0.3015450014084911,0.10659302979167971
0,1,single+label,0.6784999966621399,0.8507999777793884,0.9517333507537842,0.9362333416938782,0.9062199592590332,0.9397199749946594,0.023162197556329818,0.07225516515856986,0.11032732890007442,0.3861172771848552,0.3015450014084911,0.10659302979167971
0,1,sum+label,0.6784999966621399,0.8507999777793884,0.9517333507537842,0.9362333416938782,0.8738999962806702,0.9427599906921387,0.023162197556329818,0.07225516515856986,0.11032732890007442,0.3861172771848552,0.3015450014084911,0.10659302979167971
0,2,copyA,0.7643749713897705,0.774899959564209,0.9517333507537842,0.9442333579063416,0.7643749713897705,0.9372749924659729,0.008069657252619416,0.04523808286183822,0.08768515470666756,0.34265270240868095,0.41861911601743174,0.09773528675276204
0,2,avg+avghead,0.7643749713897705,0.774899959564209,0.9517333507537842,0.9442333579063416,0.9041749835014343,0.9365249872207642,0.008069657252619416,0.04523808286183822,0.08768515470666756,0.34265270240868095,0.41861911601743174,0.09773528675276204
0,2,avg+label,0.7643749713897705,0.774899959564209,0.9517333507537842,0.9442333579063416,0.9110749959945679,0.9404249787330627,0.008069657252619416,0.04523808286183822,0.08768515470666756,0.34265270240868095,0.41861911601743174,0.09773528675276204
0,2,single+label,0.7643749713897705,0.774899959564209,0.9517333507537842,0.9442333579063416,0.9181249737739563,0.9430249929428101,0.008069657252619416,0.04523808286183822,0.08768515470666756,0.34265270240868095,0.41861911601743174,0.09773528675276204
0,2,sum+label,0.7643749713897705,0.774899959564209,0.9517333507537842,0.9442333579063416,0.8991999626159668,0.9465749859809875,0.008069657252619416,0.04523808286183822,0.08768515470666756,0.34265270240868095,0.41861911601743174,0.09773528675276204
0,3,copyA,0.9517333507537842,0.9509000182151794,0.9517333507537842,0.9509000182151794,0.9517333507537842,0.9555667042732239,0.0013992371175631168,0.01038064436749612,0.016008985667474305,0.3544574162545667,0.5122702765601201,0.10548344003277971
0,3,avg+avghead,0.9517333507537842,0.9509000182151794,0.9517333507537842,0.9509000182151794,0.9473333358764648,0.9500333666801453,0.0013992371175631168,0.01038064436749612,0.016008985667474305,0.3544574162545667,0.5122702765601201,0.10548344003277971
0,3,avg+label,0.9517333507537842,0.9509000182151794,0.9517333507537842,0.9509000182151794,0.9473333358764648,0.9500333666801453,0.0013992371175631168,0.01038064436749612,0.016008985667474305,0.3544574162545667,0.5122702765601201,0.10548344003277971
0,3,single+label,0.9517333507537842,0.9509000182151794,0.9517333507537842,0.9509000182151794,0.9306333661079407,0.9563000202178955,0.0013992371175631168,0.01038064436749612,0.016008985667474305,0.3544574162545667,0.5122702765601201,0.10548344003277971
0,3,sum+label,0.9517333507537842,0.9509000182151794,0.9517333507537842,0.9509000182151794,0.9258666634559631,0.9556333422660828,0.0013992371175631168,0.01038064436749612,0.016008985667474305,0.3544574162545667,0.5122702765601201,0.10548344003277971
1,0,copyA,0.7372166514396667,0.6475499868392944,0.957800030708313,0.9321666955947876,0.7372166514396667,0.9114333391189575,0.032893665669487857,0.10034435153620756,0.13869014152135611,0.4045456407542841,0.23438364369337772,0.08914255682528643
1,0,avg+avghead,0.7372166514396667,0.6475499868392944,0.957800030708313,0.9321666955947876,0.905750036239624,0.9287166595458984,0.032893665669487857,0.10034435153620756,0.13869014152135611,0.4045456407542841,0.23438364369337772,0.08914255682528643
1,0,avg+label,0.7372166514396667,0.6475499868392944,0.957800030708313,0.9321666955947876,0.9231500029563904,0.9359666705131531,0.032893665669487857,0.10034435153620756,0.13869014152135611,0.4045456407542841,0.23438364369337772,0.08914255682528643
1,0,single+label,0.7372166514396667,0.6475499868392944,0.957800030708313,0.9321666955947876,0.912683367729187,0.9373500347137451,0.032893665669487857,0.10034435153620756,0.13869014152135611,0.4045456407542841,0.23438364369337772,0.08914255682528643
1,0,sum+label,0.7372166514396667,0.6475499868392944,0.957800030708313,0.9321666955947876,0.8973333239555359,0.9386000037193298,0.032893665669487857,0.10034435153620756,0.13869014152135611,0.4045456407542841,0.23438364369337772,0.08914255682528643
1,1,copyA,0.7488799691200256,0.8559799790382385,0.957800030708313,0.9331333637237549,0.7488799691200256,0.9203799962997437,0.03280546283925023,0.08493967745754578,0.15325035466086437,0.35170838654351083,0.2803360025260202,0.0969601159728087
1,1,avg+avghead,0.7488799691200256,0.8559799790382385,0.957800030708313,0.9331333637237549,0.9158399701118469,0.9329800009727478,0.03280546283925023,0.08493967745754578,0.15325035466086437,0.35170838654351083,0.2803360025260202,0.0969601159728087
