seed,scenario,A_alone,B_alone,E_A,E_B,E_C,E_E,E_D_plus,E_D_minus,E_Dminus_fc1,E_Dplus_fc1,cos_fc1,dA_A,dA_B,dA_C,dA_E,dA_D_plus,dA_D_minus,aDm0.0_preA,aDm0.0_preB,aDm0.0_postA,aDm0.0_postB,aDm0.5_preA,aDm0.5_preB,aDm0.5_postA,aDm0.5_postB,aDm1.0_preA,aDm1.0_preB,aDm1.0_postA,aDm1.0_postB,aDm1.2_preA,aDm1.2_preB,aDm1.2_postA,aDm1.2_postB
0,B_invert,0.994915783405304,0.9866539835929871,0.0,0.0,0.004048043342796759,0.25502474724072005,0.3147601664322847,0.4261670429841985,0.5101060271164145,0.3673828084737508,0.002281586074906648,0.0,0.0,0.0,0.0009533166885375977,-0.0022243261337280273,-0.0003177523612976074,0.9923737049102783,0.3114076852798462,0.9923737049102783,0.9574198126792908,0.9926914572715759,0.3114076852798462,0.9923737049102783,0.9663171172142029,0.9841118454933167,0.37241819500923157,0.9933270215988159,0.978709876537323,0.9780743718147278,0.38163331151008606,0.9923737049102783,0.9437559843063354
0,B_disjoint,0.994915783405304,0.9958391189575195,0.01158351969237359,0.058676210788980984,0.08965598354231412,0.5014117145827808,0.18008065792426703,0.15859191346928347,0.14418257625508837,0.17202542562962744,0.019638191916467887,0.0,0.0,-0.0003177523612976074,-0.0015887618064880371,0.0,-0.00381314754486084,0.9701303243637085,0.604022204875946,0.9825230836868286,0.9635922908782959,0.9701303243637085,0.5891123414039612,0.9825230836868286,0.9684466123580933,0.9555131793022156,0.5814840793609619,0.9809342622756958,0.9708738327026367,0.9405783414840698,0.5797503590583801,0.9812520146369934,0.972954273223877
0,B_same,0.994915783405304,0.995551347732544,0.0,0.0020091355586160614,0.015597646661534476,0.3292833172437178,0.4543551179872312,0.19875478254890047,0.17248983589193861,0.5389318043154886,0.27291925021831565,0.0,0.0003178119659423828,-0.0003177523612976074,0.0003178119659423828,-0.00381314754486084,-0.00190657377243042,0.9942802786827087,0.9942802786827087,0.995551347732544,0.995551347732544,0.9945980310440063,0.9945980310440063,0.9952335953712463,0.9952335953712463,0.9945980310440063,0.9945980310440063,0.9961868524551392,0.9961868524551392,0.994915783405304,0.994915783405304,0.9958691000938416,0.9958691000938416
1,B_invert,0.9939625263214111,0.9876072406768799,0.0,0.0,0.010719247076869215,0.43685529526225725,0.2959313606967954,0.25649409696407816,0.24305143227310919,0.3668963542908941,0.03399588161435084,0.0,0.0,0.0,-0.0015888214111328125,-0.00571972131729126,0.0,0.7305370569229126,0.32793137431144714,0.9926914572715759,0.9342231154441833,0.7229107022285461,0.32793137431144714,0.9917382001876831,0.9571020007133484,0.6971719264984131,0.32793137431144714,0.9920559525489807,0.9609151482582092,0.6816015243530273,0.32793137431144714,0.9923737049102783,0.9612329602241516
1,B_disjoint,0.9939625263214111,0.9930652379989624,0.016386371628598104,0.10735349970687796,0.15601154676863552,0.4167094316824452,0.1635861636212251,0.13995298659221822,0.13197261892898862,0.16774721227217687,0.023756842925907892,0.0,0.0,0.0003177523612976074,-0.0003177523612976074,-0.0009533166885375977,-0.005084216594696045,0.9469336271286011,0.7794730067253113,0.9802986979484558,0.9739944934844971,0.9726724028587341,0.7694175243377686,0.9796631932258606,0.9750347137451172,0.9818875193595886,0.7458391189575195,0.9809342622756958,0.9722607731819153,0.984429657459259,0.7264216542243958,0.9809342622756958,0.9736477732658386
1,B_same,0.9939625263214111,0.9945980310440063,0.0,0.0013286820515869325,0.0,0.45501695058091085,0.3389585777515921,0.20469578961591015,0.19619206681376555,0.39446731976877103,0.17298877431201795,0.0,0.0,0.0,-0.0015888214111328125,-0.007944047451019287,-0.006037473678588867,0.9914204478263855,0.9914204478263855,0.9942802786827087,0.9942802786827087,0.9911026358604431,0.9911026358604431,0.9952335953712463,0.9952335953712463,0.9904671311378479,0.9904671311378479,0.9945980310440063,0.9945980310440063,0.9888783097267151,0.9888783097267151,0.9945980310440063,0.9945980310440063
2,B_invert,0.995551347732544,0.9926914572715759,0.0,0.0,0.007849625428875483,0.20667750694416528,0.4443804981455087,0.34109236948145055,0.3838186660550648,0.5365578742835418,0.03392093953979697,0.0,0.0,0.0,-0.0003177523612976074,-0.0022243261337280273,-0.003177642822265625,0.9739434719085693,0.315538614988327,0.9911026358604431,0.9596441388130188,0.9736257195472717,0.26437878608703613,0.9904671311378479,0.9717191457748413,0.9723546504974365,0.1970130354166031,0.9907848834991455,0.9669526815414429,0.9720368981361389,0.21035908162593842,0.9901493787765503,0.9748967289924622
2,B_disjoint,0.995551347732544,0.9927184581756592,0.015168376310930105,0.07117198837437326,0.10393296753991091,0.4790657162674966,0.19042958661991635,0.14023136488737278,0.13442319889553825,0.21370336155975386,0.04193117386609365,-0.0003177523612976074,0.0,-0.0006355643272399902,-0.0034953951835632324,-0.0022243261337280273,-0.0006355643272399902,0.8925961256027222,0.6324549317359924,0.9748967289924622,0.9812760353088379,0.902129054069519,0.5658807158470154,0.9758500456809998,0.9788488745689392,0.9053066372871399,0.49618586897850037,0.9742612242698669,0.9781553745269775,0.9030823111534119,0.4715672731399536,0.9729901552200317,0.9798890948295593
2,B_same,0.995551347732544,0.9898316264152527,0.0019118250441169141,0.016552919707790346,0.02867619985479919,0.2833642397251905,0.4863949951173954,0.18309982055070764,0.1566945828602059,0.5853592116520522,0.32185163758775537,0.0,0.0,0.0,-0.00444871187210083,-0.00254213809967041,-0.0003177523612976074,0.9872894883155823,0.9872894883155823,0.9923737049102783,0.9923737049102783,0.9930092096328735,0.9930092096328735,0.9930092096328735,0.9930092096328735,0.9939625263214111,0.9939625263214111,0.9933270215988159,0.9933270215988159,0.994915783405304,0.994915783405304,0.9933270215988159,0.9933270215988159
3,B_invert,0.9952335953712463,0.9872894883155823,0.0,0.0,0.0,0.5563647362171785,0.3134810827796296,0.1301541810031919,0.09605932989788328,0.3603597496341415,0.04090201671605052,0.0,0.0,0.0,-0.0006355643272399902,-0.001271069049835205,-0.0009533166885375977,0.9926914572715759,0.32793137431144714,0.978709876537323,0.9733079075813293,0.9917382001876831,0.32793137431144714,0.9783921241760254,0.9745789766311646,0.9885605573654175,0.32793137431144714,0.979345440864563,0.9717191457748413,0.9860184788703918,0.32793137431144714,0.9799809455871582,0.9685415029525757
3,B_disjoint,0.9952335953712463,0.9941054582595825,0.009346015380099354,0.06851506846980338,0.10354359831931854,0.4507329676520495,0.19066080422413306,0.17720154595459636,0.18305992783865765,0.1996040856006143,0.023330068940110818,0.0,0.0003177523612976074,-0.001271069049835205,-0.00190657377243042,-0.046075642108917236,-0.00254213809967041,0.6816015243530273,0.7836338877677917,0.9809342622756958,0.9649792313575745,0.6606292128562927,0.8027046322822571,0.9790276885032654,0.9687933921813965,0.5853193402290344,0.7742718458175659,0.979345440864563,0.9708738327026367,0.5468700528144836,0.7472261190414429,0.9799809455871582,0.9722607731819153
3,B_same,0.9952335953712463,0.9926914572715759,0.0,0.000498929562944075,0.0,0.3947892311207461,0.43085114956761983,0.17386068974868993,0.16436826623814663,0.49778359011160034,0.23921366731599372,0.0,0.0,0.0,-0.004130959510803223,-0.006037533283233643,-0.0003178119659423828,0.9936447739601135,0.9936447739601135,0.9882428050041199,0.9882428050041199,0.9933270215988159,0.9933270215988159,0.9895138144493103,0.9895138144493103,0.9930092096328735,0.9930092096328735,0.9898316264152527,0.9898316264152527,0.9923737049102783,0.9923737049102783,0.9914204478263855,0.9914204478263855
4,B_invert,0.9939625263214111,0.9783921241760254,0.0,0.0,0.0,0.33285587882493056,0.42797802840761734,0.23916609276745204,0.2363621373430009,0.4884167152012674,0.0236940009433186,0.0,0.0,0.0,-0.0006355047225952148,0.0,0.0,0.9847474098205566,0.29647284746170044,0.9936447739601135,0.9694947600364685,0.983794093132019,0.32793137431144714,0.9933270215988159,0.9605973958969116,0.9828408360481262,0.32793137431144714,0.9933270215988159,0.9736257195472717,0.9818875193595886,0.32793137431144714,0.9933270215988159,0.9659993648529053
