parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,regime,preset,eta,type_A,type_B,type_C,type_E,type_D_plus,type_D_minus,norm_ratio_min,norm_ratio_med,norm_ratio_max,nnz_p,nnz_q,layers_analysed,merging_fn,population,core,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.248,0.39749999999999996,0.44266666666666665,0.35233333333333333,"[0.34, null, 0.037, null, null, null, null, 0.988, 0.0, 0.032]",average@1.00,average,1.0,0.0,0.0,0.0,0.0,0.7877344698084379,0.21226553019156208,0.6179449605208897,0.694364573761056,0.8062347598383579,1197490,1197490,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.4
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.2456,0.38616666666666666,0.4246666666666667,0.3476666666666667,"[0.286, null, 0.028, null, null, null, null, 0.988, 0.0, 0.027]",average@0.80,average,0.8,0.002102165156808522,0.016086673551948292,0.040176202478245764,0.35701687658423553,0.5046246915584772,0.07999339067028464,0.5291615206285469,0.6166569410015876,0.7220738958434135,14874,11829,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,17.0
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.2456,0.386,0.42433333333333334,0.3476666666666667,"[0.285, null, 0.028, null, null, null, null, 0.988, 0.0, 0.027]",orthogonal-full@0.80,orthogonal-full,0.8,0.002102165156808522,0.016086673551948292,0.040176202478245764,0.35701687658423553,0.5046246915584772,0.07999339067028464,0.5291615206285469,0.6186661451908245,0.7220738958434135,14874,11829,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.7
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.2648333333333333,0.46399999999999997,0.39866666666666667,0.5293333333333333,"[0.98, null, null, 0.869, null, 0.001, null, 0.213, 0.003, 0.718]",average@1.00,average,1.0,0.0,0.0,0.0,0.0,0.796593842013107,0.20340615798689282,0.55499565230482,0.6841754971788679,0.7307853727590088,1197490,1197490,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.8
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.25383333333333336,0.4395,0.38333333333333336,0.49566666666666664,"[0.978, null, null, 0.843, null, 0.001, null, 0.169, 0.003, 0.643]",average@0.80,average,0.8,0.002286140722013131,0.018263421484382307,0.042887643868397635,0.3486626864088796,0.5095378862422052,0.07836222127412215,0.45464123288512903,0.6070361033392571,0.6559322673299233,13402,12186,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,17.0
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.25566666666666665,0.4405,0.38333333333333336,0.49766666666666665,"[0.978, null, null, 0.841, null, 0.001, null, 0.169, 0.003, 0.651]",orthogonal-full@0.80,orthogonal-full,0.8,0.002286140722013131,0.018263421484382307,0.042887643868397635,0.3486626864088796,0.5095378862422052,0.07836222127412215,0.4574542191805661,0.6070361033392571,0.6559322673299233,13402,12186,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.8
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.1906,0.33366666666666667,0.33266666666666667,0.33466666666666667,"[0.0, null, null, null, null, null, 0.003, 0.0, 0.998, 0.003]",average@1.00,average,1.0,0.0,0.0,0.0,0.0,0.7595085311741581,0.24049146882584163,0.6362963038405468,0.6868735922485122,0.7475033363371172,1197490,1197490,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.3
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.1886,0.3335,0.3333333333333333,0.33366666666666667,"[0.0, null, null, null, null, null, 0.0, 0.0, 1.0, 0.001]",average@0.80,average,0.8,0.0002010881142149737,0.0037280648073686365,0.09914160359624728,0.32475016084439423,0.4633849502453213,0.10879413239245353,0.5508322925635861,0.6056037735284643,0.669465182775506,9759,10409,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.9
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.1886,0.3335,0.3333333333333333,0.33366666666666667,"[0.0, null, null, null, null, null, 0.0, 0.0, 1.0, 0.001]",orthogonal-full@0.80,orthogonal-full,0.8,0.0002010881142149737,0.0037280648073686365,0.09914160359624728,0.32475016084439423,0.4633849502453213,0.10879413239245353,0.5508322925635861,0.6059052793592129,0.6700821370431961,9759,10409,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.3
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5690000057220459,0.42500004172325134,0.2144,0.36383333333333334,0.3943333333333333,0.3333333333333333,"[0.166, null, null, 0.0, null, null, 0.0, 1.0, 0.017, null]",average@1.00,average,1.0,0.0,0.0,0.0,0.0,0.8144161133589257,0.18558388664107422,0.6404279788479493,0.719749866941522,0.7557757801842493,1197490,1197490,21,globa,runs_exp2d/seed0/population,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.1
