parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,pre_joint,pre_per_task,pre_per_class,post_joint,post_per_task,post_task_a,post_task_b,post_per_class,regime,type_A,type_B,type_C,type_E,type_D_plus,type_D_minus,norm_ratio_min,norm_ratio_med,norm_ratio_max,typed_frac_mean,layers_analysed,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.3756,0.5053333333333333,"[0.731, null, 0.867, null, null, null, null, 0.193, 0.421, 0.627]",0.2214,0.768,0.706,0.83,"[0.59, null, 0.863, null, null, null, null, 0.748, 0.78, 0.879]",sum@0.80@label+mut2,0.02472094857131245,0.09176184542505336,0.16878925277972026,0.2566994158143108,0.4145177500319542,0.043510787377648755,1.2358899210417793,1.388729147521986,1.6124695196767156,0.715300261694725,21,118.0
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.25166666666666665,0.5726666666666667,"[0.778, null, null, 0.659, null, 0.462, null, 0.622, 0.298, 0.617]",0.11816666666666667,0.778,0.81,0.746,"[0.689, null, null, 0.612, null, 0.687, null, 0.935, 0.806, 0.939]",sum@0.80@label+mut2,0.024315381173015314,0.029567070446433627,0.10470166769112761,0.3438348659489635,0.4593244946776393,0.03825652006282058,1.1099913046096392,1.3683509943576502,1.4615707455180174,0.7164535828469145,21,119.1
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.3646,0.6493333333333333,"[0.352, null, null, null, null, null, 0.888, 0.374, 0.795, 0.692]",0.2436,0.8851666666666667,0.863,0.9073333333333333,"[0.762, null, null, null, null, null, 0.975, 0.94, 0.887, 0.86]",sum@0.80@label+mut2,0.04235597094798581,0.007398115088928562,0.0804609111499296,0.1374205782186174,0.6584280707447283,0.07393635384981023,1.272592607681094,1.373747184496989,1.4950066726742344,0.7168729204836326,21,115.2
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5690000057220459,0.42500004172325134,0.3182,0.4161666666666667,"[0.757, null, null, 0.165, null, null, 0.955, 0.088, 0.444, null]",0.1546,0.7526666666666666,0.7383333333333333,0.767,"[0.645, null, null, 0.766, null, null, 0.787, 0.748, 0.822, null]",sum@0.80@label+mut2,0.05735127047357886,0.024871071433346003,0.1255078659771317,0.17342946044226284,0.5852636500300217,0.033576681643658866,1.2808559576958984,1.4394997338830449,1.5115515603684981,0.7175611155291285,21,110.1
09111d7d,905afff7,0_7_8,3_5_6,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5690000057220459,0.36399999260902405,0.315,0.4521666666666667,"[0.685, null, null, 0.089, null, 0.017, 0.981, 0.483, 0.458, null]",0.15783333333333333,0.7498333333333334,0.8323333333333334,0.6673333333333333,"[0.676, null, null, 0.59, null, 0.578, 0.834, 0.942, 0.879, null]",sum@0.80@label+mut2,0.06320144269976885,0.012221788643394942,0.07959673441042495,0.12528059505440664,0.701418080741032,0.018281358450972788,1.358061993135619,1.4923372528546466,1.5389382244803318,0.7135184273649782,21,103.0
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5690000057220459,0.5016667246818542,0.346,0.4355,"[0.817, null, null, 0.35, null, null, 0.849, 0.133, 0.331, null]",0.1724,0.7745,0.7633333333333333,0.7856666666666666,"[0.662, null, null, 0.756, null, null, 0.819, 0.782, 0.846, null]",sum@0.80@label+mut2,0.02033933018436182,0.02043148509727421,0.0642219651907188,0.2628525326147972,0.5924705563888607,0.03968413052398732,1.2668935699031183,1.4767560956803372,1.5369634921158684,0.7131901920896672,21,100.5
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5690000057220459,0.5966666340827942,0.3582,0.5936666666666667,"[0.718, 0.628, null, null, null, null, 0.924, 0.363, 0.566, null]",0.2262,0.8753333333333333,0.8216666666666667,0.929,"[0.722, 0.951, null, null, null, null, 0.954, 0.882, 0.861, null]",sum@0.80@label+mut2,0.01844160965270994,0.09394072785143301,0.21922277340393478,0.3681175790172121,0.28758259246881507,0.012694717605895122,1.4070734577826252,1.507915901788162,1.6534954523963932,0.7123675794683975,21,101.6
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5690000057220459,0.4826667010784149,0.376,0.42183333333333334,"[0.601, null, null, null, 0.73, 0.586, null, 0.019, 0.576, null]",0.1122,0.7311666666666667,0.7316666666666667,0.7306666666666667,"[0.718, null, null, null, 0.749, 0.829, null, 0.614, 0.863, null]",sum@0.80@label+mut2,0.005269417024581676,0.05240471160492071,0.18996408212246013,0.30362043834183505,0.42161319560472943,0.027128155301472896,1.3882586452199666,1.4468538936454138,1.597647317179598,0.7145775959363375,21,98.8
09111d7d,e1762771,0_7_8,1_2_4,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5690000057220459,0.5213333964347839,0.31366666666666665,0.5466666666666666,"[0.736, 0.491, 0.177, null, 0.893, null, null, 0.51, 0.473, null]",0.24716666666666667,0.8196666666666667,0.8336666666666667,0.8056666666666666,"[0.762, 0.959, 0.674, null, 0.784, null, null, 0.928, 0.811, null]",sum@0.80@label+mut2,0.017744939640365606,0.07133986198633109,0.0554983818458464,0.27808442926001353,0.5547349143767291,0.02259747289071429,1.4171738143168817,1.4856166045558388,1.5885309633265285,0.7180987565336269,21,98.7
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5853333473205566,0.5723333358764648,0.2718,0.5433333333333333,"[null, null, 0.729, 0.836, null, 0.239, null, 0.556, null, 0.45]",0.1038,0.8168333333333333,0.88,0.7536666666666667,"[null, null, 0.868, 0.662, null, 0.654, null, 0.827, null, 0.945]",sum@0.80@label+mut2,0.001803299272599338,0.015649669332109283,0.12617801282245,0.2898857534406906,0.5168361161244174,0.049647149007733614,1.308884339474159,1.3849526811113633,1.6530393518108686,0.72448384131052,21,109.5
