parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,pre_joint,pre_per_task,pre_per_class,post_joint,post_per_task,post_task_a,post_task_b,post_per_class,regime,time_s
1887bcd2,5ffed8da,2_7_9,6_8_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5853333473205566,0.7800000309944153,0.2008,0.5363333333333333,"[null, null, 0.884, null, null, null, 0.0, 0.334, 0.0, 1.0]",0.1662,0.8836666666666667,0.8523333333333334,0.915,"[null, null, 0.869, null, null, null, 0.97, 0.788, 0.875, 0.9]",copy-a+mut2,74.3
1887bcd2,88ed44d1,2_7_9,3_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5853333473205566,0.42500004172325134,0.2066,0.5703333333333334,"[null, null, 0.884, 0.0, null, null, 0.0, 1.0, null, 0.538]",0.1444,0.8320000000000001,0.8686666666666667,0.7953333333333333,"[null, null, 0.904, 0.751, null, null, 0.834, 0.801, null, 0.901]",copy-a+mut2,73.9
1887bcd2,905afff7,2_7_9,3_5_6,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5853333473205566,0.36399999260902405,0.2713333333333333,0.44283333333333336,"[null, null, 0.884, 0.075, null, 0.77, 0.053, 0.336, null, 0.539]",0.22583333333333333,0.765,0.8566666666666667,0.6733333333333333,"[null, null, 0.869, 0.421, null, 0.748, 0.851, 0.777, null, 0.924]",copy-a+mut2,74.2
1887bcd2,be2e50e9,2_7_9,3_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5853333473205566,0.5016667246818542,0.2066,0.5706666666666667,"[null, null, 0.884, 0.0, null, null, 0.0, 1.0, null, 0.54]",0.1548,0.828,0.8613333333333333,0.7946666666666666,"[null, null, 0.862, 0.754, null, null, 0.818, 0.812, null, 0.91]",copy-a+mut2,73.7
1887bcd2,cb3a86af,2_7_9,1_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5853333473205566,0.5966666340827942,0.2062,0.5705,"[null, 0.0, 0.884, null, null, null, 0.0, 1.0, null, 0.539]",0.2622,0.9181666666666667,0.9013333333333333,0.935,"[null, 0.957, 0.883, null, null, null, 0.934, 0.914, null, 0.907]",copy-a+mut2,74.5
1887bcd2,d8bd0bc0,2_7_9,4_5_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5853333473205566,0.4826667010784149,0.2018,0.5705,"[null, null, 0.884, null, 0.0, 0.0, null, 1.0, null, 0.539]",0.1932,0.797,0.8443333333333334,0.7496666666666667,"[null, null, 0.865, null, 0.657, 0.851, null, 0.741, null, 0.927]",copy-a+mut2,74.1
1887bcd2,e1762771,2_7_9,1_2_4,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5853333473205566,0.5213333964347839,0.1996,0.47883333333333333,"[null, 0.0, 1.0, null, 0.0, null, null, 0.335, null, 0.538]",0.3452,0.8,0.796,0.804,"[null, 0.951, 0.695, null, 0.766, null, null, 0.774, null, 0.919]",copy-a+mut2,74.2
366f9057,5ffed8da,3_5_9,6_8_9,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5723333358764648,0.7800000309944153,0.1954,0.5181666666666667,"[null, null, null, 0.686, null, 0.423, 0.0, null, 0.0, 1.0]",0.113,0.8215,0.7273333333333334,0.9156666666666666,"[null, null, null, 0.699, null, 0.611, 0.975, null, 0.9, 0.872]",copy-a+mut2,73.7
366f9057,88ed44d1,3_5_9,3_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5723333358764648,0.42500004172325134,0.2192,0.5055,"[null, null, null, 1.0, null, 0.422, 0.0, 0.0, null, 0.611]",0.1878,0.7853333333333333,0.7973333333333333,0.7733333333333333,"[null, null, null, 0.683, null, 0.753, 0.843, 0.794, null, 0.956]",copy-a+mut2,74.4
366f9057,905afff7,3_5_9,3_5_6,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5723333358764648,0.36399999260902405,0.3875,0.485,"[null, null, null, 0.712, null, 0.438, 0.0, null, null, 0.61]",0.07475,0.6921666666666666,0.7116666666666667,0.6726666666666666,"[null, null, null, 0.487, null, 0.709, 0.822, null, null, 0.939]",copy-a+mut2,73.1
