seed,steps,shared,recipe,A_on_union,B_on_union,pre,pre_A,pre_B,post,post_A,post_B,E_A,E_B,E_C,E_E,E_D_plus,E_D_minus
0,800,0,copyA,0.5191510319709778,0.47521141171455383,0.5191510319709778,0.994915783405304,0.0,0.9852429032325745,0.9879250526428223,0.982316255569458,0.005363577348993318,0.05375317115650149,0.09412678974529394,0.46772362791484123,0.20438931651639736,0.1746435173179727
0,800,0,avg+avghead,0.5191510319709778,0.47521141171455383,0.6927540898323059,0.7877343893051147,0.5891123414039612,0.9857403039932251,0.9831585884094238,0.9885575771331787,0.005363577348993318,0.05375317115650149,0.09412678974529394,0.46772362791484123,0.20438931651639736,0.1746435173179727
0,800,0,avg+label,0.5191510319709778,0.47521141171455383,0.826562762260437,0.9281855821609497,0.7156726717948914,0.9859061241149902,0.984429657459259,0.9875173568725586,0.005363577348993318,0.05375317115650149,0.09412678974529394,0.46772362791484123,0.20438931651639736,0.1746435173179727
0,800,0,single+label,0.5191510319709778,0.47521141171455383,0.8126347064971924,0.8608198165893555,0.7600554823875427,0.9820924997329712,0.9768033027648926,0.9878641366958618,0.005363577348993318,0.05375317115650149,0.09412678974529394,0.46772362791484123,0.20438931651639736,0.1746435173179727
0,800,0,sum+label,0.5191510319709778,0.47521141171455383,0.8230807185173035,0.9062599539756775,0.732316255569458,0.984745442867279,0.9802986979484558,0.9895977973937988,0.005363577348993318,0.05375317115650149,0.09412678974529394,0.46772362791484123,0.20438931651639736,0.1746435173179727
0,800,1,copyA,0.6092625260353088,0.585522472858429,0.6092625260353088,0.994915783405304,0.33697089552879333,0.9939677119255066,0.9930092096328735,0.9927248358726501,0.017916826833532462,0.10335906593139331,0.09764517167961446,0.4316522639615696,0.1969475267594306,0.1524791448344597
0,800,1,avg+avghead,0.6092625260353088,0.585522472858429,0.2897450923919678,0.4709247052669525,0.34358465671539307,0.9922164082527161,0.9914204478263855,0.9890872836112976,0.017916826833532462,0.10335906593139331,0.09764517167961446,0.4316522639615696,0.1969475267594306,0.1524791448344597
0,800,1,avg+label,0.6092625260353088,0.585522472858429,0.9106830358505249,0.9850651621818542,0.8627645373344421,0.9933839440345764,0.9945980310440063,0.9910714030265808,0.017916826833532462,0.10335906593139331,0.09764517167961446,0.4316522639615696,0.1969475267594306,0.1524791448344597
0,800,1,single+label,0.6092625260353088,0.585522472858429,0.9256665110588074,0.9939625263214111,0.8792989253997803,0.9935785531997681,0.9920559525489807,0.9933862090110779,0.017916826833532462,0.10335906593139331,0.09764517167961446,0.4316522639615696,0.1969475267594306,0.1524791448344597
0,800,1,sum+label,0.6092625260353088,0.585522472858429,0.889667272567749,0.9930092096328735,0.8184523582458496,0.9945514798164368,0.9945980310440063,0.993055522441864,0.017916826833532462,0.10335906593139331,0.09764517167961446,0.4316522639615696,0.1969475267594306,0.1524791448344597
0,800,2,copyA,0.753187358379364,0.759922981262207,0.753187358379364,0.994915783405304,0.6776833534240723,0.9937454462051392,0.9939625263214111,0.9927604794502258,0.017927026995138862,0.06821288263387128,0.1357885776416474,0.40673824848330853,0.24697306059978438,0.12436020364624956
0,800,2,avg+avghead,0.753187358379364,0.759922981262207,0.5422179102897644,0.6908166408538818,0.7044381499290466,0.99278324842453,0.9939625263214111,0.9911866188049316,0.017927026995138862,0.06821288263387128,0.1357885776416474,0.40673824848330853,0.24697306059978438,0.12436020364624956
0,800,2,avg+label,0.753187358379364,0.759922981262207,0.9819580912590027,0.9926914572715759,0.9789109230041504,0.9915804266929626,0.9907848834991455,0.9899275898933411,0.017927026995138862,0.06821288263387128,0.1357885776416474,0.40673824848330853,0.24697306059978438,0.12436020364624956
0,800,2,single+label,0.753187358379364,0.759922981262207,0.979312002658844,0.9891960620880127,0.9804847240447998,0.9925426840782166,0.9911026358604431,0.9915013909339905,0.017927026995138862,0.06821288263387128,0.1357885776416474,0.40673824848330853,0.24697306059978438,0.12436020364624956
0,800,2,sum+label,0.753187358379364,0.759922981262207,0.9588645696640015,0.9901493787765503,0.9493232369422913,0.9942265748977661,0.9936447739601135,0.9933899641036987,0.017927026995138862,0.06821288263387128,0.1357885776416474,0.40673824848330853,0.24697306059978438,0.12436020364624956
