parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,population,bn_reset,time_s
1887bcd2,88ed44d1,2_7_9,3_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5853333473205566,0.42500004172325134,0.3574,0.4555,0.505,0.406,"[null, null, 0.873, 0.126, null, null, 0.97, 0.122, null, 0.52]",match_tensors_permute,runs_exp2d/seed0/population,False,43.7
1887bcd2,905afff7,2_7_9,3_5_6,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5853333473205566,0.36399999260902405,0.2971666666666667,0.4656666666666667,0.579,0.35233333333333333,"[null, null, 0.875, 0.058, null, 0.015, 0.984, 0.338, null, 0.524]",match_tensors_permute,runs_exp2d/seed0/population,False,43.9
1887bcd2,be2e50e9,2_7_9,3_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5853333473205566,0.5016667246818542,0.3772,0.5249999999999999,0.571,0.479,"[null, null, 0.856, 0.183, null, null, 0.934, 0.32, null, 0.537]",match_tensors_permute,runs_exp2d/seed0/population,False,43.7
1887bcd2,cb3a86af,2_7_9,1_6_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5853333473205566,0.5966666340827942,0.3798,0.5636666666666666,0.5503333333333333,0.577,"[null, 0.526, 0.865, null, null, null, 0.974, 0.231, null, 0.555]",match_tensors_permute,runs_exp2d/seed0/population,False,43.7
1887bcd2,d8bd0bc0,2_7_9,4_5_7,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5853333473205566,0.4826667010784149,0.3624,0.4971666666666667,0.5166666666666667,0.4776666666666667,"[null, null, 0.896, null, 0.673, 0.624, null, 0.136, null, 0.518]",match_tensors_permute,runs_exp2d/seed0/population,False,43.7
1887bcd2,e1762771,2_7_9,1_2_4,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5853333473205566,0.5213333964347839,0.3536,0.4351666666666667,0.35933333333333334,0.511,"[null, 0.483, 0.131, null, 0.919, null, null, 0.384, null, 0.563]",match_tensors_permute,runs_exp2d/seed0/population,False,43.6
366f9057,5ffed8da,3_5_9,6_8_9,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5723333358764648,0.7800000309944153,0.458,0.6763333333333332,0.581,0.7716666666666666,"[null, null, null, 0.683, null, 0.427, 0.918, null, 0.764, 0.633]",match_tensors_permute,runs_exp2d/seed0/population,False,43.8
366f9057,88ed44d1,3_5_9,3_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5723333358764648,0.42500004172325134,0.3678,0.4091666666666667,0.388,0.43033333333333335,"[null, null, null, 0.177, null, 0.382, 0.964, 0.15, null, 0.605]",match_tensors_permute,runs_exp2d/seed0/population,False,43.6
366f9057,905afff7,3_5_9,3_5_6,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5723333358764648,0.36399999260902405,0.441,0.309,0.24733333333333332,0.37066666666666664,"[null, null, null, 0.12, null, 0.018, 0.974, null, null, 0.604]",match_tensors_permute,runs_exp2d/seed0/population,False,43.3
366f9057,be2e50e9,3_5_9,3_6_7,"[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5723333358764648,0.5016667246818542,0.3824,0.4668333333333333,0.43233333333333335,0.5013333333333333,"[null, null, null, 0.249, null, 0.441, 0.91, 0.345, null, 0.607]",match_tensors_permute,runs_exp2d/seed0/population,False,43.7
