parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,pre_joint,pre_per_task,pre_per_class,post_joint,post_per_task,post_task_a,post_task_b,post_per_class,regime,type_A,type_B,type_C,type_E,type_D_plus,type_D_minus,norm_ratio_min,norm_ratio_med,norm_ratio_max,typed_frac_mean,layers_analysed,time_s
09111d7d,1887bcd2,0_7_8,2_7_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]",0.5690000057220459,0.5853333473205566,0.248,0.39749999999999996,"[0.34, null, 0.037, null, null, null, null, 0.988, 0.0, 0.032]",0.3012,0.817,0.77,0.864,"[0.703, null, 0.879, null, null, null, null, 0.799, 0.808, 0.914]",average@0.80@average+mut2,0.02472094857131245,0.09176184542505336,0.16878925277972026,0.2566994158143108,0.4145177500319542,0.043510787377648755,0.6179449605208897,0.694364573760993,0.8062347598383578,0.715300261694725,21,111.9
09111d7d,366f9057,0_7_8,3_5_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5690000057220459,0.5723333358764648,0.26516666666666666,0.46416666666666667,"[0.98, null, null, 0.869, null, 0.001, null, 0.213, 0.002, 0.72]",0.21866666666666668,0.7993333333333333,0.8306666666666667,0.768,"[0.685, null, null, 0.599, null, 0.758, null, 0.921, 0.886, 0.947]",average@0.80@average+mut2,0.024315381173015314,0.029567070446433627,0.10470166769112761,0.3438348659489635,0.4593244946776393,0.03825652006282058,0.5549956523048196,0.6841754971788251,0.7307853727590087,0.7164535828469145,21,111.9
09111d7d,5ffed8da,0_7_8,6_8_9,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5690000057220459,0.7800000309944153,0.1902,0.33366666666666667,"[0.0, null, null, null, null, null, 0.003, 0.0, 0.998, 0.003]",0.2762,0.8821666666666667,0.8446666666666667,0.9196666666666666,"[0.657, null, null, null, null, null, 0.966, 0.943, 0.934, 0.859]",average@0.80@average+mut2,0.04235597094798581,0.007398115088928562,0.0804609111499296,0.1374205782186174,0.6584280707447283,0.07393635384981023,0.636296303840547,0.6868735922484945,0.7475033363371172,0.7168729204836326,21,110.3
09111d7d,88ed44d1,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]",0.5690000057220459,0.42500004172325134,0.2142,0.3646666666666667,"[0.169, null, null, 0.0, null, null, 0.0, 1.0, 0.019, null]",0.235,0.8005,0.8063333333333333,0.7946666666666666,"[0.743, null, null, 0.738, null, null, 0.825, 0.821, 0.855, null]",average@0.80@average+mut2,0.05735127047357886,0.024871071433346003,0.1255078659771317,0.17342946044226284,0.5852636500300217,0.033576681643658866,0.6404279788479492,0.7197498669415224,0.7557757801842491,0.7175611155291285,21,106.5
09111d7d,905afff7,0_7_8,3_5_6,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.5690000057220459,0.36399999260902405,0.196,0.5146666666666666,"[0.35, null, null, 0.515, null, 0.0, 0.77, 0.838, 0.615, null]",0.39116666666666666,0.7771666666666667,0.8616666666666667,0.6926666666666667,"[0.748, null, null, 0.612, null, 0.618, 0.848, 0.938, 0.899, null]",average@0.80@average+mut2,0.06320144269976885,0.012221788643394942,0.07959673441042495,0.12528059505440664,0.701418080741032,0.018281358450972788,0.6790309965678095,0.7461686264273233,0.7694691122401659,0.7135184273649782,21,103.6
09111d7d,be2e50e9,0_7_8,3_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.5690000057220459,0.5016667246818542,0.2016,0.35916666666666663,"[0.136, null, null, 0.001, null, null, 0.0, 1.0, 0.018, null]",0.2412,0.781,0.7686666666666667,0.7933333333333333,"[0.657, null, null, 0.757, null, null, 0.854, 0.769, 0.88, null]",average@0.80@average+mut2,0.02033933018436182,0.02043148509727421,0.0642219651907188,0.2628525326147972,0.5924705563888607,0.03968413052398732,0.6334467849515591,0.7383780478401686,0.7684817460579342,0.7131901920896672,21,102.9
09111d7d,cb3a86af,0_7_8,1_6_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5690000057220459,0.5966666340827942,0.2088,0.37266666666666665,"[0.219, 0.0, null, null, null, null, 0.0, 1.0, 0.017, null]",0.378,0.8811666666666667,0.827,0.9353333333333333,"[0.697, 0.95, null, null, null, null, 0.962, 0.894, 0.89, null]",average@0.80@average+mut2,0.01844160965270994,0.09394072785143301,0.21922277340393478,0.3681175790172121,0.28758259246881507,0.012694717605895122,0.7035367288913126,0.753957950894081,0.8267477261981966,0.7123675794683975,21,99.2
09111d7d,d8bd0bc0,0_7_8,4_5_7,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5690000057220459,0.4826667010784149,0.202,0.36383333333333334,"[0.129, null, null, null, 0.012, 0.0, null, 1.0, 0.042, null]",0.2176,0.7248333333333333,0.7173333333333334,0.7323333333333333,"[0.632, null, null, null, 0.757, 0.795, null, 0.645, 0.875, null]",average@0.80@average+mut2,0.005269417024581676,0.05240471160492071,0.18996408212246013,0.30362043834183505,0.42161319560472943,0.027128155301472896,0.6941293226099833,0.7234269468227069,0.798823658589799,0.7145775959363375,21,99.2
09111d7d,e1762771,0_7_8,1_2_4,"[0.7740000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4820000231266022, 0.45100003480911255, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5690000057220459,0.5213333964347839,0.2723333333333333,0.41500000000000004,"[0.724, 0.083, 0.258, null, 0.713, null, null, 0.218, 0.494, null]",0.416,0.827,0.829,0.825,"[0.674, 0.971, 0.764, null, 0.74, null, null, 0.932, 0.881, null]",average@0.80@average+mut2,0.017744939640365606,0.07133986198633109,0.0554983818458464,0.27808442926001353,0.5547349143767291,0.02259747289071429,0.7085869071584409,0.7428083022779194,0.7942654816632643,0.7180987565336269,21,97.8
1887bcd2,366f9057,2_7_9,3_5_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.6830000281333923, 0.0, 0.4230000078678131, 0.0, 0.0, 0.0, 0.6110000014305115]",0.5853333473205566,0.5723333358764648,0.1978,0.3378333333333333,"[null, null, 0.021, 0.006, null, 0.0, null, 0.0, null, 1.0]",0.1892,0.8153333333333334,0.871,0.7596666666666667,"[null, null, 0.854, 0.672, null, 0.652, null, 0.804, null, 0.955]",average@0.80@average+mut2,0.001803299272599338,0.015649669332109283,0.12617801282245,0.2898857534406906,0.5168361161244174,0.049647149007733614,0.6544421697370795,0.6924763405556816,0.8265196759054343,0.72448384131052,21,109.7
1887bcd2,5ffed8da,2_7_9,6_8_9,"[0.0, 0.0, 0.8840000629425049, 0.0, 0.0, 0.0, 0.0, 0.3330000042915344, 0.0, 0.5390000343322754]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9120000600814819, 0.0, 0.7490000128746033, 0.6790000200271606]",0.5853333473205566,0.7800000309944153,0.2108,0.34983333333333333,"[null, null, 0.052, null, null, null, 0.047, 0.0, 0.0, 1.0]",0.171,0.8858333333333334,0.8506666666666667,0.921,"[null, null, 0.879, null, null, null, 0.973, 0.789, 0.906, 0.884]",average@0.80@average+mut2,0.026115480068007457,0.011095071988985157,0.11039663217885247,0.20892571576210475,0.5712270079578357,0.07224009204421446,0.7108745090238577,0.7413791085755193,0.8499175614279638,0.7270053112928624,21,107.8
