steps,shared,B_digits,A_on_A,B_on_B,A_on_union,B_on_union,E_A,E_B,E_C,E_E,E_D_plus,E_D_minus,recipe,union_head_avg,Aside_head_avg,Bside_head_avg,union_head_label,Aside_head_label,Bside_head_label
800,0,345,0.994915783405304,0.9937586784362793,0.5191510319709778,0.47521141171455383,0.005363577348993318,0.05375317115650149,0.09412678974529394,0.46772362791484123,0.20438931651639736,0.1746435173179727,avg,0.6927540898323059,0.7877343893051147,0.5891123414039612,0.826562762260437,0.9281855821609497,0.7156726717948914
800,0,345,0.994915783405304,0.9937586784362793,0.5191510319709778,0.47521141171455383,0.005363577348993318,0.05375317115650149,0.09412678974529394,0.46772362791484123,0.20438931651639736,0.1746435173179727,sum,0.7887580990791321,0.8509691953659058,0.7208738327026367,0.8230807185173035,0.9062599539756775,0.732316255569458
800,0,345,0.994915783405304,0.9937586784362793,0.5191510319709778,0.47521141171455383,0.005363577348993318,0.05375317115650149,0.09412678974529394,0.46772362791484123,0.20438931651639736,0.1746435173179727,sym_A1,0.692919909954071,0.7886876463890076,0.5884189009666443,0.8250704407691956,0.9297744035720825,0.710818350315094
800,0,345,0.994915783405304,0.9937586784362793,0.5191510319709778,0.47521141171455383,0.005363577348993318,0.05375317115650149,0.09412678974529394,0.46772362791484123,0.20438931651639736,0.1746435173179727,sym_single1,0.7239263653755188,0.7880521416664124,0.6539528369903564,0.8126347064971924,0.8608198165893555,0.7600554823875427
800,0,345,0.994915783405304,0.9937586784362793,0.5191510319709778,0.47521141171455383,0.005363577348993318,0.05375317115650149,0.09412678974529394,0.46772362791484123,0.20438931651639736,0.1746435173179727,sym_single1_Dp7,0.7635549306869507,0.8166508078575134,0.7056172490119934,0.8230807185173035,0.8830632567405701,0.757628321647644
800,0,345,0.994915783405304,0.9937586784362793,0.5191510319709778,0.47521141171455383,0.005363577348993318,0.05375317115650149,0.09412678974529394,0.46772362791484123,0.20438931651639736,0.1746435173179727,sym_Dp0,0.4034156799316406,0.49348586797714233,0.3051317632198334,0.6380367875099182,0.8061646223068237,0.4545769989490509
800,1,234,0.994915783405304,0.9950396418571472,0.6092625260353088,0.585522472858429,0.017916826833532462,0.10335906593139331,0.09764517167961446,0.4316522639615696,0.1969475267594306,0.1524791448344597,avg,0.2897450923919678,0.4709247052669525,0.34358465671539307,0.9106830358505249,0.9850651621818542,0.8627645373344421
800,1,234,0.994915783405304,0.9950396418571472,0.6092625260353088,0.585522472858429,0.017916826833532462,0.10335906593139331,0.09764517167961446,0.4316522639615696,0.1969475267594306,0.1524791448344597,sum,0.47013038396835327,0.6431522369384766,0.47089946269989014,0.889667272567749,0.9930092096328735,0.8184523582458496
800,1,234,0.994915783405304,0.9950396418571472,0.6092625260353088,0.585522472858429,0.017916826833532462,0.10335906593139331,0.09764517167961446,0.4316522639615696,0.1969475267594306,0.1524791448344597,sym_A1,0.29032886028289795,0.4718779921531677,0.34358465671539307,0.9108776450157166,0.9850651621818542,0.863095223903656
800,1,234,0.994915783405304,0.9950396418571472,0.6092625260353088,0.585522472858429,0.017916826833532462,0.10335906593139331,0.09764517167961446,0.4316522639615696,0.1969475267594306,0.1524791448344597,sym_single1,0.4615684151649475,0.6517318487167358,0.4474206268787384,0.9256665110588074,0.9939625263214111,0.8792989253997803
800,1,234,0.994915783405304,0.9950396418571472,0.6092625260353088,0.585522472858429,0.017916826833532462,0.10335906593139331,0.09764517167961446,0.4316522639615696,0.1969475267594306,0.1524791448344597,sym_single1_Dp7,0.45261725783348083,0.6358436942100525,0.44874337315559387,0.8968670964241028,0.9933270215988159,0.8310185074806213
800,1,234,0.994915783405304,0.9950396418571472,0.6092625260353088,0.585522472858429,0.017916826833532462,0.10335906593139331,0.09764517167961446,0.4316522639615696,0.1969475267594306,0.1524791448344597,sym_Dp0,0.21190893650054932,0.33968859910964966,0.34788358211517334,0.7697995901107788,0.858913242816925,0.7519841194152832
800,2,123,0.994915783405304,0.9943342804908752,0.753187358379364,0.759922981262207,0.017927026995138862,0.06821288263387128,0.1357885776416474,0.40673824848330853,0.24697306059978438,0.12436020364624956,avg,0.5422179102897644,0.6908166408538818,0.7044381499290466,0.9819580912590027,0.9926914572715759,0.9789109230041504
800,2,123,0.994915783405304,0.9943342804908752,0.753187358379364,0.759922981262207,0.017927026995138862,0.06821288263387128,0.1357885776416474,0.40673824848330853,0.24697306059978438,0.12436020364624956,sum,0.5645898580551147,0.6968541741371155,0.726471483707428,0.9588645696640015,0.9901493787765503,0.9493232369422913
