parent_a,parent_b,layer,norm_ratio,w,A,B,C,E,D_plus,D_minus
09111d7d,1887bcd2,conv1.weight,0.8062347598383578,0.002227248118298944,0.17378135596260477,0.06464958947241284,0.0,0.0,0.7499955294745746,0.01157352509040779
09111d7d,1887bcd2,layer1.0.conv1.weight,0.7730854422504968,0.009252884434946944,0.03332261884961567,0.07359925109650861,0.057363002079626614,0.27332364041549057,0.482851578787454,0.07953990877130457
09111d7d,1887bcd2,layer1.0.conv2.weight,0.7360793355060842,0.00710433740832542,0.025579666779302207,0.04526834834489707,0.10899247658865527,0.1440220924553062,0.5155176388205437,0.16061977701129562
09111d7d,1887bcd2,layer1.1.conv1.weight,0.7039157434673491,0.005351842428099928,0.0021908647094676346,0.041194106013207867,0.18384921892600808,0.41184093245197223,0.31540638975308644,0.04551848814625766
09111d7d,1887bcd2,layer1.1.conv2.weight,0.6828394903851013,0.005604213981131245,0.01481052398804704,0.05209073867588988,0.12162860122117858,0.26672070813871307,0.4710030592892258,0.0737463686869456
09111d7d,1887bcd2,layer1.2.conv1.weight,0.6670844123090641,0.004799288348059398,0.015318351624919374,0.15136807440491262,0.09012180148122972,0.21955570788364262,0.4867606346256709,0.036875429979624584
09111d7d,1887bcd2,layer1.2.conv2.weight,0.6179449605208893,0.0037255219385900016,0.0266723607330332,0.09214028288422572,0.15124131521132558,0.30593296430791217,0.36552183397968124,0.05849124288382213
09111d7d,1887bcd2,layer2.0.conv1.weight,0.6430616720804061,0.0040458349601691194,0.0,0.04113550523068681,0.06408220804256802,0.5745180622740016,0.2663383423096243,0.05392588214311928
09111d7d,1887bcd2,layer2.0.conv2.weight,0.6646677934069904,0.008122433324050148,0.0,0.015542706571379964,0.03445536949844977,0.3921530090767077,0.4937643128804485,0.0640846019730142
09111d7d,1887bcd2,layer2.0.shortcut.0.weight,0.6702903604868828,0.003971543343824345,0.0,0.018062354843816224,0.045482767013096906,0.33046416559398795,0.4910072838396455,0.1149834287094536
09111d7d,1887bcd2,layer2.1.conv1.weight,0.671286591678219,0.007179899324253932,0.00666693647252312,0.029743300911369657,0.06453770537181208,0.41577043584514567,0.3494925076902031,0.1337891137089463
