seed,core,recipe,gen,pair,n_classes,tauA,tauB,driftA0,driftB0,E_A,E_B,E_C,E_E,E_D_plus,E_D_minus,single_cells,norm_ratio,typed_frac,child_drift0_pre,child,acc_own,acc_all9,child_drift0_post
0,fixed,average,1,01,5,9.92409508123283,10.887184452778573,9.92409508123283,10.887184452778573,0.02137164374454093,0.05581132671242184,0.09017515440896126,0.38537297081412064,0.43490733916839336,0.012361565151562077,0.5527310956800446,0.728496538854762,0.7184087517031393,7.673887273410399,0,0.988713800907135,0.5651206970214844,8.910036777604278
0,fixed,average,1,01,5,9.92409508123283,10.887184452778573,9.92409508123283,10.887184452778573,0.02137164374454093,0.05581132671242184,0.09017515440896126,0.38537297081412064,0.43490733916839336,0.012361565151562077,0.5527310956800446,0.728496538854762,0.7184087517031393,7.673887273410399,1,0.983849048614502,0.5623401403427124,8.835492419477397
0,fixed,average,1,23,5,10.474517964269586,9.97724902370347,10.474517964269586,9.97724902370347,0.012419984695572013,0.10988151861052255,0.057371831076104524,0.3244251441518802,0.48574557877118657,0.010155942694734073,0.5040984785340792,0.7260862381168591,0.717315541551265,7.564701030832751,0,0.9685560464859009,0.5207429528236389,8.680838524631989
0,fixed,average,1,23,5,10.474517964269586,9.97724902370347,10.474517964269586,9.97724902370347,0.012419984695572013,0.10988151861052255,0.057371831076104524,0.3244251441518802,0.48574557877118657,0.010155942694734073,0.5040984785340792,0.7260862381168591,0.717315541551265,7.564701030832751,1,0.9623500108718872,0.5174062848091125,8.649086008531029
0,fixed,average,2,12,9,8.835492419477397,8.680838524631989,8.835492419477397,8.680838524631989,0.0,0.01003949271263341,0.00024098024495130472,0.42498504830748896,0.54945413175893,0.015280346975996438,0.4352655212650737,0.7310040899266417,0.7167178806474329,6.524769454192495,0,0.9448336958885193,0.9448336958885193,7.915332501650598
0,fixed,average,2,12,9,8.835492419477397,8.680838524631989,8.835492419477397,8.680838524631989,0.0,0.01003949271263341,0.00024098024495130472,0.42498504830748896,0.54945413175893,0.015280346975996438,0.4352655212650737,0.7310040899266417,0.7167178806474329,6.524769454192495,1,0.9439439177513123,0.9439439177513123,8.034076495400367
0,fixed,average,2,30,9,8.649086008531029,8.910036777604278,8.649086008531029,8.910036777604278,0.0012110142556853414,0.009713388287037335,0.006995186335786091,0.4261280166980619,0.5441953661111334,0.011757028312295968,0.44404760557657064,0.7334166449425756,0.7179524197920839,6.5684108089323745,0,0.9448336958885193,0.9448336958885193,7.98667885274537
0,fixed,average,2,30,9,8.649086008531029,8.910036777604278,8.649086008531029,8.910036777604278,0.0012110142556853414,0.009713388287037335,0.006995186335786091,0.4261280166980619,0.5441953661111334,0.011757028312295968,0.44404760557657064,0.7334166449425756,0.7179524197920839,6.5684108089323745,1,0.9443888068199158,0.9443888068199158,8.00578188182957
0,fixed,average,3,01,9,7.915332501650598,8.034076495400367,7.915332501650598,8.034076495400367,0.001223015918315299,0.0,0.00018356979091412523,0.0137587895571352,0.9848312547204815,3.3700131538997896e-06,0.015165375266364623,0.9814854656052296,0.7187021478478637,7.817619772618203,0,0.9529529213905334,0.9529529213905334,8.88127113924404
0,fixed,average,3,01,9,7.915332501650598,8.034076495400367,7.915332501650598,8.034076495400367,0.001223015918315299,0.0,0.00018356979091412523,0.0137587895571352,0.9848312547204815,3.3700131538997896e-06,0.015165375266364623,0.9814854656052296,0.7187021478478637,7.817619772618203,1,0.9528416991233826,0.9528416991233826,8.816340797780937
0,fixed,average,3,23,9,7.98667885274537,8.00578188182957,7.98667885274537,8.00578188182957,0.0,0.0,0.0006472978231792925,0.01488461359076312,0.9844664027609187,1.6858251388418933e-06,0.015531911413942412,0.980448714960269,0.7173593781076284,7.8325374498174005,0,0.9513958096504211,0.9513958096504211,8.892146697368085
0,fixed,average,3,23,9,7.98667885274537,8.00578188182957,7.98667885274537,8.00578188182957,0.0,0.0,0.0006472978231792925,0.01488461359076312,0.9844664027609187,1.6858251388418933e-06,0.015531911413942412,0.980448714960269,0.7173593781076284,7.8325374498174005,1,0.9510621428489685,0.9510621428489685,8.879681906105171
