parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,regime,preset,eta,head,type_A,type_B,type_C,type_E,type_D_plus,type_D_minus,norm_ratio_min,norm_ratio_med,norm_ratio_max,typed_frac_mean,layers_analysed,merging_fn,population,core,time_s
08bed696,4a01dede,2_3_6_7_9,3_4_5_6_7,"[0.0, 0.0, 0.49900001287460327, 0.4150000214576721, 0.0, 0.0, 0.6640000343322754, 0.597000002861023, 0.0, 0.734000027179718]","[0.0, 0.0, 0.0, 0.3110000193119049, 0.47700002789497375, 0.6450000405311584, 0.7280000448226929, 0.6080000400543213, 0.0, 0.0]",0.5818000435829163,0.5538000464439392,0.34885714285714287,0.461,0.4802,0.4418,"[null, null, 0.605, 0.312, 0.642, 0.649, 0.148, 0.458, null, 0.878]",average@0.80@label,average,0.8,label,0.0041036415462805936,0.027048619047005396,0.04551663068934207,0.3560195202080316,0.538178554379793,0.029133034129547035,0.723353224486632,0.761487721634711,0.8636126211345154,0.7149541923932871,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.0
08bed696,5ae07fc0,2_3_6_7_9,0_3_5_7_8_9,"[0.0, 0.0, 0.49900001287460327, 0.4150000214576721, 0.0, 0.0, 0.6640000343322754, 0.597000002861023, 0.0, 0.734000027179718]","[0.5610000491142273, 0.0, 0.0, 0.34800001978874207, 0.0, 0.609000027179718, 0.0, 0.6570000052452087, 0.7850000262260437, 0.7290000319480896]",0.5818000435829163,0.614833414554596,0.3695,0.5072,0.4904,0.524,"[0.343, null, 0.285, 0.605, null, 0.523, 0.587, 0.266, 0.698, 0.709]",average@0.80@label,average,0.8,label,0.002018100073864737,0.01733482667150324,0.028192251969594642,0.400394447751808,0.5203793626907449,0.03168101084248444,0.7132684163323231,0.7350690101085992,0.8808917665697674,0.7159386377051226,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.3
08bed696,75582683,2_3_6_7_9,1_2_4_6_7_8_9,"[0.0, 0.0, 0.49900001287460327, 0.4150000214576721, 0.0, 0.0, 0.6640000343322754, 0.597000002861023, 0.0, 0.734000027179718]","[0.0, 0.7880000472068787, 0.4150000214576721, 0.0, 0.5390000343322754, 0.0, 0.6350000500679016, 0.5640000104904175, 0.8060000538825989, 0.5790000557899475]",0.5818000435829163,0.6180000305175781,0.350875,0.6143000000000001,0.6866,0.542,"[null, 0.266, 0.703, 0.772, 0.226, null, 0.709, 0.413, 0.641, 0.836]",average@0.80@label,average,0.8,label,0.0015653986417471229,0.012511361079138625,0.020123164232132135,0.40404480302278795,0.532253922624713,0.02950135039948139,0.7142509051319642,0.76381464174423,0.8634745860398142,0.7157747794809085,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.2
08bed696,84e76a03,2_3_6_7_9,0_2_3_5_6_7_8_9,"[0.0, 0.0, 0.49900001287460327, 0.4150000214576721, 0.0, 0.0, 0.6640000343322754, 0.597000002861023, 0.0, 0.734000027179718]","[0.6270000338554382, 0.0, 0.37400001287460327, 0.11600000411272049, 0.0, 0.4780000150203705, 0.6680000424385071, 0.35500001907348633, 0.5670000314712524, 0.5170000195503235]",0.5818000435829163,0.46275004744529724,0.40775,0.49212500000000003,0.487,0.49725,"[0.605, null, 0.549, 0.104, null, 0.579, 0.571, 0.413, 0.359, 0.798]",average@0.80@label,average,0.8,label,0.004208832711539349,0.0075031231917570326,0.011404065385020227,0.40936142614433224,0.5349773837559426,0.03254516881140832,0.7209949232222455,0.751576507565179,0.9664385872239535,0.7162745596777678,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.1
08bed696,8b82f57e,2_3_6_7_9,3_4_5_6_7,"[0.0, 0.0, 0.49900001287460327, 0.4150000214576721, 0.0, 0.0, 0.6640000343322754, 0.597000002861023, 0.0, 0.734000027179718]","[0.0, 0.0, 0.0, 0.3570000231266022, 0.5180000066757202, 0.6070000529289246, 0.7150000333786011, 0.6330000162124634, 0.0, 0.0]",0.5818000435829163,0.5659999847412109,0.3555714285714286,0.5646,0.6136,0.5156,"[null, null, 0.564, 0.602, 0.519, 0.448, 0.485, 0.524, null, 0.893]",average@0.80@label,average,0.8,label,0.0032697255239516505,0.024894688816165408,0.04262374097867814,0.35711580027656736,0.5486203129134424,0.02347573149119512,0.7262295686490341,0.7631998239064167,0.8965137697985399,0.7158303387859496,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,15.8
08bed696,ac3d3ea6,2_3_6_7_9,1_2_4_6_7_8_9,"[0.0, 0.0, 0.49900001287460327, 0.4150000214576721, 0.0, 0.0, 0.6640000343322754, 0.597000002861023, 0.0, 0.734000027179718]","[0.0, 0.6820000410079956, 0.49000000953674316, 0.0, 0.4710000157356262, 0.0, 0.5920000076293945, 0.6480000019073486, 0.7470000386238098, 0.7150000333786011]",0.5818000435829163,0.6207143068313599,0.374875,0.6302142857142857,0.646,0.6144285714285714,"[null, 0.523, 0.531, 0.752, 0.494, null, 0.727, 0.506, 0.806, 0.714]",average@0.80@label,average,0.8,label,0.00042632792663120406,0.008253559435979335,0.013805379700462861,0.4065480606464098,0.5402375301555148,0.03072914213500204,0.7170019374587393,0.7667205213510658,0.863474586039814,0.7155628106244327,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.1
08bed696,c285d620,2_3_6_7_9,1_2_4_6_8_9,"[0.0, 0.0, 0.49900001287460327, 0.4150000214576721, 0.0, 0.0, 0.6640000343322754, 0.597000002861023, 0.0, 0.734000027179718]","[0.0, 0.7900000214576721, 0.3970000147819519, 0.0, 0.4610000252723694, 0.0, 0.6960000395774841, 0.0, 0.7150000333786011, 0.6580000519752502]",0.5818000435829163,0.6194999814033508,0.379,0.5582666666666667,0.5222,0.5943333333333334,"[null, 0.704, 0.596, 0.58, 0.739, null, 0.213, 0.588, 0.68, 0.634]",average@0.80@label,average,0.8,label,0.002798625344869473,0.02177228073131793,0.033910022862806886,0.3941284533174765,0.5183971698559077,0.028993447887621638,0.7202877404979677,0.7483539290005975,0.8749553018603605,0.7149491560729876,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.2
08bed696,edf8f2d1,2_3_6_7_9,2_3_6_7_9,"[0.0, 0.0, 0.49900001287460327, 0.4150000214576721, 0.0, 0.0, 0.6640000343322754, 0.597000002861023, 0.0, 0.734000027179718]","[0.0, 0.0, 0.3630000054836273, 0.2850000262260437, 0.0, 0.0, 0.7190000414848328, 0.6500000357627869, 0.0, 0.578000009059906]",0.5818000435829163,0.5190000534057617,0.1326,0.7132,0.7132,0.7132,"[null, null, 0.704, 0.555, null, null, 0.7, 0.713, null, 0.894]",average@0.80@label,average,0.8,label,0.00045730718964369707,0.0022148364055444725,0.00229033115829837,0.062176367429780895,0.9327316837246169,0.00012947409211568222,0.923390611873699,0.9376001546768074,1.000000000000001,0.7179691130894292,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,15.3
08bed696,f8864bb0,2_3_6_7_9,0_2_3_5_6_7_8_9,"[0.0, 0.0, 0.49900001287460327, 0.4150000214576721, 0.0, 0.0, 0.6640000343322754, 0.597000002861023, 0.0, 0.734000027179718]","[0.6230000257492065, 0.0, 0.3270000219345093, 0.1720000058412552, 0.0, 0.3790000081062317, 0.737000048160553, 0.4360000193119049, 0.5430000424385071, 0.5640000104904175]",0.5818000435829163,0.4726250171661377,0.40375,0.4855625,0.487,0.484125,"[0.45, null, 0.606, 0.15, null, 0.51, 0.543, 0.29, 0.478, 0.846]",average@0.80@label,average,0.8,label,0.004422429697635172,0.013107762036603745,0.019323415339036004,0.4179124304242326,0.5150103048051704,0.03022365769732196,0.7158558259025207,0.7504949683689832,0.9664385872239535,0.7163912921228311,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.1
4a01dede,5ae07fc0,3_4_5_6_7,0_3_5_7_8_9,"[0.0, 0.0, 0.0, 0.3110000193119049, 0.47700002789497375, 0.6450000405311584, 0.7280000448226929, 0.6080000400543213, 0.0, 0.0]","[0.5610000491142273, 0.0, 0.0, 0.34800001978874207, 0.0, 0.609000027179718, 0.0, 0.6570000052452087, 0.7850000262260437, 0.7290000319480896]",0.5538000464439392,0.614833414554596,0.35875,0.48756666666666665,0.4628,0.5123333333333333,"[0.35, null, null, 0.766, 0.439, 0.255, 0.448, 0.406, 0.459, 0.838]",average@0.80@label,average,0.8,label,0.0013933934912980137,0.015485303530748184,0.026068436234445443,0.40155593646730253,0.524401984473672,0.031094945802533906,0.7142234128767445,0.7422813032515524,0.886238581429998,0.7160482733633862,21,globa_v2,runs_exp2d/seed0/permute/gen_2,runs_ssl/simsiam_e50_seed0/backbone_e9.pth.tar,16.2
