Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2804),tensor(0.4673),2_3_5_6_7_9,[0.0, 0.0, tensor(0.9260), tensor(0.), 0.0, tensor(0.), tensor(0.), tensor(0.9410), 0.0, tensor(0.9370)],21,0.0001,0.075
tensor(0.2374),tensor(0.4748),0_4_5_7_8,[tensor(0.7960), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.6040), tensor(0.9740), 0.0],21,0.0001,0.075
tensor(0.2786),tensor(0.4643),2_3_5_6_7_9,[0.0, 0.0, tensor(0.9360), tensor(0.), 0.0, tensor(0.), tensor(0.), tensor(0.9260), 0.0, tensor(0.9240)],21,0.0001,0.075
tensor(0.2587),tensor(0.4312),1_3_5_6_7_9,[0.0, tensor(0.), 0.0, tensor(0.7060), 0.0, tensor(0.9110), tensor(0.), tensor(0.), 0.0, tensor(0.9700)],21,0.0001,0.075
tensor(0.2303),tensor(0.4606),0_4_5_7_8,[tensor(0.8180), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.5130), tensor(0.9720), 0.0],21,0.0001,0.075
tensor(0.2657),tensor(0.4428),1_2_3_4_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.9300), tensor(0.), 0.0, tensor(0.9230), tensor(0.8040), 0.0, 0.0],21,0.0001,0.075
tensor(0.2673),tensor(0.5346),3_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.8760), tensor(0.), tensor(0.9810), tensor(0.8160)],21,0.0001,0.075
tensor(0.2656),tensor(0.4427),1_2_3_4_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.9140), tensor(0.), 0.0, tensor(0.9290), tensor(0.8130), 0.0, 0.0],21,0.0001,0.075
tensor(0.2684),tensor(0.5368),3_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.), 0.0, 0.0, tensor(0.8760), tensor(0.), tensor(0.9780), tensor(0.8300)],21,0.0001,0.075
tensor(0.2580),tensor(0.4300),1_3_5_6_7_9,[0.0, tensor(0.), 0.0, tensor(0.6960), 0.0, tensor(0.9060), tensor(0.), tensor(0.), 0.0, tensor(0.9780)],21,0.0001,0.075
0.20525,0.2907,[0.419   nan   nan 0.009 0.    0.    0.532 0.    0.657 0.633],0.2152,0.3662,0_4_5_7_8,3_6_7_8_9,0.004999876022338867,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.20475,0.291,[0.416   nan   nan 0.01  0.    0.    0.536 0.    0.656 0.636],0.2144,0.3676,0_4_5_7_8,3_6_7_8_9,0.0020046234130859375,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2765714285714286,0.29633333333333334,[  nan 0.    0.632 0.397   nan 0.516 0.    0.      nan 0.549],0.349,0.24366666666666667,2_3_5_6_7_9,1_3_5_6_7_9,0.0020003318786621094,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2767142857142857,0.29583333333333334,[  nan 0.    0.628 0.394   nan 0.523 0.    0.      nan 0.544],0.3481666666666667,0.2435,2_3_5_6_7_9,1_3_5_6_7_9,0.0010001659393310547,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.206,0.28776666666666667,[0.408 0.    0.    0.547 0.    0.    0.739 0.498 0.485   nan],0.2782,0.29733333333333334,0_4_5_7_8,1_2_3_4_6_7,0.0020003318786621094,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2061111111111111,0.28751666666666664,[0.412 0.    0.    0.547 0.    0.    0.74  0.494 0.485   nan],0.2782,0.29683333333333334,0_4_5_7_8,1_2_3_4_6_7,0.0010001659393310547,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.4054285714285714,0.35111666666666663,[  nan   nan 0.797 0.007   nan 0.    0.636 0.006 0.702 0.521],0.3278333333333333,0.3744,2_3_5_6_7_9,3_6_7_8_9,0.0009999275207519531,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.4054285714285714,0.3520333333333333,[  nan   nan 0.796 0.007   nan 0.    0.639 0.006 0.701 0.524],0.32866666666666666,0.3754,2_3_5_6_7_9,3_6_7_8_9,0.0020003318786621094,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.191625,0.3120833333333333,[  nan 0.    0.    0.53  0.    0.409 0.534 0.412   nan 0.384],0.37816666666666665,0.246,1_3_5_6_7_9,1_2_3_4_6_7,0.002000570297241211,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.1925,0.31225,[  nan 0.    0.    0.531 0.    0.407 0.536 0.41    nan 0.386],0.37833333333333335,0.24616666666666667,1_3_5_6_7_9,1_2_3_4_6_7,0.002000093460083008,match_tensors_identity,resnet20x4,21,0.0001,0.075
