Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.0934),tensor(0.0934),0_7_6_5_9_7_5_4_3_6_5_7_3_5_1_5_8_7_6_5_7_5_4_3,[tensor(0.7000), tensor(0.6390), 0.0, tensor(3.2889e-08), tensor(0.0003), tensor(4.3604e-24), tensor(8.5111e-08), tensor(1.1488e-15), tensor(0.3730), tensor(0.5280)],21,0.0001,0.075
tensor(0.0618),tensor(0.0618),1_4_5_2_5_6_3_5_4_6_5_7_5_4_3_3_5_1_5_8_7,[0.0, tensor(0.0004), tensor(0.5900), tensor(6.1889e-08), tensor(8.0444e-08), tensor(5.6099e-24), tensor(0.0003), tensor(0.0003), tensor(0.7050), 0.0],21,0.0001,0.075
tensor(0.1188),tensor(0.1188),2_5_6_1_4_5_6_4_2_5_8_7_3_5_1_5_9_7_0_7_6,[tensor(0.5300), tensor(0.0004), tensor(0.0003), tensor(0.5150), tensor(0.0004), tensor(1.0256e-15), tensor(5.7111e-08), tensor(6.6556e-08), tensor(0.7240), tensor(0.7230)],21,0.0001,0.075
tensor(0.0903),tensor(0.0903),3_5_1_5_8_7_6_5_7_5_4_3_0_7_6_5_9_7_5_4_3_6_5_7,[tensor(0.6750), tensor(0.6430), 0.0, tensor(3.4444e-08), tensor(0.0003), tensor(4.1989e-24), tensor(8.4333e-08), tensor(1.1264e-15), tensor(0.3590), tensor(0.4900)],21,0.0001,0.075
tensor(0.1252),tensor(0.1252),3_5_4_1_4_5_2_5_6_5_9_7_0_7_6_5_8_7_3_5_1,[tensor(0.5740), tensor(0.0004), tensor(0.5100), tensor(0.0003), tensor(0.0003), tensor(8.2305e-20), tensor(0.0003), tensor(6.2444e-08), tensor(0.7590), tensor(0.7830)],21,0.0001,0.075
tensor(0.1077),tensor(0.1077),5_4_3_6_5_7_0_7_6_5_9_7_6_4_2_2_5_6_1_4_5,[tensor(0.6700), tensor(0.7280), tensor(0.0002), tensor(0.3130), tensor(6.3889e-08), tensor(8.4000e-16), tensor(1.1328e-11), tensor(8.5333e-08), 0.0, tensor(0.5500)],21,0.0001,0.075
tensor(0.1240),tensor(0.1240),5_8_7_3_5_1_5_9_7_0_7_6_2_5_6_1_4_5_6_4_2,[tensor(0.5650), tensor(0.0004), tensor(0.0002), tensor(0.5950), tensor(0.0004), tensor(1.0288e-15), tensor(6.0333e-08), tensor(6.0111e-08), tensor(0.7370), tensor(0.7050)],21,0.0001,0.075
tensor(0.1275),tensor(0.1275),5_9_7_0_7_6_5_8_7_3_5_1_3_5_4_1_4_5_2_5_6,[tensor(0.5870), tensor(0.0004), tensor(0.6060), tensor(0.0003), tensor(0.0004), tensor(8.1404e-20), tensor(0.0003), tensor(6.7556e-08), tensor(0.7170), tensor(0.7650)],21,0.0001,0.075
tensor(0.1001),tensor(0.1001),6_4_2_2_5_6_1_4_5_5_4_3_6_5_7_0_7_6_5_9_7,[tensor(0.6520), tensor(0.6570), tensor(0.0002), tensor(0.2770), tensor(6.3667e-08), tensor(8.1280e-16), tensor(1.2625e-11), tensor(7.9111e-08), 0.0, tensor(0.5150)],21,0.0001,0.075
tensor(0.0560),tensor(0.0560),6_5_7_5_4_3_3_5_1_5_8_7_1_4_5_2_5_6_3_5_4,[0.0, tensor(0.0004), tensor(0.5600), tensor(6.3889e-08), tensor(8.0222e-08), tensor(5.6949e-24), tensor(0.0003), tensor(0.0003), tensor(0.6130), 0.0],21,0.0001,0.075
0.5188,0.5061666666666667,0.5048095238095238,0.5075238095238095,3_5_4_1_4_5_2_5_6_5_9_7_0_7_6_5_8_7_3_5_1,5_4_3_6_5_7_0_7_6_5_9_7_6_4_2_2_5_6_1_4_5,0.4677448272705078,match_tensors_zipit,resnet20x4,21,0.0001,0.075
