Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.5096),tensor(0.5096),0_7_6_5_9_7,[tensor(0.7380), 0.0, 0.0, 0.0, 0.0, tensor(0.6460), tensor(0.8760), tensor(0.0004), 0.0, tensor(0.7970)],21,0.0001,0.075
tensor(0.4903),tensor(0.4903),1_4_5_2_5_6,[0.0, tensor(0.9020), tensor(0.5430), 0.0, tensor(0.7600), tensor(0.0004), tensor(0.7360), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.4720),tensor(0.4720),2_5_6_1_4_5,[0.0, tensor(0.8770), tensor(0.5070), 0.0, tensor(0.7150), tensor(0.0004), tensor(0.7320), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.5110),tensor(0.5110),3_5_1_5_8_7,[0.0, tensor(0.8670), 0.0, tensor(0.6840), 0.0, tensor(0.0004), 0.0, tensor(0.7240), tensor(0.7900), 0.0],21,0.0001,0.075
tensor(0.3384),tensor(0.3384),3_5_4_6_4_2,[0.0, 0.0, tensor(0.2610), tensor(0.3560), tensor(0.0002), tensor(0.6950), tensor(0.7180), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.5225),tensor(0.5225),5_4_3_6_5_7,[0.0, 0.0, 0.0, tensor(0.7460), tensor(0.8050), tensor(0.0004), tensor(0.8050), tensor(0.7780), 0.0, 0.0],21,0.0001,0.075
tensor(0.4990),tensor(0.4990),5_8_7_3_5_1,[0.0, tensor(0.8680), 0.0, tensor(0.6960), 0.0, tensor(0.0004), 0.0, tensor(0.7630), tensor(0.6660), 0.0],21,0.0001,0.075
tensor(0.5123),tensor(0.5123),5_9_7_0_7_6,[tensor(0.7720), 0.0, 0.0, 0.0, 0.0, tensor(0.7190), tensor(0.8390), tensor(0.0004), 0.0, tensor(0.7430)],21,0.0001,0.075
tensor(0.3172),tensor(0.3172),6_4_2_3_5_4,[0.0, 0.0, tensor(0.2560), tensor(0.3660), tensor(0.0001), tensor(0.5760), tensor(0.7050), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.5210),tensor(0.5210),6_5_7_5_4_3,[0.0, 0.0, 0.0, tensor(0.7410), tensor(0.7830), tensor(0.0004), tensor(0.8070), tensor(0.7940), 0.0, 0.0],21,0.0001,0.075
0.255125,0.3706666666666667,0.3925,0.34883333333333333,0_7_6_5_9_7,3_5_1_5_8_7,0.0016055107116699219,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.25625,0.37116666666666664,0.3933333333333333,0.349,0_7_6_5_9_7,3_5_1_5_8_7,0.0027778148651123047,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.38142857142857145,0.4995,0.4375,0.5615,2_5_6_1_4_5,6_5_7_5_4_3,0.0013842582702636719,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.38257142857142856,0.4996666666666667,0.438,0.5613333333333334,2_5_6_1_4_5,6_5_7_5_4_3,0.0013175010681152344,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2874285714285714,0.32075,0.3255,0.316,5_4_3_6_5_7,5_9_7_0_7_6,0.0014042854309082031,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2867142857142857,0.32016666666666665,0.3248333333333333,0.3155,5_4_3_6_5_7,5_9_7_0_7_6,0.0014088153839111328,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.262125,0.3893333333333333,0.4021666666666667,0.3765,3_5_4_6_4_2,5_8_7_3_5_1,0.001340627670288086,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.262625,0.38925,0.4023333333333333,0.37616666666666665,3_5_4_6_4_2,5_8_7_3_5_1,0.001374959945678711,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.7344,0.8376666666666667,0.8376666666666667,1_4_5_2_5_6,0.0,None,resnet20x4,21,0.0001,0.075
0.4904,0.47633333333333333,0.47633333333333333,6_4_2_3_5_4,0.0,None,resnet20x4,21,0.0001,0.075
