Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2896),tensor(0.4827),2_3_5_6_7_9,[0.0, 0.0, tensor(0.9590), tensor(0.), 0.0, tensor(0.), tensor(0.0440), tensor(0.9200), 0.0, tensor(0.9730)],21,0.0001,0.075
tensor(0.2669),tensor(0.4448),0_1_2_4_7_8,[tensor(0.9090), tensor(0.0170), tensor(0.), 0.0, tensor(0.), 0.0, 0.0, tensor(0.7860), tensor(0.9570), 0.0],21,0.0001,0.075
tensor(0.2863),tensor(0.5726),1_2_6_7_9,[0.0, tensor(0.0080), tensor(0.9460), 0.0, 0.0, 0.0, tensor(0.), tensor(0.9500), 0.0, tensor(0.9590)],21,0.0001,0.075
tensor(0.2696),tensor(0.6740),1_3_6_7,[0.0, tensor(0.), 0.0, tensor(0.9140), 0.0, 0.0, tensor(0.8770), tensor(0.9050), 0.0, 0.0],21,0.0001,0.075
tensor(0.2910),tensor(0.5820),1_6_7_8_9,[0.0, tensor(0.9600), 0.0, 0.0, 0.0, 0.0, tensor(0.9710), tensor(0.9360), tensor(0.0430), tensor(0.)],21,0.0001,0.075
tensor(0.2380),tensor(0.5950),3_5_6_7,[0.0, 0.0, 0.0, tensor(0.6690), 0.0, tensor(0.7960), tensor(0.9150), tensor(0.), 0.0, 0.0],21,0.0001,0.075
tensor(0.2696),tensor(0.6740),3_5_6_7,[0.0, 0.0, 0.0, tensor(0.9180), 0.0, tensor(0.), tensor(0.8900), tensor(0.8880), 0.0, 0.0],21,0.0001,0.075
tensor(0.2901),tensor(0.5802),1_6_7_8_9,[0.0, tensor(0.9650), 0.0, 0.0, 0.0, 0.0, tensor(0.9720), tensor(0.9390), tensor(0.0250), tensor(0.)],21,0.0001,0.075
tensor(0.2728),tensor(0.4547),1_2_3_4_6_7,[0.0, tensor(0.9450), tensor(0.8430), tensor(0.), tensor(0.9400), 0.0, tensor(0.), tensor(0.), 0.0, 0.0],21,0.0001,0.075
tensor(0.2737),tensor(0.5474),1_2_4_7_9,[0.0, tensor(0.9410), tensor(0.8670), 0.0, tensor(0.9290), 0.0, 0.0, tensor(0.), 0.0, tensor(0.)],21,0.0001,0.075
0.364125,0.5772666666666666,[  nan 0.929 0.743 0.    0.692   nan 0.781 0.781 0.01  0.   ],0.6543333333333333,0.5002,1_2_3_4_6_7,1_6_7_8_9,0.003985881805419922,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.5495,0.633,[  nan 0.    0.802 0.676   nan   nan 0.785 0.883   nan 0.93 ],0.68,0.586,1_2_6_7_9,1_3_6_7,0.003618478775024414,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.3855,0.472,[  nan 0.721 0.88  0.    0.76  0.    0.005 0.743   nan 0.927],0.5181666666666667,0.42583333333333334,1_2_3_4_6_7,2_3_5_6_7_9,0.0031032562255859375,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.426,0.45799999999999996,[  nan 0.614 0.822 0.737 0.634   nan 0.657 0.      nan 0.   ],0.502,0.414,1_3_6_7,1_2_4_7_9,0.0035660266876220703,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.3912857142857143,0.5418999999999999,[  nan 0.931 0.695   nan 0.777   nan 0.675 0.704 0.002 0.   ],0.6214,0.4624,1_2_4_7_9,1_6_7_8_9,0.0031833648681640625,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.386,0.43770833333333337,[0.748 0.    0.    0.726 0.      nan 0.422 0.793 0.8     nan],0.39016666666666666,0.48525,0_1_2_4_7_8,1_3_6_7,0.003412008285522461,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.33414285714285713,0.49355,[  nan 0.931   nan 0.456   nan 0.486 0.617 0.639 0.001 0.   ],0.5495,0.4376,3_5_6_7,1_6_7_8_9,0.003407001495361328,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.39475,0.28764999999999996,[  nan 0.743 0.742 0.    0.769 0.    0.005 0.      nan 0.   ],0.1245,0.4508,2_3_5_6_7_9,1_2_4_7_9,0.0041887760162353516,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.32075,0.40807499999999997,[  nan 0.666 0.701 0.441 0.675 0.531 0.659 0.      nan 0.   ],0.40775,0.4084,3_5_6_7,1_2_4_7_9,0.004748106002807617,match_tensors_permute,resnet20x4,21,0.0001,0.075
0.372125,0.559725,[  nan 0.606 0.822 0.737 0.63  0.    0.685 0.783   nan 0.   ],0.5682,0.55125,1_2_4_7_9,3_5_6_7,0.0035240650177001953,match_tensors_permute,resnet20x4,21,0.0001,0.075
