Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.9270),tensor(0.9270),0_6_8_3_4_2_1,[tensor(0.9570), tensor(0.9770), tensor(0.8740), tensor(0.8220), tensor(0.9610), 0.0, tensor(0.9510), 0.0, tensor(0.9470), 0.0],21,0.0001,0.075
tensor(0.9223),tensor(0.9223),2_1_3_8_4_0_9,[tensor(0.9310), tensor(0.9660), tensor(0.8890), tensor(0.8370), tensor(0.9300), 0.0, 0.0, 0.0, tensor(0.9610), tensor(0.9420)],21,0.0001,0.075
tensor(0.9301),tensor(0.9301),3_0_9_8_6_2_7,[tensor(0.9410), 0.0, tensor(0.8990), tensor(0.8540), 0.0, 0.0, tensor(0.9620), tensor(0.9480), tensor(0.9550), tensor(0.9520)],21,0.0001,0.075
tensor(0.9220),tensor(0.9220),3_1_0_9_7_8_5,[tensor(0.9290), tensor(0.9720), 0.0, tensor(0.8340), 0.0, tensor(0.8850), 0.0, tensor(0.9350), tensor(0.9540), tensor(0.9450)],21,0.0001,0.075
tensor(0.9297),tensor(0.9297),3_1_7_4_8_9_0,[tensor(0.9320), tensor(0.9580), 0.0, tensor(0.8710), tensor(0.9090), 0.0, 0.0, tensor(0.9520), tensor(0.9670), tensor(0.9190)],21,0.0001,0.075
tensor(0.9249),tensor(0.9249),4_2_3_0_6_9_1,[tensor(0.9260), tensor(0.9750), tensor(0.9110), tensor(0.8530), tensor(0.9130), 0.0, tensor(0.9630), 0.0, 0.0, tensor(0.9330)],21,0.0001,0.075
tensor(0.9189),tensor(0.9189),5_8_2_1_4_3_9,[0.0, tensor(0.9630), tensor(0.8790), tensor(0.8190), tensor(0.9460), tensor(0.9070), 0.0, 0.0, tensor(0.9620), tensor(0.9560)],21,0.0001,0.075
tensor(0.9389),tensor(0.9389),6_0_4_8_7_2_9,[tensor(0.9370), 0.0, tensor(0.9040), 0.0, tensor(0.9330), 0.0, tensor(0.9310), tensor(0.9550), tensor(0.9480), tensor(0.9640)],21,0.0001,0.075
tensor(0.9391),tensor(0.9391),6_9_7_0_2_1_8,[tensor(0.9370), tensor(0.9650), tensor(0.8590), 0.0, 0.0, 0.0, tensor(0.9620), tensor(0.9590), tensor(0.9570), tensor(0.9350)],21,0.0001,0.075
tensor(0.9390),tensor(0.9390),8_1_6_0_2_7_9,[tensor(0.9390), tensor(0.9550), tensor(0.8740), 0.0, 0.0, 0.0, tensor(0.9450), tensor(0.9330), tensor(0.9610), tensor(0.9660)],21,0.0001,0.075
0.7413333333333333,0.8385714285714285,0.8375714285714285,0.8395714285714285,3_1_0_9_7_8_5,8_1_6_0_2_7_9,0.462033748626709,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7018,0.8347142857142857,0.8151428571428572,0.8542857142857143,5_8_2_1_4_3_9,6_9_7_0_2_1_8,0.44934868812561035,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7017777777777777,0.8207857142857142,0.8125714285714286,0.829,0_6_8_3_4_2_1,8_1_6_0_2_7_9,0.38331031799316406,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7658888888888888,0.8421428571428571,0.8385714285714285,0.8457142857142858,2_1_3_8_4_0_9,3_0_9_8_6_2_7,0.4165050983428955,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7395555555555555,0.8479285714285714,0.8524285714285714,0.8434285714285714,4_2_3_0_6_9_1,5_8_2_1_4_3_9,0.39916348457336426,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7968888888888889,0.8745,0.878,0.871,3_1_7_4_8_9_0,6_0_4_8_7_2_9,0.38277649879455566,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.654,0.835,0.8431428571428572,0.8268571428571428,0_6_8_3_4_2_1,3_1_0_9_7_8_5,0.3841869831085205,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7434,0.8606428571428572,0.8688571428571429,0.8524285714285714,3_0_9_8_6_2_7,5_8_2_1_4_3_9,0.38962864875793457,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.84925,0.8562857142857143,0.8437142857142857,0.8688571428571429,3_0_9_8_6_2_7,8_1_6_0_2_7_9,0.3921675682067871,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.7081,0.8447857142857143,0.8268571428571428,0.8627142857142858,5_8_2_1_4_3_9,8_1_6_0_2_7_9,0.37916135787963867,match_tensors_zipit,resnet20x4,21,0.0001,0.075
