Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2633),tensor(0.4388),1_2_3_5_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.9180), 0.0, tensor(0.), tensor(0.8310), tensor(0.8840), 0.0, 0.0],21,0.0001,0.075
tensor(0.2667),tensor(0.4445),1_2_3_5_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.9160), 0.0, tensor(0.), tensor(0.8520), tensor(0.8990), 0.0, 0.0],21,0.0001,0.075
tensor(0.2568),tensor(0.5136),1_2_3_4_7,[0.0, tensor(0.0220), tensor(0.), tensor(0.7410), tensor(0.8840), 0.0, 0.0, tensor(0.9210), 0.0, 0.0],21,0.0001,0.075
tensor(0.1854),tensor(0.3708),4_5_7_8_9,[0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.), tensor(0.9240), tensor(0.9300)],21,0.0001,0.075
tensor(0.2527),tensor(0.5054),1_2_3_4_7,[0.0, tensor(0.0150), tensor(0.0070), tensor(0.7430), tensor(0.8750), 0.0, 0.0, tensor(0.8870), 0.0, 0.0],21,0.0001,0.075
tensor(0.2545),tensor(0.8483),3_6_7,[0.0, 0.0, 0.0, tensor(0.7900), 0.0, 0.0, tensor(0.9340), tensor(0.8210), 0.0, 0.0],21,0.0001,0.075
tensor(0.2465),tensor(0.4930),2_3_4_5_6,[0.0, 0.0, tensor(0.7760), tensor(0.), tensor(0.9100), tensor(0.), tensor(0.7790), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2535),tensor(0.5070),2_3_4_5_6,[0.0, 0.0, tensor(0.7740), tensor(0.), tensor(0.9300), tensor(0.), tensor(0.8310), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2717),tensor(0.9057),0_1_6,[tensor(0.9090), tensor(0.8880), 0.0, 0.0, 0.0, 0.0, tensor(0.9200), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.1846),tensor(0.3692),4_5_7_8_9,[0.0, 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.), tensor(0.9260), tensor(0.9200)],21,0.0001,0.075
0.22277777777777777,0.27090000000000003,[  nan 0.002 0.022 0.448 0.    0.    0.661 0.001 0.849 0.914],0.189,0.3528,1_2_3_5_6_7,4_5_7_8_9,0.4371974468231201,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.22433333333333333,0.27248333333333336,[  nan 0.002 0.03  0.414 0.    0.    0.706 0.001 0.852 0.911],0.19216666666666668,0.3528,1_2_3_5_6_7,4_5_7_8_9,0.5322556495666504,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.3517142857142857,0.45358333333333334,[  nan 0.079 0.566 0.    0.794 0.    0.549 0.752   nan   nan],0.4975,0.4096666666666667,1_2_3_4_7,2_3_4_5_6,0.48328495025634766,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.3514285714285714,0.45675,[  nan 0.065 0.554 0.    0.791 0.    0.593 0.749   nan   nan],0.49166666666666664,0.42183333333333334,1_2_3_4_7,2_3_4_5_6,0.47125840187072754,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.3221428571428571,0.3385,[  nan 0.    0.55  0.    0.585 0.    0.531 0.784   nan   nan],0.31083333333333335,0.36616666666666664,1_2_3_5_6_7,2_3_4_5_6,0.4279468059539795,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.32057142857142856,0.33825,[  nan 0.    0.549 0.    0.586 0.    0.53  0.785   nan   nan],0.31066666666666665,0.36583333333333334,1_2_3_5_6_7,2_3_4_5_6,0.42210888862609863,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.48942857142857144,0.6915,[0.861 0.822 0.003 0.597 0.713   nan 0.71  0.664   nan   nan],0.5853333333333334,0.7976666666666666,1_2_3_4_7,0_1_6,0.550344705581665,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.48957142857142855,0.6913333333333334,[0.861 0.822 0.003 0.597 0.713   nan 0.709 0.664   nan   nan],0.5853333333333334,0.7973333333333333,1_2_3_4_7,0_1_6,0.4517359733581543,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.37742857142857145,0.36726666666666663,[  nan   nan   nan 0.478 0.    0.    0.725 0.001 0.763 0.902],0.4013333333333333,0.3332,3_6_7,4_5_7_8_9,0.4235551357269287,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.3732857142857143,0.37,[  nan   nan   nan 0.476 0.    0.    0.747 0.001 0.776 0.883],0.408,0.332,3_6_7,4_5_7_8_9,0.4476015567779541,match_tensors_zipit,resnet20x4,21,0.0001,0.075
