Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.3618),tensor(0.3618),0_7_6_5_9_7_3_5_1_5_8_7,[tensor(0.6730), tensor(0.8090), 0.0, tensor(0.4520), 0.0, tensor(6.9444e-08), tensor(0.8320), tensor(9.0444e-08), tensor(0.7730), tensor(0.8020)],21,0.0001,0.075
tensor(0.5273),tensor(0.5273),1_4_5_2_5_6,[0.0, tensor(0.9030), tensor(0.6330), 0.0, tensor(0.7970), tensor(0.0004), tensor(0.8300), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.1994),tensor(0.1994),2_5_6_1_4_5_6_5_7_5_4_3,[0.0, tensor(0.8220), tensor(0.4330), tensor(0.5320), tensor(0.0003), tensor(8.8594e-12), tensor(0.0004), tensor(0.6040), 0.0, 0.0],21,0.0001,0.075
tensor(0.3574),tensor(0.3574),3_5_1_5_8_7_0_7_6_5_9_7,[tensor(0.5900), tensor(0.7840), 0.0, tensor(0.4520), 0.0, tensor(6.9778e-08), tensor(0.8390), tensor(9.4222e-08), tensor(0.8110), tensor(0.8130)],21,0.0001,0.075
tensor(0.2492),tensor(0.2492),3_5_4_6_4_2_5_8_7_3_5_1,[0.0, tensor(0.7160), tensor(0.4380), tensor(0.0003), tensor(0.0003), tensor(8.1889e-08), tensor(0.6590), tensor(0.5860), tensor(0.5900), 0.0],21,0.0001,0.075
tensor(0.2557),tensor(0.2557),5_4_3_6_5_7_5_9_7_0_7_6,[tensor(0.7490), 0.0, 0.0, tensor(0.7420), tensor(0.7670), tensor(8.6111e-08), tensor(0.0004), tensor(8.9778e-08), 0.0, tensor(0.8090)],21,0.0001,0.075
tensor(0.2436),tensor(0.2436),5_8_7_3_5_1_3_5_4_6_4_2,[0.0, tensor(0.6840), tensor(0.3910), tensor(0.0003), tensor(0.0003), tensor(8.4000e-08), tensor(0.6730), tensor(0.5820), tensor(0.5920), 0.0],21,0.0001,0.075
tensor(0.2564),tensor(0.2564),5_9_7_0_7_6_5_4_3_6_5_7,[tensor(0.7460), 0.0, 0.0, tensor(0.7580), tensor(0.7730), tensor(8.7556e-08), tensor(0.0004), tensor(8.7444e-08), 0.0, tensor(0.7990)],21,0.0001,0.075
tensor(0.4891),tensor(0.4891),6_4_2_3_5_4,[0.0, 0.0, tensor(0.5770), tensor(0.6930), tensor(0.0004), tensor(0.8140), tensor(0.8500), 0.0, 0.0, 0.0],21,0.0001,0.075
tensor(0.2055),tensor(0.2055),6_5_7_5_4_3_2_5_6_1_4_5,[0.0, tensor(0.8600), tensor(0.4970), tensor(0.4900), tensor(0.0003), tensor(8.4375e-12), tensor(0.0004), tensor(0.6180), 0.0, 0.0],21,0.0001,0.075
0.215,0.31529166666666664,0.31858333333333333,0.312,0_7_6_5_9_7_3_5_1_5_8_7,1_4_5_2_5_6,0.0015392303466796875,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2155,0.31575,0.319,0.3125,0_7_6_5_9_7_3_5_1_5_8_7,1_4_5_2_5_6,0.0016345977783203125,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2832857142857143,0.35054166666666664,0.35791666666666666,0.3431666666666667,2_5_6_1_4_5_6_5_7_5_4_3,6_4_2_3_5_4,0.0013782978057861328,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2827142857142857,0.35062499999999996,0.35841666666666666,0.3428333333333333,2_5_6_1_4_5_6_5_7_5_4_3,6_4_2_3_5_4,0.002289295196533203,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.35244444444444445,0.465375,0.4585,0.47225,3_5_1_5_8_7_0_7_6_5_9_7,5_4_3_6_5_7_5_9_7_0_7_6,0.003269195556640625,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.35233333333333333,0.46625,0.45916666666666667,0.47333333333333333,3_5_1_5_8_7_0_7_6_5_9_7,5_4_3_6_5_7_5_9_7_0_7_6,0.0023522377014160156,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2985,0.37104166666666666,0.35841666666666666,0.38366666666666666,3_5_4_6_4_2_5_8_7_3_5_1,5_9_7_0_7_6_5_4_3_6_5_7,0.0023996829986572266,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.2984,0.37079166666666663,0.35833333333333334,0.38325,3_5_4_6_4_2_5_8_7_3_5_1,5_9_7_0_7_6_5_4_3_6_5_7,0.0015380382537841797,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.667625,0.6901666666666667,0.6901666666666667,5_8_7_3_5_1_3_5_4_6_4_2,0.0,None,resnet20x4,21,0.0001,0.075
0.6458571428571429,0.638,0.638,6_5_7_5_4_3_2_5_6_1_4_5,0.0,None,resnet20x4,21,0.0001,0.075
