Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.2713),tensor(0.4522),1_2_3_4_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.8820), tensor(0.0160), 0.0, tensor(0.9150), tensor(0.9000), 0.0, 0.0],21,0.0001,0.075
tensor(0.2820),tensor(0.4700),2_3_5_6_7_9,[0.0, 0.0, tensor(0.9490), tensor(0.), 0.0, tensor(0.), tensor(0.), tensor(0.9030), 0.0, tensor(0.9680)],21,0.0001,0.075
tensor(0.2830),tensor(0.4717),2_3_5_6_7_9,[0.0, 0.0, tensor(0.9520), tensor(0.), 0.0, tensor(0.), tensor(0.0010), tensor(0.9030), 0.0, tensor(0.9740)],21,0.0001,0.075
tensor(0.2566),tensor(0.4277),1_3_5_6_7_9,[0.0, tensor(0.), 0.0, tensor(0.7120), 0.0, tensor(0.8970), tensor(0.), tensor(0.), 0.0, tensor(0.9570)],21,0.0001,0.075
tensor(0.2628),tensor(0.5256),0_4_5_7_8,[tensor(0.9030), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.7770), tensor(0.9480), 0.0],21,0.0001,0.075
tensor(0.2571),tensor(0.4285),1_3_5_6_7_9,[0.0, tensor(0.), 0.0, tensor(0.7180), 0.0, tensor(0.8990), tensor(0.), tensor(0.), 0.0, tensor(0.9540)],21,0.0001,0.075
tensor(0.2707),tensor(0.4512),1_2_3_4_6_7,[0.0, tensor(0.), tensor(0.), tensor(0.8750), tensor(0.0220), 0.0, tensor(0.9180), tensor(0.8920), 0.0, 0.0],21,0.0001,0.075
tensor(0.2724),tensor(0.5448),3_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.0440), 0.0, 0.0, tensor(0.7950), tensor(0.1240), tensor(0.9110), tensor(0.8500)],21,0.0001,0.075
tensor(0.2615),tensor(0.5230),0_4_5_7_8,[tensor(0.9130), 0.0, 0.0, 0.0, tensor(0.), tensor(0.), 0.0, tensor(0.7690), tensor(0.9330), 0.0],21,0.0001,0.075
tensor(0.2684),tensor(0.5368),3_6_7_8_9,[0.0, 0.0, 0.0, tensor(0.0380), 0.0, 0.0, tensor(0.8020), tensor(0.1180), tensor(0.8860), tensor(0.8400)],21,0.0001,0.075
0.3297777777777778,0.423,[0.813 0.    0.    0.71  0.    0.    0.63  0.763 0.634   nan],0.3505,0.4955,1_2_3_4_6_7,0_4_5_7_8,0.43096375465393066,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.3363333333333333,0.42533333333333334,[0.822 0.    0.    0.747 0.    0.    0.622 0.771 0.6     nan],0.3566666666666667,0.494,1_2_3_4_6_7,0_4_5_7_8,0.3970463275909424,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.39914285714285713,0.40925,[  nan 0.    0.881 0.44    nan 0.766 0.    0.      nan 0.809],0.4826666666666667,0.3358333333333333,2_3_5_6_7_9,1_3_5_6_7_9,0.45797014236450195,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.39471428571428574,0.39841666666666664,[  nan 0.    0.859 0.425   nan 0.737 0.    0.      nan 0.799],0.47,0.3268333333333333,2_3_5_6_7_9,1_3_5_6_7_9,0.3944098949432373,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.368,0.43066666666666664,[0.71    nan 0.872 0.    0.    0.    0.    0.636 0.758 0.92 ],0.4046666666666667,0.45666666666666667,2_3_5_6_7_9,0_4_5_7_8,0.45694851875305176,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.368,0.4311666666666667,[0.712   nan 0.87  0.    0.    0.    0.    0.638 0.758 0.92 ],0.4046666666666667,0.45766666666666667,2_3_5_6_7_9,0_4_5_7_8,0.40511608123779297,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.43957142857142856,0.5257499999999999,[  nan 0.      nan 0.109   nan 0.765 0.733 0.279 0.889 0.84 ],0.4543333333333333,0.5971666666666666,1_3_5_6_7_9,3_6_7_8_9,0.4554426670074463,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4298571428571429,0.52675,[  nan 0.      nan 0.115   nan 0.755 0.732 0.273 0.86  0.867],0.457,0.5965,1_3_5_6_7_9,3_6_7_8_9,0.41106152534484863,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.453125,0.4281666666666667,[  nan 0.    0.    0.152 0.04    nan 0.816 0.308 0.879 0.851],0.21933333333333332,0.637,1_2_3_4_6_7,3_6_7_8_9,0.3962266445159912,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.446625,0.4428333333333333,[  nan 0.    0.    0.128 0.025   nan 0.836 0.381 0.909 0.854],0.22833333333333333,0.6573333333333333,1_2_3_4_6_7,3_6_7_8_9,0.4051628112792969,match_tensors_zipit,resnet20x4,21,0.0001,0.075
