Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.6406),tensor(0.7118),0_1_2_3_4_5_6_7_9,[tensor(0.8930), tensor(0.9540), tensor(0.9230), tensor(0.8220), tensor(0.), tensor(0.), tensor(0.9340), tensor(0.9320), 0.0, tensor(0.9480)],21,0.0001,0.075
tensor(0.6424),tensor(0.7138),0_1_2_3_4_6_7_8_9,[tensor(0.9120), tensor(0.9310), tensor(0.0030), tensor(0.8100), tensor(0.9110), 0.0, tensor(0.9390), tensor(0.0030), tensor(0.9660), tensor(0.9490)],21,0.0001,0.075
tensor(0.6403),tensor(0.7114),0_1_2_3_4_5_6_7_9,[tensor(0.8990), tensor(0.9520), tensor(0.9180), tensor(0.8160), tensor(0.), tensor(0.), tensor(0.9380), tensor(0.9350), 0.0, tensor(0.9450)],21,0.0001,0.075
tensor(0.6501),tensor(0.6501),0_1_2_3_4_5_6_7_8_9,[tensor(0.9310), tensor(0.9680), tensor(0.8940), tensor(0.), tensor(0.), tensor(0.9050), tensor(0.), tensor(0.9270), tensor(0.9460), tensor(0.9300)],21,0.0001,0.075
tensor(0.6503),tensor(0.7226),0_1_2_3_4_5_6_8_9,[tensor(0.9170), tensor(0.9580), tensor(0.), tensor(0.), tensor(0.8780), tensor(0.8980), tensor(0.9690), 0.0, tensor(0.9510), tensor(0.9320)],21,0.0001,0.075
tensor(0.6484),tensor(0.6484),0_1_2_3_4_5_6_7_8_9,[tensor(0.9230), tensor(0.9660), tensor(0.8850), tensor(0.), tensor(0.), tensor(0.9060), tensor(0.), tensor(0.9210), tensor(0.9530), tensor(0.9300)],21,0.0001,0.075
tensor(0.6502),tensor(0.7224),0_1_2_3_4_5_6_8_9,[tensor(0.9190), tensor(0.9630), tensor(0.), tensor(0.), tensor(0.8770), tensor(0.8950), tensor(0.9670), 0.0, tensor(0.9570), tensor(0.9240)],21,0.0001,0.075
tensor(0.6492),tensor(0.8115),0_1_2_4_5_6_8_9,[tensor(0.9170), tensor(0.9750), tensor(0.8950), 0.0, tensor(0.9020), tensor(0.8880), tensor(0.9620), 0.0, tensor(0.9530), tensor(0.)],21,0.0001,0.075
tensor(0.6450),tensor(0.7167),0_1_2_3_4_6_7_8_9,[tensor(0.9220), tensor(0.9340), tensor(0.0020), tensor(0.8240), tensor(0.9180), 0.0, tensor(0.9420), tensor(0.0020), tensor(0.9620), tensor(0.9440)],21,0.0001,0.075
tensor(0.6487),tensor(0.8109),0_1_2_4_5_6_8_9,[tensor(0.9380), tensor(0.9690), tensor(0.8980), 0.0, tensor(0.8950), tensor(0.8760), tensor(0.9570), 0.0, tensor(0.9540), tensor(0.)],21,0.0001,0.075
0.3688,0.4296428571428571,[0.484 0.629 0.398 0.197 0.443 0.406 0.626 0.318 0.615 0.   ],0.3765,0.48278571428571426,0_1_2_3_4_5_6_7_9,0_1_2_4_5_6_8_9,0.0011475086212158203,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.3686,0.42907142857142855,[0.484 0.628 0.397 0.197 0.443 0.405 0.625 0.318 0.614 0.   ],0.37607142857142856,0.4820714285714286,0_1_2_3_4_5_6_7_9,0_1_2_4_5_6_8_9,0.0010988712310791016,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.358,0.365,[0.554 0.602 0.    0.    0.388 0.163 0.551 0.37  0.466 0.305],0.35864285714285715,0.37135714285714283,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_8_9,0.001718282699584961,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.3577,0.3655357142857143,[0.553 0.602 0.    0.    0.386 0.163 0.554 0.375 0.469 0.304],0.35928571428571426,0.3717857142857143,0_1_2_3_4_5_6_7_8_9,0_1_2_3_4_5_6_8_9,0.001155853271484375,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.364,0.35978571428571426,[0.611 0.491 0.275 0.    0.22  0.35  0.594   nan 0.254 0.   ],0.336,0.38357142857142856,0_1_2_3_4_5_6_8_9,0_1_2_4_5_6_8_9,0.0011684894561767578,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.36444444444444446,0.35932142857142857,[0.611 0.491 0.271 0.    0.221 0.348 0.594   nan 0.255 0.   ],0.3357142857142857,0.38292857142857145,0_1_2_3_4_5_6_8_9,0_1_2_4_5_6_8_9,0.0011162757873535156,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.4012,0.34085714285714286,[0.513 0.417 0.004 0.215 0.658 0.    0.429 0.001 0.56  0.438],0.2982142857142857,0.3835,0_1_2_3_4_5_6_7_9,0_1_2_3_4_6_7_8_9,0.0011687278747558594,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.4014,0.34078571428571425,[0.511 0.419 0.003 0.215 0.658 0.    0.429 0.001 0.562 0.436],0.298,0.38357142857142856,0_1_2_3_4_5_6_7_9,0_1_2_3_4_6_7_8_9,0.0012896060943603516,match_tensors_identity,resnet20x4,21,0.0001,0.075
0.7136666666666667,0.7843571428571429,[0.911 0.931 0.003 0.81  0.911   nan 0.939 0.003 0.966 0.95 ],0.7843571428571429,0_1_2_3_4_6_7_8_9,0.0,None,resnet20x4,21,0.0001,0.075
0.6482,0.7292857142857143,[0.923 0.966 0.885 0.    0.    0.906 0.    0.921 0.953 0.929],0.7292857142857143,0_1_2_3_4_5_6_7_8_9,0.0,None,resnet20x4,21,0.0001,0.075
