Joint,Per Task Avg,Model Name,Per Class,Stop Node,Params A,Params B
tensor(0.4749),tensor(0.4749),0_1_3_4_5_6_7_9,[tensor(0.6590), tensor(0.6570), 0.0, tensor(0.3430), tensor(0.3280), tensor(0.4560), tensor(0.3370), tensor(0.7240), 0.0, tensor(0.2950)],21,0.0001,0.075
tensor(0.5938),tensor(0.5938),0_1_3_5_6_7,[tensor(0.6120), tensor(0.6290), 0.0, tensor(0.2500), 0.0, tensor(0.5840), tensor(0.7700), tensor(0.7180), 0.0, 0.0],21,0.0001,0.075
tensor(0.5547),tensor(0.5547),0_1_3_5_6_7_8,[tensor(0.6560), tensor(0.6680), 0.0, tensor(0.2730), 0.0, tensor(0.4560), tensor(0.6890), tensor(0.7260), tensor(0.4150), 0.0],21,0.0001,0.075
tensor(0.5869),tensor(0.5869),0_3_4_5_6_7_8,[tensor(0.7340), 0.0, 0.0, tensor(0.3460), tensor(0.5760), tensor(0.5460), tensor(0.7220), tensor(0.7850), tensor(0.3990), 0.0],21,0.0001,0.075
tensor(0.6130),tensor(0.6130),1_2_3_4_5_6_7_9,[0.0, tensor(0.8010), tensor(0.5420), tensor(0.6150), tensor(0.5020), tensor(0.7170), tensor(0.3240), tensor(0.6030), 0.0, tensor(0.8000)],21,0.0001,0.075
tensor(0.6213),tensor(0.6213),1_2_3_5_6_7_8,[0.0, tensor(0.7990), tensor(0.5890), tensor(0.6410), 0.0, tensor(0.7130), tensor(0.4310), tensor(0.5490), tensor(0.6270), 0.0],21,0.0001,0.075
tensor(0.6208),tensor(0.6208),1_3_4_5_7_8,[0.0, tensor(0.8420), 0.0, tensor(0.6180), tensor(0.4860), tensor(0.7070), 0.0, tensor(0.5640), tensor(0.5080), 0.0],21,0.0001,0.075
tensor(0.5753),tensor(0.5753),2_3_4_5_6_7_8,[0.0, 0.0, tensor(0.6290), tensor(0.3650), tensor(0.4620), tensor(0.7540), tensor(0.7890), tensor(0.4800), tensor(0.5480), 0.0],21,0.0001,0.075
0.5626666666666666,0.6921875,0.662375,0.722,1_2_3_4_5_6_7_9,1_3_4_5_7_8,0.40057826042175293,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.420875,0.4217142857142857,0.442,0.4014285714285714,0_3_4_5_6_7_8,2_3_4_5_6_7_8,0.4215514659881592,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5134444444444445,0.506625,0.52525,0.488,0_1_3_4_5_6_7_9,1_2_3_4_5_6_7_9,0.4244840145111084,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.4263,0.44950892857142855,0.40814285714285714,0.490875,0_3_4_5_6_7_8,1_2_3_4_5_6_7_9,0.42831873893737793,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.59475,0.652452380952381,0.6803333333333333,0.6245714285714286,0_1_3_5_6_7,0_3_4_5_6_7_8,0.4275374412536621,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.5073333333333333,0.512,0.515,0.509,0_1_3_5_6_7,1_2_3_4_5_6_7_9,0.42274045944213867,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.532875,0.5317142857142858,0.542,0.5214285714285715,0_1_3_5_6_7_8,1_2_3_5_6_7_8,0.42520809173583984,match_tensors_zipit,resnet20x4,21,0.0001,0.075
0.489,0.5174285714285715,0.542,0.4928571428571429,0_1_3_5_6_7,1_2_3_5_6_7_8,0.41248559951782227,match_tensors_zipit,resnet20x4,21,0.0001,0.075
